split,grouping,J,K,skip_mode,calendar_month_min,calendar_month_max,month_count,monthly_mean_return,annualized_mean_return,monthly_volatility,annualized_sharpe,positive_month_share,t_stat_monthly_mean_newey_west,newey_west_lag_used,newey_west_alt_lag_used,t_stat_monthly_mean_newey_west_alt_lag,max_drawdown,loser_monthly_mean_return,winner_monthly_mean_return,after_cost_monthly_mean_return,after_cost_annualized_mean_return,after_cost_t_stat_newey_west,after_cost_positive_month_share,loser_long_only_after_cost_monthly_mean_return,loser_long_only_after_cost_t_stat_newey_west,active_vintage_count_median,mean_buy_turnover,mean_sell_turnover,mean_loser_long_only_buy_turnover,mean_loser_long_only_sell_turnover,terminal_settlement_months,months_requiring_short_exposure
train,decile,12,42,no_skip,2018-07,2025-05,83,0.0040063660224153785,0.04807639226898454,0.05353076102293245,0.25926138063190685,0.5421686746987951,0.5717321186029392,41,3,0.6731655953918928,-0.5311528717271696,0.009170161118089696,0.005163795095674315,0.0027535327955249167,0.033042393546299,0.39079431658718955,0.5060240963855421,0.008538367289456353,3.450961124448756,20.0,0.11389392971731464,0.11389392971731464,0.057435802603031084,0.05743580260303107,1,83
train,decile,12,48,no_skip,2018-07,2025-11,89,-0.000685069545392052,-0.008220834544704625,0.055415850093995814,-0.04282439978181297,0.4943820224719101,-0.11770320314611576,47,3,-0.10802195739563901,-0.5311528717271696,0.010084409011395772,0.010769478556787827,-0.0018534421053011344,-0.022241305263613613,-0.3068498495631098,0.48314606741573035,0.009495208025142206,4.999083582151795,21.0,0.10621568726446197,0.10621568726446193,0.05356372602305145,0.05356372602305145,1,89
train,decile,18,1,no_skip,2018-08,2021-12,37,-0.020309805868099523,-0.24371767041719428,0.09316359265435271,-0.7551794569778296,0.40540540540540543,-1.3443427768822616,0,3,-1.6064927277729877,-0.7370250385810295,-0.002761025408902114,0.01754878045919741,-0.02653865129843472,-0.31846381558121667,-1.7670040985033306,0.40540540540540543,-0.005712157249055697,-0.7840355065954451,1.0,0.5662586754850181,0.566258675485018,0.28794073239725415,0.2609137053702272,1,37
train,decile,18,6,no_skip,2018-08,2022-05,46,-0.01420287663997006,-0.1704345196796407,0.08907611796320669,-0.5523389325121346,0.41304347826086957,-1.2828737897635079,5,3,-1.2615432635707886,-0.6969801860795153,0.003191103150387298,0.017393979790357367,-0.016876138230156244,-0.20251365876187494,-1.5268115247129985,0.41304347826086957,0.001867177028292881,0.27319331853126455,6.0,0.2430237809260162,0.2430237809260162,0.12035692019040178,0.12035692019040178,1,46
train,decile,18,12,no_skip,2018-08,2022-11,52,-0.005457974388082238,-0.06549569265698686,0.07724958259346351,-0.24475184536124595,0.4807692307692308,-0.5569944594504879,11,3,-0.523097660663491,-0.6095162107924059,0.007420296319476704,0.012878270707558937,-0.007346200465078167,-0.088154405580938,-0.7596166883501796,0.4807692307692308,0.00649441370412361,1.2557283082419912,10.0,0.17165691609053876,0.17165691609053876,0.08417114685028118,0.08417114685028118,1,52
train,decile,18,18,no_skip,2018-08,2023-05,58,0.0030326929311788988,0.03639231517414679,0.07428863306903144,0.14141539623365482,0.5172413793103449,0.24612131512248012,17,3,0.29340993659394965,-0.5651437598691261,0.010957290236911481,0.00792459730573258,0.0014315795554166023,0.01717895466499923,0.11743228286405523,0.5172413793103449,0.010166313065689497,2.9016512134140253,13.0,0.14555576143293614,0.14555576143293616,0.07190701556563497,0.07190701556563499,1,58
train,decile,18,18,skip1,2018-09,2023-05,57,0.003309042721604394,0.03970851265925273,0.07403833040325561,0.15482332156919584,0.5087719298245614,0.26208177639765357,17,3,0.3188858617088983,-0.5388448776521965,0.012345991833683468,0.00903694911207907,0.0016876260217551927,0.020251512261062313,0.13487357482405107,0.5087719298245614,0.011538925194005224,3.0829680434812707,13.0,0.14740151816810937,0.1474015181681094,0.07336969451620415,0.07336969451620415,1,57
train,decile,18,24,no_skip,2018-08,2023-11,64,0.005065686885174887,0.06078824262209864,0.06801761465904481,0.25799278920145097,0.5,0.4454919632713436,23,3,0.5568906259798548,-0.5503513604323537,0.009573658188791181,0.004507971303616293,0.003648195678028529,0.04377834813634235,0.32233936838631877,0.5,0.00887348257823917,2.74812993324981,14.5,0.12886283701330514,0.12886283701330517,0.06365232823200094,0.06365232823200095,1,64
train,decile,18,30,no_skip,2018-08,2024-05,70,0.0044567995627701525,0.05348159475324183,0.06529556751858126,0.23644494029926116,0.5,0.44757122301433044,29,3,0.5429010729635014,-0.5620132401462766,0.008116378895027993,0.003659579332257842,0.003153843649434315,0.037846123793211776,0.316066355801275,0.4857142857142857,0.007473492153877452,2.1803239678509945,16.0,0.11845053757598518,0.11845053757598521,0.05844424919550349,0.05844424919550349,1,70
train,decile,18,36,no_skip,2018-08,2024-11,76,0.004972832055025722,0.05967398466030866,0.06274764423847626,0.27453453851037707,0.5526315789473685,0.5527623482283248,35,3,0.6540924802426161,-0.5620132401462766,0.010546365933863096,0.0055735338788373764,0.0037602099828263572,0.04512251979391629,0.4152900940112184,0.5526315789473685,0.009948631191574589,3.4595549654803572,17.5,0.11023837019994198,0.11023837019994198,0.05433952202622768,0.05433952202622768,1,76
train,decile,18,42,no_skip,2018-08,2025-05,82,0.00507056985822664,0.06084683829871969,0.06157568429654803,0.285258205998312,0.573170731707317,0.6352673757015224,41,3,0.7335302900075105,-0.5620132401462766,0.009517420691359817,0.004446850833133174,0.00393324913481006,0.04719898961772072,0.4882410698544746,0.5609756097560976,0.008956390678966758,4.012647293927836,19.0,0.103392793037871,0.10339279303787102,0.05100272839936866,0.05100272839936866,1,82
train,decile,18,48,no_skip,2018-08,2025-11,88,0.001253646723460644,0.015043760681527728,0.06001830520167584,0.07235725209099893,0.5227272727272727,0.1941903695813601,47,3,0.18984426036489704,-0.5620132401462766,0.010512015141582214,0.009258368418121568,0.00019387059482246403,0.0023264471378695683,0.029156039058448248,0.5227272727272727,0.009989237175488684,5.574536383124602,20.5,0.09634328442165252,0.09634328442165253,0.04752526964486625,0.04752526964486625,1,88
train,decile,24,1,no_skip,2019-03,2021-12,34,-0.026420182468515855,-0.3170421896221903,0.0945553343917139,-0.9679220886922297,0.38235294117647056,-1.6537571123126327,0,3,-1.8111890829394148,-0.7094352996449683,-0.00023574341687097305,0.026184439051644883,-0.03245610806226931,-0.38947329674723175,-2.0364795648226064,0.38235294117647056,-0.0031375291132467093,-0.3934861301964024,1.0,0.548720508523041,0.548720508523041,0.2637986996705215,0.2637986996705215,1,34
train,decile,24,6,no_skip,2019-03,2022-05,39,-0.016508511541648757,-0.19810213849978509,0.09149841538296132,-0.62500712450147,0.48717948717948717,-1.2158776327954928,5,3,-1.232117535077427,-0.625588542990174,0.0010031823690953472,0.017511693910744107,-0.019121574218351284,-0.2294588906202154,-1.4054025543821635,0.48717948717948717,-0.00022920667957502977,-0.03861960489328838,6.0,0.23755115242750235,0.2375511524275024,0.11203536806094345,0.11203536806094351,1,39
train,decile,24,12,no_skip,2019-03,2022-11,45,-0.006608253438306345,-0.07929904125967614,0.08201094907455578,-0.2791293317196698,0.5333333333333333,-0.4583806395318124,11,3,-0.5121899029316686,-0.5569048623135198,0.005753130305539352,0.0123613837438457,-0.00854232628432544,-0.10250791541190526,-0.5929080515330868,0.5111111111111111,0.00483255257535881,0.8179566395159332,12.0,0.17582480418355345,0.17582480418355348,0.08368888456186742,0.08368888456186742,1,45
train,decile,24,18,no_skip,2019-03,2023-05,51,5.119103183510154e-05,0.0006142923820212185,0.0794664257510366,0.0022315202223403166,0.5294117647058824,0.00311482767257968,17,3,0.00408446190356075,-0.5516563262817908,0.008758867352474286,0.008707676320639186,-0.001575085740645481,-0.018901028887745773,-0.0958184580740135,0.5098039215686274,0.007976658934514255,1.4804297187105688,13.0,0.14784334295278,0.14784334295278007,0.0711098561781843,0.0711098561781843,1,51
train,decile,24,24,no_skip,2019-03,2023-11,57,0.002170670741965461,0.02604804890358553,0.07444060784393032,0.1010123941886637,0.5614035087719298,0.13864061740345263,23,3,0.19432757466297987,-0.5569801658127562,0.006459629936409957,0.004288959194444499,0.0007275743742673012,0.008730892491207615,0.046228235144562015,0.5614035087719298,0.005769524982644531,1.196273248434209,15.0,0.13119057888165075,0.13119057888165078,0.06273681397867514,0.06273681397867516,1,57
train,decile,24,24,skip1,2019-04,2023-11,56,0.004322673825322587,0.051872085903871046,0.0736274461970431,0.203377709719002,0.5535714285714286,0.2883021943095,23,3,0.38626966938427293,-0.5563213943551031,0.006188420472287239,0.001865746646964652,0.002856915931421025,0.0342829911770523,0.18948617292270412,0.5535714285714286,0.005481493891143516,0.9869668349130472,14.5,0.1332507176274147,0.1332507176274147,0.06426605283124774,0.06426605283124774,1,56
train,decile,24,30,no_skip,2019-03,2024-05,63,0.004299113554478916,0.051589362653746994,0.0732047531279216,0.20343714815494315,0.5873015873015873,0.29266785777041143,29,3,0.4181608706110448,-0.5569801658127562,0.006803676190237933,0.0025045626357590193,0.002975240835300067,0.0357028900236008,0.20101002280187022,0.5873015873015873,0.006172721738470842,1.6227012431989485,16.0,0.12035206537989536,0.1203520653798954,0.057359495615190194,0.05735949561519021,1,63
