split,grouping,J,K,skip_mode,month_count,loser_monthly_mean_return,winner_monthly_mean_return,monthly_mean_return,loser_long_only_after_cost_monthly_mean_return,loser_long_only_after_cost_t_stat_newey_west,loser_minus_winner_monthly_mean_return
train,tertile,6,24,no_skip,65,0.0054941568573387955,0.0025259281036460204,0.002968228753692772,0.004795395889579424,1.3980371752065808,0.002968228753692775
train,tertile,6,30,no_skip,71,0.005865530298558164,0.002441520539798972,0.0034240097587591957,0.005227416067039472,1.7307697318307056,0.003424009758759192
train,tertile,6,36,no_skip,77,0.0072614542976372504,0.004712976682858355,0.0025484776147788957,0.0066663842165063224,2.382041648291074,0.0025484776147788957
train,tertile,6,42,no_skip,83,0.007388324556144036,0.0036993672436894404,0.003688957312454598,0.006830034644818572,3.1523207381636356,0.0036889573124545957
train,tertile,6,48,no_skip,89,0.008220715789326944,0.006637421425225231,0.0015832943641017124,0.00770006340011331,4.41077729869839,0.001583294364101713
train,tertile,12,1,no_skip,39,0.006240656107122384,0.01745712696929834,-0.01121647086217595,0.0038023630358538438,0.44477978582790184,-0.011216470862175955
train,tertile,12,6,no_skip,47,0.0028102623236678603,0.011533247133845136,-0.008722984810177276,0.0017341557910395414,0.27089325049724194,-0.008722984810177276
train,tertile,12,12,no_skip,53,0.004802663758862888,0.008884091204448295,-0.004081427445585408,0.004029740729684985,0.8760405684781657,-0.004081427445585407
train,tertile,12,12,skip1,53,0.004794216966059008,0.00874283656531331,-0.0039486195992542985,0.004027286183538419,0.896129569328131,-0.003948619599254302
train,tertile,12,18,no_skip,59,0.006972519109237847,0.005696924232529704,0.0012755948767081467,0.006325972369309732,1.9835353823216877,0.0012755948767081433
train,tertile,12,24,no_skip,65,0.006811856832773232,0.00338341806237497,0.003428438770398261,0.006234250410120698,2.293628115161432,0.0034284387703982623
train,tertile,12,30,no_skip,71,0.006522025898705474,0.0034543453808671136,0.003067680517838362,0.005996145762616357,2.426460770892069,0.00306768051783836
train,tertile,12,36,no_skip,77,0.009004793923439282,0.00529328180249546,0.0037115121209438245,0.008516919938428954,3.3355283942977834,0.003711512120943822
train,tertile,12,42,no_skip,83,0.008292501084656644,0.003922986174157552,0.004369514910499092,0.007834860846920075,4.334782419931266,0.004369514910499092
train,tertile,12,48,no_skip,89,0.009104295051963862,0.0070375312918218155,0.002066763760142047,0.00867750696508594,5.288940921604033,0.0020667637601420466
train,tertile,18,1,no_skip,37,0.0012748291703304278,0.01779583319479083,-0.016521004024460405,-0.0007638460086962146,-0.11380220140212707,-0.0165210040244604
train,tertile,18,6,no_skip,46,0.002825787336302966,0.013875191400766736,-0.011049404064463775,0.0019039340621018928,0.349473491690503,-0.01104940406446377
train,tertile,18,12,no_skip,52,0.004906202907816403,0.01012581427879116,-0.005219611370974758,0.004237448919561743,0.994499035177327,-0.005219611370974758
train,tertile,18,18,no_skip,58,0.007221093491993362,0.006782738513547593,0.0004383549784457651,0.006649541265690142,2.090583209888628,0.000438354978445769
train,tertile,18,18,skip1,57,0.008024022933455284,0.007956562310682537,6.746062277274736e-05,0.007448114329138429,2.2486773303692895,6.746062277274666e-05
train,tertile,18,24,no_skip,64,0.00635733059389706,0.004699923343433034,0.0016574072504640242,0.00585020731222866,2.219877511403319,0.0016574072504640259
train,tertile,18,30,no_skip,70,0.006356512570068715,0.004278990667939541,0.002077521902129173,0.005894893636803389,2.78290519354833,0.002077521902129174
train,tertile,18,36,no_skip,76,0.008561026141558516,0.005788135171271437,0.0027728909702870795,0.008133109214698325,3.362719660490741,0.002772890970287079
train,tertile,18,42,no_skip,82,0.007876209609677623,0.004655094756402656,0.0032211148532749674,0.007476669006156327,4.444997031622735,0.003221114853274967
train,tertile,18,48,no_skip,88,0.008539814996374441,0.008024421285034583,0.0005153937113398598,0.00816751579763869,5.06399798794454,0.000515393711339858
