selection_family_id,primitive_seed_id,null_family,frozen_seed_count_in_family,real_metric,empirical_p_value,included_in_fdr_family,candidate_dropped_before_fdr,bh_rank,bh_q_value,fdr_pass,pass
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_590e25e49151d6bc,same_quantile_direction_mix_null,14,1.0414049259259375,0.3772455089820359,True,False,50.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_590e25e49151d6bc,same_token_count_null,14,1.0414049259259375,0.4111776447105788,True,False,59.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_7a91a9802f40eb58,same_feature_family_set_null,14,0.8371330251868927,0.5289421157684631,True,False,80.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_7a91a9802f40eb58,same_fold_presence_null,14,0.8371330251868927,0.5049900199600799,True,False,77.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_7a91a9802f40eb58,same_quantile_direction_mix_null,14,0.8371330251868927,0.5449101796407185,True,False,82.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_7a91a9802f40eb58,same_token_count_null,14,0.8371330251868927,0.5469061876247505,True,False,83.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_86d5dde1c52d602c,same_feature_family_set_null,14,1.180305066488164,0.3872255489021956,True,False,53.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_86d5dde1c52d602c,same_fold_presence_null,14,1.180305066488164,0.27944111776447106,True,False,28.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_86d5dde1c52d602c,same_quantile_direction_mix_null,14,1.180305066488164,0.001996007984031936,True,False,9.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_86d5dde1c52d602c,same_token_count_null,14,1.180305066488164,0.3413173652694611,True,False,43.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,same_feature_family_set_null,14,1.2362199161550136,0.31137724550898205,True,False,37.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,same_fold_presence_null,14,1.2362199161550136,0.2694610778443114,True,False,25.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,same_quantile_direction_mix_null,14,1.2362199161550136,0.3253493013972056,True,False,40.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_a802bbc1ee927370,same_token_count_null,14,1.2362199161550136,0.2894211576846307,True,False,30.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,same_feature_family_set_null,14,0.9734177461285225,0.4231536926147705,True,False,61.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,same_fold_presence_null,14,0.9734177461285225,0.44510978043912175,True,False,68.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,same_quantile_direction_mix_null,14,0.9734177461285225,0.4550898203592814,True,False,72.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_bdada75fdd341add,same_token_count_null,14,0.9734177461285225,0.4471057884231537,True,False,70.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,same_feature_family_set_null,14,0.9649185663014684,0.5129740518962076,True,False,78.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,same_fold_presence_null,14,0.9649185663014684,0.46506986027944114,True,False,73.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,same_quantile_direction_mix_null,14,0.9649185663014684,0.001996007984031936,True,False,10.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c161b734a948d4e1,same_token_count_null,14,0.9649185663014684,0.4750499001996008,True,False,74.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,same_feature_family_set_null,14,1.2825011984053993,0.2754491017964072,True,False,26.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,same_fold_presence_null,14,1.2825011984053993,0.22355289421157684,True,False,17.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,same_quantile_direction_mix_null,14,1.2825011984053993,0.001996007984031936,True,False,11.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c645f9790305e9cb,same_token_count_null,14,1.2825011984053993,0.3033932135728543,True,False,33.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,same_feature_family_set_null,14,0.5013481124202218,0.906187624750499,True,False,110.0,0.9226637633823261,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,same_fold_presence_null,14,0.5013481124202218,0.8023952095808383,True,False,105.0,0.8558882235528942,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,same_quantile_direction_mix_null,14,0.5013481124202218,0.7285429141716567,True,False,101.0,0.8078891721507481,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_c8cecb2b23026b7d,same_token_count_null,14,0.5013481124202218,0.7425149700598802,True,False,102.0,0.8153105553598684,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,same_feature_family_set_null,14,1.0723439830309636,0.437125748502994,True,False,66.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,same_fold_presence_null,14,1.0723439830309636,0.37325349301397204,True,False,49.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,same_quantile_direction_mix_null,14,1.0723439830309636,0.001996007984031936,True,False,12.0,0.018629407850964733,True,True
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_f41f0c1cf62a7319,same_token_count_null,14,1.0723439830309636,0.4311377245508982,True,False,65.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,same_feature_family_set_null,14,0.7428915323248738,0.5608782435129741,True,False,86.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,same_fold_presence_null,14,0.7428915323248738,0.5988023952095808,True,False,94.0,0.7052287178220878,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,same_quantile_direction_mix_null,14,0.7428915323248738,1.0,True,False,112.0,1.0,False,False
post_selected_electronics_explore10d_launch_risk_filter,E10C_SEED_fcda47e3c4b6e009,same_token_count_null,14,0.7428915323248738,0.5888223552894212,True,False,92.0,0.7052287178220878,False,False
