artifact_role,artifact_path,resolved_path,required_flag,lineage_role,read_status,row_count,column_count,sha256,schema_status,required_column_missing_list,input_gate_status
upstream_16a_sampling_unit_count_readout,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/sampling_unit_count_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/sampling_unit_count_readout.csv,required,upstream_16a_authorization_and_step_lineage,pass,9.0,11.0,8a3ac22c0fe7704b0c848fd38507846fcee77587516e6945fa9ca413cd7e8c6c,pass,,pass
upstream_16a_horizon_grid_step_readout,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/horizon_grid_step_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/horizon_grid_step_readout.csv,required,upstream_16a_authorization_and_step_lineage,pass,45.0,13.0,c3a6ab975bce54190c536b0663066f095eecd058c38188ef1cc6be959732e80c,pass,,pass
upstream_16a_effective_sample_size_readout,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/effective_sample_size_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/effective_sample_size_readout.csv,required,upstream_16a_authorization_and_step_lineage,pass,45.0,17.0,25c99abb7754c9f8ed3bdbabc141a4a074fed192d2f0b6dd6667236882bf9491,pass,,pass
upstream_16a_episode_cluster_non_overlap_audit,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/episode_cluster_non_overlap_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/episode_cluster_non_overlap_audit.csv,required,upstream_16a_authorization_and_step_lineage,pass,15.0,8.0,7d4ad84fad7852b4ae8a304304c2791d53d77894c0b34957354bc893102be1aa,pass,,pass
upstream_16a_geometry_by_split_readout,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/geometry_by_split_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/geometry_by_split_readout.csv,required,upstream_16a_authorization_and_step_lineage,pass,3.0,17.0,a7e70085b7e38a5cd31f1719570d02569c172fa60073354bd83207756285f29a,pass,,pass
upstream_16a_geometry_by_threshold_sensitivity_readout,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/geometry_by_threshold_sensitivity_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/geometry_by_threshold_sensitivity_readout.csv,required,upstream_16a_authorization_and_step_lineage,pass,3.0,9.0,bbefb8bebd3877139a895460f69dfcd1dd69fff31421e8a5c87d0aec4f7a63c2,pass,,pass
upstream_16a_sampling_geometry_decision,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/sampling_geometry_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/sampling_geometry_decision.csv,required,upstream_16a_authorization_and_step_lineage,pass,1.0,40.0,10832d857e77a7dfc1dcbb627639147138b3bfcd4ae707dcdcc17a6304e1d3c9,pass,,pass
upstream_16a_search_accounting_audit,outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/search_accounting_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16A_sequential_sampling_geometry_preflight/search_accounting_audit.csv,required,upstream_16a_authorization_and_step_lineage,pass,1.0,16.0,e72fe30819a8c52fc93db7e59debdeeb946267c0e0f864995a6c59aa8f5af3eb,pass,,pass
upstream_16a_episode_interval_panel,outputs/local_cache/16A_sequential_sampling_geometry_preflight/episode_interval_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16A_sequential_sampling_geometry_preflight/episode_interval_panel.parquet,required,upstream_16a_authorization_and_step_lineage,pass,2867.0,14.0,f9d88fdf96a4ea59406ddbc18583a4af0fcabf388cd28453196ca82f4159603b,pass,,pass
upstream_16a_step_geometry_panel,outputs/local_cache/16A_sequential_sampling_geometry_preflight/step_geometry_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16A_sequential_sampling_geometry_preflight/step_geometry_panel.parquet,required,upstream_16a_authorization_and_step_lineage,pass,8510.0,19.0,feed51cc2b274c14be094d29b843a8e7b6a459a9241421a451bae03c94fedd46,pass,,pass
upstream_15b_config,SOURCE_EP15_ROOT/configs/config_15b_winner_path_shape_taxonomy_diagnostic.yaml,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/configs/config_15b_winner_path_shape_taxonomy_diagnostic.yaml,required,upstream_15b_hard_taxonomy_projection,pass,,,1eb70d0a38458c0882ef49897d8ced454e1b22e81001ff044084d7ce692b4240,not_checked,,pass
upstream_15b_membership_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_membership_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_membership_audit.csv,required,upstream_15b_hard_taxonomy_projection,pass,417131.0,58.0,5a71dea1f987b59ce09d5c3923f5ab0596def4bb6ac0463192ab8954873a5267,pass,,pass
upstream_15b_split_overlap_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/split_overlap_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/split_overlap_audit.csv,required,upstream_15b_hard_taxonomy_projection,pass,2867.0,16.0,2c4cf4b8b55295125069e3bbcc0cc64de69cfb4855a41e39039f6ced49aa3b93,pass,,pass
upstream_15b_path_defined_label_adapter_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_defined_label_adapter_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_defined_label_adapter_audit.csv,required,upstream_15b_hard_taxonomy_projection,pass,1.0,9.0,4a6641cb54b46be7ebbb60199a319d254581977adee77c32f66c87803a21ed7b,pass,,pass
upstream_15b_path_shape_taxonomy_rule_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_shape_taxonomy_rule_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_shape_taxonomy_rule_audit.csv,required,upstream_15b_hard_taxonomy_projection,pass,30.0,13.0,52ddf5d3b5734034db57aa9c1677713d6a52c49f2c9092e19177cab48a2a3f68,pass,,pass
upstream_15b_representative_anchor_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/representative_anchor_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/representative_anchor_audit.csv,required,upstream_15b_hard_taxonomy_projection,pass,2867.0,18.0,8b0ab6bf8812519874da6134db735829e0f47f4082e970ed8428a9e376982364,pass,,pass
upstream_15a_price_path_completeness_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/price_path_completeness_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/price_path_completeness_audit.csv,required,run_config_input,pass,1449.0,12.0,4561a18e37b447b9d135c6af08dabdf0608986b96cc10fc428cbe1203b8d26eb,pass,,pass
upstream_15b_price_path_completeness_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/price_path_completeness_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/price_path_completeness_audit.csv,required,upstream_15b_hard_taxonomy_projection,pass,1449.0,9.0,8bc7b1d30a67318c5b445385ea00ee4e4981b639388917c8d72bd121fd19e783,pass,,pass
upstream_15c2_decision,SOURCE_EP15_ROOT/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/winner_soft_shape_membership_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/winner_soft_shape_membership_decision.csv,required,upstream_15c2_soft_overlap_context,pass,1.0,22.0,dc280e692495380ec74b1d022d01fd6484baca57dec34f602dbaeecc1e5ca6be,pass,,pass
upstream_15c2_anchor_soft_membership_panel_publishable,SOURCE_EP15_ROOT/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/anchor_soft_membership_panel.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/anchor_soft_membership_panel.csv,required,upstream_15c2_soft_overlap_context,pass,124999.0,34.0,c7fa5a0dafcebf81c67ffccf0bd602b875e57393ae0a03ecd82daf3035add2fc,pass,,pass
upstream_15c2_known_failed_morphology_overlap_readout,SOURCE_EP15_ROOT/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/known_failed_morphology_overlap_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/known_failed_morphology_overlap_readout.csv,required,upstream_15c2_soft_overlap_context,pass,108.0,10.0,da1776167737b1b5566460fdf5c9f7d033a6fec3063402e4caf4169796c95c39,pass,,pass
upstream_15c2_shape_membership_rule_audit,SOURCE_EP15_ROOT/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/shape_membership_rule_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/shape_membership_rule_audit.csv,required,upstream_15c2_soft_overlap_context,pass,7.0,19.0,298e5655846263cb4fd8c6d3748ef847e167444d5999cc4f3ea06b16ef62202d,pass,,pass
upstream_15b_taxonomy_assignment_panel,SOURCE_EP15_ROOT/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/taxonomy_assignment_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/taxonomy_assignment_panel.parquet,required,upstream_15b_hard_taxonomy_projection,pass,419998.0,91.0,bb9ddef1f09b0ff5819363f1e6faaae870b03a877bb19001d6ff52222afb3cf0,pass,,pass
upstream_15c2_anchor_soft_membership_panel,SOURCE_EP15_ROOT/outputs/local_cache/15C2_winner_soft_shape_membership_diagnostic/anchor_soft_membership_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15C2_winner_soft_shape_membership_diagnostic/anchor_soft_membership_panel.parquet,optional_soft_overlap_context,upstream_15c2_soft_overlap_context,pass,124999.0,34.0,5ebc98038a933507f2d52e4a9555bd526987275cd52029536a4cd72a5f8ca234,pass,,pass
upstream_14a_morphology_rediscovery_audit,SOURCE_EP14_ROOT/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/morphology_rediscovery_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/morphology_rediscovery_audit.csv,optional_appendix,upstream_14a_appendix_context,pass,81.0,19.0,3f71ae7705c89ca365953ab8145f206944201f0c641ada3611512e3c7097f6e6,pass,,pass
upstream_14a_sparse_event_raw_readout,SOURCE_EP14_ROOT/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_raw_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_raw_readout.csv,optional_appendix,upstream_14a_appendix_context,pass,48.0,46.0,02694469418fb93188e457c3286df3ec6b09f90e57d81954b401c6d185520c6c,pass,,pass
