instrument,qfq_path,qfq_row_n,required_by_labelable_step_n,missing_qfq_file_flag,missing_required_columns,nonfinite_close_n,nonpositive_close_n,step_bounds_out_of_qfq_n,qfq_row_n_15a,qfq_row_n_15b,qfq_price_source_status,blocking_reason
SH600536,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600536.csv,2279,519,False,,0,0,0,2279,2279,pass,
SH600556,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600556.csv,2112,140,False,,0,0,0,2112,2112,pass,
SH600559,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600559.csv,2084,730,False,,0,0,0,2084,2084,pass,
SH600563,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600563.csv,2281,398,False,,0,0,0,2281,2281,pass,
SH600570,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600570.csv,2279,1287,False,,0,0,0,2279,2279,pass,
SH600585,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600585.csv,2281,633,False,,0,0,0,2281,2281,pass,
SH600588,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600588.csv,2279,246,False,,0,0,0,2279,2279,pass,
SH600596,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600596.csv,2267,814,False,,0,0,0,2267,2267,pass,
SH600597,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600597.csv,2281,621,False,,0,0,0,2281,2281,pass,
SH600598,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600598.csv,2281,842,False,,0,0,0,2281,2281,pass,
SH600604,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600604.csv,2281,423,False,,0,0,0,2281,2281,pass,
SH600621,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600621.csv,2275,624,False,,0,0,0,2275,2275,pass,
SH600623,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600623.csv,2281,786,False,,0,0,0,2281,2281,pass,
SH600633,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600633.csv,2242,1492,False,,0,0,0,2242,2242,pass,
SH600635,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600635.csv,2280,1975,False,,0,0,0,2280,2280,pass,
SH600640,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600640.csv,2281,159,False,,0,0,0,2281,2281,pass,
SH600641,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600641.csv,2201,707,False,,0,0,0,2201,2201,pass,
SH600667,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600667.csv,2281,1351,False,,0,0,0,2281,2281,pass,
SH600685,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600685.csv,2157,718,False,,0,0,0,2157,2157,pass,
SH600702,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600702.csv,2269,264,False,,0,0,0,2269,2269,pass,
SH600703,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600703.csv,2281,1447,False,,0,0,0,2281,2281,pass,
SH600704,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600704.csv,2281,1119,False,,0,0,0,2281,2281,pass,
SH600707,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600707.csv,2280,903,False,,0,0,0,2280,2280,pass,
SH600733,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq/SH600733.csv,1857,670,False,,0,0,0,1857,1857,pass,
