instrument,qfq_row_n,upstream_15a_price_path_status,upstream_15b_price_path_status,qfq_price_source_status,required_labelable_step_n,max_step_end_pos,step_bounds_out_of_qfq_n,price_path_status,blocking_reason
SH603026,2281,pass,pass,pass,96,1146,0,pass,
SH603027,2280,pass,pass,pass,184,996,0,pass,
SH603077,2269,pass,pass,pass,1348,1135,0,pass,
SH603083,2073,pass,pass,pass,140,2069,0,pass,
SH603218,2281,pass,pass,pass,126,1176,0,pass,
SH603228,2278,pass,pass,pass,480,2273,0,pass,
SH603256,1662,pass,pass,pass,2405,1642,0,pass,
SH603259,1956,pass,pass,pass,489,1780,0,pass,
SH603260,2082,pass,pass,pass,1570,1955,0,pass,
SH603267,1708,pass,pass,pass,268,620,0,pass,
SH603268,2209,pass,pass,pass,322,2192,0,pass,
SH603288,2281,pass,pass,pass,1128,978,0,pass,
SH603296,678,pass,pass,pass,795,662,0,pass,
SH603338,2281,pass,pass,pass,811,1189,0,pass,
SH603345,2211,pass,pass,pass,465,930,0,pass,
SH603369,2281,pass,pass,pass,1122,975,0,pass,
SH603392,1473,pass,pass,pass,258,889,0,pass,
SH603486,1942,pass,pass,pass,240,1776,0,pass,
SH603517,2232,pass,pass,pass,1044,954,0,pass,
SH603565,1371,pass,pass,pass,138,215,0,pass,
SH603589,2281,pass,pass,pass,1039,1498,0,pass,
SH603658,2281,pass,pass,pass,1006,930,0,pass,
SH603659,2022,pass,pass,pass,607,1999,0,pass,
SH603699,2271,pass,pass,pass,2719,2192,0,pass,
SH603708,2281,pass,pass,pass,181,846,0,pass,
SH603712,2000,pass,pass,pass,564,593,0,pass,
SH603730,2128,pass,pass,pass,1209,2123,0,pass,
SH603737,2281,pass,pass,pass,612,1089,0,pass,
SH603766,2280,pass,pass,pass,1795,2010,0,pass,
SH603799,2269,pass,pass,pass,709,2186,0,pass,
SH603816,2277,pass,pass,pass,288,995,0,pass,
SH603866,2281,pass,pass,pass,365,892,0,pass,
SH603882,2113,pass,pass,pass,1140,818,0,pass,
SH603893,1530,pass,pass,pass,326,1353,0,pass,
SH603899,2281,pass,pass,pass,1164,1002,0,pass,
SH603979,2281,pass,pass,pass,480,2203,0,pass,
SH605117,1237,pass,pass,pass,584,1230,0,pass,
SZ000001,2281,pass,pass,pass,751,998,0,pass,
SZ000009,2281,pass,pass,pass,1365,1130,0,pass,
SZ000012,2281,pass,pass,pass,860,1117,0,pass,
SZ000016,2261,pass,pass,pass,538,770,0,pass,
SZ000027,2281,pass,pass,pass,756,1030,0,pass,
SZ000062,2264,pass,pass,pass,2653,2246,0,pass,
SZ000155,2026,pass,pass,pass,148,898,0,pass,
SZ000429,2281,pass,pass,pass,1374,1932,0,pass,
SZ000488,2279,pass,pass,pass,713,1003,0,pass,
SZ000503,2121,pass,pass,pass,28,389,0,pass,
SZ000519,2281,pass,pass,pass,1260,1159,0,pass,
SZ000537,2275,pass,pass,pass,1476,1197,0,pass,
SZ000547,2178,pass,pass,pass,2613,2086,0,pass,
SZ000598,2281,pass,pass,pass,1472,1835,0,pass,
SZ000600,2279,pass,pass,pass,2064,2274,0,pass,
SZ000629,1949,pass,pass,pass,244,1872,0,pass,
SZ000636,2281,pass,pass,pass,2956,2279,0,pass,
SZ000656,2226,pass,pass,pass,388,843,0,pass,
SZ000657,2266,pass,pass,pass,200,2204,0,pass,
SZ000703,2218,pass,pass,pass,698,2198,0,pass,
SZ000710,2270,pass,pass,pass,817,859,0,pass,
SZ000718,2281,pass,pass,pass,1257,1070,0,pass,
SZ000738,2281,pass,pass,pass,1062,2215,0,pass,
SZ000739,2281,pass,pass,pass,815,1192,0,pass,
SZ000768,2281,pass,pass,pass,1283,1903,0,pass,
SZ000786,2279,pass,pass,pass,1163,1000,0,pass,
SZ000792,1962,pass,pass,pass,453,800,0,pass,
SZ000799,2281,pass,pass,pass,451,1149,0,pass,
SZ000825,2173,pass,pass,pass,1220,1040,0,pass,
SZ000839,2279,pass,pass,pass,24,535,0,pass,
SZ000858,2281,pass,pass,pass,1163,1002,0,pass,
SZ000860,2281,pass,pass,pass,786,889,0,pass,
SZ000869,2281,pass,pass,pass,345,967,0,pass,
SZ000887,2202,pass,pass,pass,675,1110,0,pass,
SZ000895,2266,pass,pass,pass,969,875,0,pass,
SZ000898,2281,pass,pass,pass,147,1142,0,pass,
SZ000902,2281,pass,pass,pass,824,1146,0,pass,
SZ000932,2251,pass,pass,pass,868,1112,0,pass,
SZ000935,2108,pass,pass,pass,2050,2095,0,pass,
SZ000937,2281,pass,pass,pass,1351,1150,0,pass,
SZ000951,2281,pass,pass,pass,900,2249,0,pass,
SZ000959,2249,pass,pass,pass,508,1122,0,pass,
SZ000987,2255,pass,pass,pass,312,832,0,pass,
SZ000990,2281,pass,pass,pass,374,856,0,pass,
SZ000998,2261,pass,pass,pass,692,1161,0,pass,
SZ001203,1226,pass,pass,pass,108,1198,0,pass,
SZ001309,947,pass,pass,pass,211,931,0,pass,
SZ001389,521,pass,pass,pass,135,498,0,pass,
SZ001914,2270,pass,pass,pass,164,860,0,pass,
SZ002019,2281,pass,pass,pass,144,874,0,pass,
SZ002027,2281,pass,pass,pass,707,1001,0,pass,
SZ002030,2281,pass,pass,pass,666,870,0,pass,
SZ002064,2266,pass,pass,pass,432,991,0,pass,
SZ002065,2271,pass,pass,pass,653,757,0,pass,
SZ002074,2268,pass,pass,pass,357,2100,0,pass,
SZ002075,1820,pass,pass,pass,569,486,0,pass,
SZ002127,2276,pass,pass,pass,531,849,0,pass,
SZ002155,2271,pass,pass,pass,158,2208,0,pass,
SZ002176,2269,pass,pass,pass,1363,1138,0,pass,
SZ002221,2273,pass,pass,pass,654,1138,0,pass,
SZ002242,2281,pass,pass,pass,296,895,0,pass,
SZ002261,2281,pass,pass,pass,203,2100,0,pass,
SZ002266,2270,pass,pass,pass,316,1139,0,pass,
SZ002268,2281,pass,pass,pass,95,1517,0,pass,
SZ002281,2281,pass,pass,pass,801,2265,0,pass,
SZ002304,2281,pass,pass,pass,1102,976,0,pass,
SZ002311,2281,pass,pass,pass,190,998,0,pass,
SZ002320,2281,pass,pass,pass,2814,2143,0,pass,
SZ002371,2281,pass,pass,pass,828,2274,0,pass,
SZ002396,2246,pass,pass,pass,496,733,0,pass,
SZ002414,2281,pass,pass,pass,807,2198,0,pass,
SZ002434,2281,pass,pass,pass,957,1189,0,pass,
SZ002444,2281,pass,pass,pass,1156,1002,0,pass,
SZ002461,2281,pass,pass,pass,546,864,0,pass,
SZ002463,2281,pass,pass,pass,834,2278,0,pass,
SZ002466,2256,pass,pass,pass,448,2238,0,pass,
SZ002475,2280,pass,pass,pass,498,2267,0,pass,
SZ002491,2281,pass,pass,pass,2088,2266,0,pass,
SZ002493,2281,pass,pass,pass,1250,2221,0,pass,
SZ002497,2281,pass,pass,pass,163,1144,0,pass,
SZ002498,2281,pass,pass,pass,1484,2267,0,pass,
SZ002507,2204,pass,pass,pass,706,815,0,pass,
SZ002508,2281,pass,pass,pass,606,1094,0,pass,
SZ002555,2270,pass,pass,pass,532,2180,0,pass,
SZ002572,2281,pass,pass,pass,756,999,0,pass,
SZ002603,2281,pass,pass,pass,524,1426,0,pass,
SZ002607,2183,pass,pass,pass,652,835,0,pass,
SZ002624,2271,pass,pass,pass,543,851,0,pass,
SZ002647,2163,pass,pass,pass,132,830,0,pass,
SZ002705,2281,pass,pass,pass,462,987,0,pass,
SZ002709,2281,pass,pass,pass,813,2263,0,pass,
SZ002755,2250,pass,pass,pass,1619,2052,0,pass,
SZ002756,2159,pass,pass,pass,261,2139,0,pass,
SZ002791,2281,pass,pass,pass,594,1209,0,pass,
SZ002797,2264,pass,pass,pass,451,840,0,pass,
SZ002812,2185,pass,pass,pass,523,2167,0,pass,
SZ002837,2205,pass,pass,pass,482,2178,0,pass,
SZ002850,2244,pass,pass,pass,497,2237,0,pass,
SZ002851,2162,pass,pass,pass,481,2158,0,pass,
SZ002867,2206,pass,pass,pass,370,928,0,pass,
SZ002939,1840,pass,pass,pass,197,1653,0,pass,
SZ003022,1325,pass,pass,pass,144,191,0,pass,
SZ003031,1297,pass,pass,pass,917,1283,0,pass,
SZ300001,2281,pass,pass,pass,662,989,0,pass,
SZ300003,2281,pass,pass,pass,346,2193,0,pass,
SZ300006,2281,pass,pass,pass,862,1123,0,pass,
SZ300008,2259,pass,pass,pass,1897,2197,0,pass,
SZ300010,2214,pass,pass,pass,730,1832,0,pass,
SZ300012,2281,pass,pass,pass,967,2252,0,pass,
SZ300020,2271,pass,pass,pass,404,893,0,pass,
SZ300026,2278,pass,pass,pass,780,1217,0,pass,
SZ300031,2271,pass,pass,pass,2625,1968,0,pass,
SZ300035,2281,pass,pass,pass,100,1170,0,pass,
SZ300036,2281,pass,pass,pass,552,1188,0,pass,
SZ300037,2281,pass,pass,pass,618,2279,0,pass,
SZ300039,2281,pass,pass,pass,1608,1448,0,pass,
SZ300043,2281,pass,pass,pass,1747,2116,0,pass,
SZ300045,2271,pass,pass,pass,1236,2180,0,pass,
SZ300047,2272,pass,pass,pass,2355,2090,0,pass,
SZ300053,2263,pass,pass,pass,2708,2183,0,pass,
SZ300054,2273,pass,pass,pass,818,2265,0,pass,
SZ300055,2281,pass,pass,pass,969,1142,0,pass,
SZ300066,2281,pass,pass,pass,1629,2098,0,pass,
SZ300072,2261,pass,pass,pass,499,1187,0,pass,
SZ300073,2259,pass,pass,pass,198,2101,0,pass,
SZ300079,2281,pass,pass,pass,1257,1140,0,pass,
SZ300081,2267,pass,pass,pass,480,1194,0,pass,
SZ300082,2275,pass,pass,pass,122,1139,0,pass,
SZ300085,2207,pass,pass,pass,2636,2040,0,pass,
SZ300087,2206,pass,pass,pass,582,1044,0,pass,
SZ300088,2119,pass,pass,pass,157,1048,0,pass,
SZ300101,2281,pass,pass,pass,969,1134,0,pass,
SZ300110,2266,pass,pass,pass,126,536,0,pass,
SZ300113,2281,pass,pass,pass,2477,2226,0,pass,
SZ300115,2271,pass,pass,pass,471,2174,0,pass,
SZ300118,2197,pass,pass,pass,1514,2124,0,pass,
SZ300122,2281,pass,pass,pass,1288,1673,0,pass,
SZ300123,2249,pass,pass,pass,904,1079,0,pass,
SZ300127,2271,pass,pass,pass,2383,2115,0,pass,
SZ300128,2222,pass,pass,pass,1672,2079,0,pass,
SZ300131,2172,pass,pass,pass,2913,2161,0,pass,
SZ300132,2258,pass,pass,pass,802,1026,0,pass,
SZ300134,2072,pass,pass,pass,744,1680,0,pass,
SZ300137,2277,pass,pass,pass,2865,2267,0,pass,
SZ300143,2212,pass,pass,pass,171,1004,0,pass,
SZ300147,2279,pass,pass,pass,1561,1898,0,pass,
SZ300149,2038,pass,pass,pass,270,651,0,pass,
SZ300158,2281,pass,pass,pass,1155,1276,0,pass,
SZ300159,2198,pass,pass,pass,519,1047,0,pass,
SZ300171,2281,pass,pass,pass,954,1125,0,pass,
SZ300177,2223,pass,pass,pass,1331,1872,0,pass,
SZ300180,2275,pass,pass,pass,993,1884,0,pass,
SZ300181,2281,pass,pass,pass,2218,2045,0,pass,
SZ300183,2281,pass,pass,pass,886,1115,0,pass,
SZ300184,2279,pass,pass,pass,2531,2278,0,pass,
SZ300191,2281,pass,pass,pass,3041,2222,0,pass,
SZ300194,2281,pass,pass,pass,45,793,0,pass,
SZ300199,2281,pass,pass,pass,757,1261,0,pass,
SZ300203,2281,pass,pass,pass,1358,1404,0,pass,
SZ300205,2279,pass,pass,pass,770,1266,0,pass,
SZ300206,2281,pass,pass,pass,154,855,0,pass,
SZ300209,2116,pass,pass,pass,1465,2107,0,pass,
SZ300215,2281,pass,pass,pass,658,1149,0,pass,
SZ300219,2266,pass,pass,pass,1007,1174,0,pass,
SZ300222,2234,pass,pass,pass,1623,2230,0,pass,
SZ300223,2200,pass,pass,pass,313,1031,0,pass,
SZ300233,2276,pass,pass,pass,241,1266,0,pass,
SZ300236,2281,pass,pass,pass,2463,2275,0,pass,
SZ300238,2173,pass,pass,pass,416,757,0,pass,
SZ300244,2278,pass,pass,pass,732,983,0,pass,
SZ300245,2275,pass,pass,pass,1784,1970,0,pass,
SZ300253,2266,pass,pass,pass,661,2176,0,pass,
SZ300255,2280,pass,pass,pass,2436,2141,0,pass,
SZ300256,2262,pass,pass,pass,612,878,0,pass,
SZ300259,2281,pass,pass,pass,2831,2272,0,pass,
SZ300260,2207,pass,pass,pass,800,2054,0,pass,
SZ300261,2261,pass,pass,pass,1056,1204,0,pass,
SZ300267,2147,pass,pass,pass,180,762,0,pass,
SZ300276,2216,pass,pass,pass,2026,1907,0,pass,
SZ300284,2276,pass,pass,pass,2008,1886,0,pass,
SZ300285,2217,pass,pass,pass,975,2214,0,pass,
SZ300287,2281,pass,pass,pass,2268,1969,0,pass,
SZ300292,2222,pass,pass,pass,236,735,0,pass,
SZ300294,2253,pass,pass,pass,628,1087,0,pass,
SZ300296,2281,pass,pass,pass,147,1129,0,pass,
SZ300299,2253,pass,pass,pass,531,834,0,pass,
SZ300300,2266,pass,pass,pass,1710,2150,0,pass,
SZ300308,2276,pass,pass,pass,106,1560,0,pass,
SZ300310,2269,pass,pass,pass,2181,1902,0,pass,
SZ300311,2280,pass,pass,pass,612,1104,0,pass,
SZ300315,2182,pass,pass,pass,561,774,0,pass,
SZ300316,2281,pass,pass,pass,695,2207,0,pass,
SZ300317,2185,pass,pass,pass,418,818,0,pass,
SZ300318,2281,pass,pass,pass,40,912,0,pass,
SZ300322,2169,pass,pass,pass,2746,2167,0,pass,
SZ300326,2267,pass,pass,pass,534,844,0,pass,
SZ300328,2271,pass,pass,pass,2756,2098,0,pass,
SZ300331,2281,pass,pass,pass,3091,2271,0,pass,
SZ300339,2261,pass,pass,pass,1278,2080,0,pass,
SZ300341,2260,pass,pass,pass,1798,1876,0,pass,
SZ300342,2281,pass,pass,pass,2258,2251,0,pass,
SZ300347,2276,pass,pass,pass,170,2075,0,pass,
SZ300352,2280,pass,pass,pass,792,762,0,pass,
SZ300353,2256,pass,pass,pass,1512,2099,0,pass,
SZ300355,2281,pass,pass,pass,2088,1904,0,pass,
SZ300357,2281,pass,pass,pass,1146,990,0,pass,
SZ300364,2135,pass,pass,pass,452,2067,0,pass,
SZ300366,2280,pass,pass,pass,1360,1647,0,pass,
SZ300368,2253,pass,pass,pass,560,866,0,pass,
SZ300369,2266,pass,pass,pass,147,1100,0,pass,
SZ300376,2176,pass,pass,pass,538,1019,0,pass,
SZ300386,2281,pass,pass,pass,848,890,0,pass,
SZ300397,2271,pass,pass,pass,435,888,0,pass,
SZ300411,2197,pass,pass,pass,1358,1809,0,pass,
SZ300413,2114,pass,pass,pass,1392,1953,0,pass,
SZ300418,2276,pass,pass,pass,265,1531,0,pass,
SZ300436,2271,pass,pass,pass,2301,2072,0,pass,
SZ300443,2276,pass,pass,pass,206,1171,0,pass,
SZ300444,2174,pass,pass,pass,1701,2113,0,pass,
SZ300454,1950,pass,pass,pass,720,1872,0,pass,
SZ300455,2148,pass,pass,pass,2266,2058,0,pass,
SZ300457,2265,pass,pass,pass,361,2107,0,pass,
SZ300458,2281,pass,pass,pass,282,2104,0,pass,
SZ300459,2207,pass,pass,pass,82,1852,0,pass,
SZ300465,2255,pass,pass,pass,2875,2079,0,pass,
SZ300467,2165,pass,pass,pass,1818,2148,0,pass,
SZ300468,2280,pass,pass,pass,1742,2048,0,pass,
SZ300470,2281,pass,pass,pass,433,1001,0,pass,
SZ300474,2274,pass,pass,pass,81,1509,0,pass,
SZ300475,2252,pass,pass,pass,503,1556,0,pass,
SZ300477,2249,pass,pass,pass,400,1087,0,pass,
SZ300485,2281,pass,pass,pass,572,839,0,pass,
SZ300493,2277,pass,pass,pass,2552,1925,0,pass,
SZ300496,2278,pass,pass,pass,447,2188,0,pass,
SZ300516,2281,pass,pass,pass,2361,2186,0,pass,
SZ300528,2281,pass,pass,pass,2846,2115,0,pass,
SZ300548,2277,pass,pass,pass,304,2253,0,pass,
SZ300558,2281,pass,pass,pass,191,2102,0,pass,
SZ300559,2281,pass,pass,pass,483,854,0,pass,
SZ300567,2281,pass,pass,pass,517,2272,0,pass,
SZ300570,2281,pass,pass,pass,2690,2267,0,pass,
SZ300579,2281,pass,pass,pass,854,887,0,pass,
SZ300584,2274,pass,pass,pass,960,1256,0,pass,
SZ300596,2259,pass,pass,pass,891,1388,0,pass,
SZ300598,2263,pass,pass,pass,92,1060,0,pass,
SZ300602,2264,pass,pass,pass,1971,2260,0,pass,
SZ300618,2240,pass,pass,pass,306,1058,0,pass,
SZ300620,2228,pass,pass,pass,149,2216,0,pass,
SZ300627,2231,pass,pass,pass,320,2141,0,pass,
SZ300628,2233,pass,pass,pass,94,1833,0,pass,
SZ300634,1984,pass,pass,pass,1625,1895,0,pass,
SZ300653,2194,pass,pass,pass,1270,1312,0,pass,
SZ300661,2171,pass,pass,pass,404,2164,0,pass,
SZ300671,2160,pass,pass,pass,323,987,0,pass,
SZ300672,2132,pass,pass,pass,272,971,0,pass,
SZ300676,2143,pass,pass,pass,339,1845,0,pass,
SZ300677,2148,pass,pass,pass,172,2112,0,pass,
SZ300695,2113,pass,pass,pass,1889,1927,0,pass,
SZ300697,2110,pass,pass,pass,2361,2033,0,pass,
SZ300698,2119,pass,pass,pass,1771,1891,0,pass,
SZ300699,2118,pass,pass,pass,1126,815,0,pass,
SZ300712,2081,pass,pass,pass,18,917,0,pass,
SZ300735,2038,pass,pass,pass,1201,1663,0,pass,
SZ300741,2000,pass,pass,pass,1044,911,0,pass,
SZ300749,1843,pass,pass,pass,1761,1786,0,pass,
SZ300755,1775,pass,pass,pass,938,707,0,pass,
SZ300757,1770,pass,pass,pass,754,1766,0,pass,
SZ300759,1776,pass,pass,pass,180,1612,0,pass,
SZ300760,1848,pass,pass,pass,799,656,0,pass,
SZ300762,1748,pass,pass,pass,2448,1658,0,pass,
SZ300763,1745,pass,pass,pass,249,1698,0,pass,
SZ300765,1722,pass,pass,pass,1678,1644,0,pass,
SZ300766,1741,pass,pass,pass,1976,1430,0,pass,
SZ300770,1723,pass,pass,pass,309,294,0,pass,
SZ300777,1707,pass,pass,pass,541,614,0,pass,
SZ300782,1685,pass,pass,pass,667,1673,0,pass,
SZ300821,1506,pass,pass,pass,459,360,0,pass,
SZ300857,1415,pass,pass,pass,724,1401,0,pass,
SZ300870,1395,pass,pass,pass,147,1382,0,pass,
SZ300888,1377,pass,pass,pass,215,1115,0,pass,
SZ300896,1370,pass,pass,pass,182,180,0,pass,
SZ300919,1314,pass,pass,pass,271,1296,0,pass,
SZ300953,1259,pass,pass,pass,368,1251,0,pass,
SZ301205,896,pass,pass,pass,998,883,0,pass,
SZ301217,1047,pass,pass,pass,226,1034,0,pass,
SZ301269,917,pass,pass,pass,76,552,0,pass,
SZ301377,851,pass,pass,pass,249,845,0,pass,
SZ301511,671,pass,pass,pass,272,653,0,pass,
SZ301526,584,pass,pass,pass,730,565,0,pass,
SZ301536,524,pass,pass,pass,232,513,0,pass,
SZ301611,429,pass,pass,pass,426,340,0,pass,
SH601061,759,pass,pass,pass,93,627,0,pass,
SH601615,1771,pass,pass,pass,50,673,0,pass,
SZ002050,2243,pass,pass,pass,235,2158,0,pass,
SZ002241,2281,pass,pass,pass,190,2126,0,pass,
SZ002460,2280,pass,pass,pass,263,2262,0,pass,
SZ002531,2275,pass,pass,pass,475,1165,0,pass,
SZ300207,2268,pass,pass,pass,207,2128,0,pass,
SZ300724,1889,pass,pass,pass,234,1816,0,pass,
SH600008,2265,pass,pass,pass,249,1135,0,pass,
SH600018,2278,pass,pass,pass,20,550,0,pass,
SH600022,2184,pass,pass,pass,326,1044,0,pass,
SH600029,2278,pass,pass,pass,120,2205,0,pass,
SH600032,1215,pass,pass,pass,7,84,0,pass,
SH600048,2281,pass,pass,pass,58,1880,0,pass,
SH600061,2281,pass,pass,pass,58,1881,0,pass,
SH600064,2280,pass,pass,pass,832,2140,0,pass,
SH600100,2175,pass,pass,pass,17,442,0,pass,
SH600104,2281,pass,pass,pass,62,930,0,pass,
SH600110,2265,pass,pass,pass,15,1160,0,pass,
SH600120,2281,pass,pass,pass,887,1965,0,pass,
SH600171,2248,pass,pass,pass,173,1062,0,pass,
SH600216,2281,pass,pass,pass,312,856,0,pass,
SH600226,2012,pass,pass,pass,864,2008,0,pass,
