model_id,feature_name,feature_family_id,coefficient,feature_train_std,standardized_coefficient,abs_coefficient_rank,standardized_abs_coefficient_rank,train_fit_row_n,coefficient_source
ridge_logistic_top30_sanity_v1,mr_ret_10d,F1,-0.10632770928609706,1.0323240857303713,-0.10976465527657485,12,7,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_ret_20d,F1,0.08828828108607621,0.9877728204084469,0.08720876441740724,17,14,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_ma_5_20_spread,F1,0.14422799099014982,0.9763183515274224,0.140812434407615,8,6,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_ma_20_60_spread,F1,-0.056777700614084506,0.8895849979222982,-0.050508590682813236,20,19,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_distance_to_20d_high,F1,0.13314900214468725,0.7721372398922111,0.10280930301040091,9,10,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_distance_to_60d_high,F1,0.15092861706412472,0.719975111222924,0.1086648478574653,7,8,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_turnover_rate_20d_mean,F2,-0.1871244928683109,1.3054229558997703,-0.2442766086013959,5,4,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_turnover_rate_60d_mean,F2,0.08582255227045013,1.1655066612792437,0.10002675635919571,18,12,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_turnover_rate_20d_zscore,F2,-0.10417491807647274,0.8209612058047739,-0.0855235663586746,13,15,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_volume_20d_zscore,F2,0.5727487393591524,0.8165206705287886,0.4676611847060535,1,1,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_money_20d_zscore,F2,-0.3710978657692604,0.8236209981294076,-0.30564399460857117,3,3,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_board_rank_pct,F3,0.05122538376640186,0.8835247447188733,0.04525889411533652,21,20,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_board_rank_by_market_cap,F3,-0.1568563328021761,0.4896258364679922,-0.07680091315356723,6,17,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_volatility_20d,F4,-0.11498218922145692,0.8111554481355102,-0.09326842922553293,10,13,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_volatility_60d,F4,-0.09140790554720189,0.7863799527702472,-0.07188134444703584,16,18,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_max_drawdown_20d,F4,-0.42947047108220204,0.808493786994428,-0.3472242075675305,2,2,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_max_drawdown_60d,F4,-0.10240796199849057,0.7549761748238966,-0.07731557142113138,14,16,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_intraday_range_20d_mean,F4,0.28650110706347626,0.7982450649532657,0.22869809481706715,4,5,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_board_bucket_chinext,F5,0.0578423099351202,0.48690483057946904,0.02816370011928484,19,21,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_board_bucket_main_board,F5,-0.05023876367618694,0.48690483057946904,-0.024461496716275784,22,22,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_log_total_market_cap_cny,F5,0.11228693488262298,0.9658389046867637,0.10845109019766654,11,9,20245,linear_coefficient
ridge_logistic_top30_sanity_v1,mr_tradability_status_ok,F5,0.007603546257277542,1.0,0.007603546257277542,23,23,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_ret_5d,F1,-0.08578954717475054,1.0132132104374039,-0.08692310251490011,16,11,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_ret_10d,F1,-0.022424384298418337,1.0323240857303713,-0.023149232018931203,20,20,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_ret_20d,F1,0.11546393669435283,0.9877728204084469,0.11405213840404327,9,8,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_ma_5_20_spread,F1,0.027505359431550497,0.9763183515274224,0.026853987178380622,19,19,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_ma_20_60_spread,F1,-0.01739081597995321,0.8895849979222982,-0.015470608997393746,22,22,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_distance_to_20d_high,F1,0.10894773718311711,0.7721372398922111,0.08412260508107405,11,12,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_distance_to_60d_high,F1,0.1928191331217033,0.719975111222924,0.1388249768152061,6,7,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_turnover_rate_20d_mean,F2,-0.2161306992568434,1.3054229558997703,-0.2821419762845528,5,4,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_turnover_rate_60d_mean,F2,0.12898250597984587,1.1655066612792437,0.15032996990800024,7,6,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_turnover_rate_20d_zscore,F2,-0.08796533677230096,0.8209612058047739,-0.07221612894561122,15,14,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_volume_20d_zscore,F2,0.8483412100626916,0.8165206705287886,0.6926881336775929,1,1,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_money_20d_zscore,F2,-0.6614141351035362,0.8236209981294076,-0.5447545701308734,2,2,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_board_rank_pct,F3,-0.0021989076306770054,0.8835247447188733,-0.0019427893030542838,23,23,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_board_rank_by_market_cap,F3,-0.08819634567039149,0.4896258364679922,-0.04318320952228561,14,17,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_volatility_20d,F4,-0.10313630438624816,0.8111554481355102,-0.0836595752034675,12,13,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_volatility_60d,F4,-0.07091656566311764,0.7863799527702472,-0.055767365556790585,17,15,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_max_drawdown_20d,F4,-0.3417802047567335,0.808493786994428,-0.27632717206350244,4,5,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_max_drawdown_60d,F4,-0.12854016129474596,0.7549761748238966,-0.09704475928555399,8,10,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_intraday_range_20d_mean,F4,0.4102144532486696,0.7982450649532657,0.32745166287825267,3,3,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_board_bucket_chinext,F5,0.07077231586351154,0.48690483057946904,0.03445938246523975,18,18,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_board_bucket_main_board,F5,-0.089472149791304,0.48690483057946904,-0.04356442193571575,13,16,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_log_total_market_cap_cny,F5,0.11090003536771663,0.9658389046867637,0.10711156868927879,10,9,20245,linear_coefficient
ridge_logistic_top20_sanity_v1,mr_tradability_status_ok,F5,-0.018699833929113466,1.0,-0.018699833929113466,21,21,20245,linear_coefficient
