fold_order,fold,model_seed,decision_date,row_n,daily_spearman,top30_overlap,mean_abs_score_delta,selector_entropy_mean,effective_operator_count_mean,switching_rate,status
1,validation_early,20260713,2023-03-01,484,0.9999988357675492,30,1.0027144980995217e-06,1.3859812260166673,3.9987476142969998,0.0,pass
1,validation_early,20260713,2023-03-03,485,0.999998422210231,30,9.977424042517669e-07,1.3859813188769154,3.998747977030646,0.0,pass
1,validation_early,20260713,2023-03-06,486,0.9999989546197833,30,9.832771183937439e-07,1.385981284051275,3.998747842792621,0.0,pass
1,validation_early,20260713,2023-03-07,486,0.9999974910874803,30,9.422782909496163e-07,1.3859812494658639,3.998747704450976,0.0,pass
1,validation_early,20260713,2023-03-08,486,0.9999985364676968,30,9.546497494739015e-07,1.385981253635736,3.9987477103378546,0.0,pass
1,validation_early,20260713,2023-03-09,487,0.9999987272816863,30,9.502406896899629e-07,1.3859812207290525,3.998747585245716,0.0,pass
1,validation_early,20260713,2023-03-10,487,0.9999989350724313,30,9.192266361424117e-07,1.3859811497420012,3.9987473027662084,0.0,pass
1,validation_early,20260713,2023-03-13,487,0.9999985454648217,30,9.615905582904816e-07,1.3859811519450476,3.9987473169636187,0.0,pass
1,validation_early,20260713,2023-03-14,487,0.999998233778712,30,9.452663789488724e-07,1.3859811548824428,3.9987473140262235,0.0,pass
1,validation_early,20260713,2023-03-15,488,0.9999989674202505,30,9.59050680648943e-07,1.3859811913771707,3.99874746799469,0.0,pass
1,validation_early,20260713,2023-03-16,487,0.9999981298833421,30,9.278222137254488e-07,1.3859811742202948,3.9987474016585143,0.0,pass
1,validation_early,20260713,2023-03-17,488,0.9999985543883504,30,9.61270188781782e-07,1.3859811415437793,3.998747279898065,0.0,pass
1,validation_early,20260713,2023-03-20,487,0.9999974026157529,30,9.481066740590904e-07,1.385981040324029,3.998746871948242,0.0,pass
1,validation_early,20260713,2023-03-21,488,0.9999984511303757,30,9.77420882009028e-07,1.3859810045019525,3.9987467317307583,0.0,pass
1,validation_early,20260713,2023-03-22,488,0.9999988641622755,30,9.779673746379558e-07,1.3859809917993233,3.998746680920241,0.0,pass
1,validation_early,20260713,2023-03-23,488,0.9999985285738191,30,9.904842954711057e-07,1.3859809917993233,3.998746672614676,0.0,pass
1,validation_early,20260713,2023-03-24,488,0.9999978315825258,30,9.732077614899026e-07,1.3859809969292312,3.9987466980199344,0.0,pass
1,validation_early,20260713,2023-03-27,488,0.9999973152926509,30,9.595217989044613e-07,1.3859810005934512,3.9987467136539396,0.0,pass
1,validation_early,20260713,2023-03-28,488,0.999997625066576,30,9.505672551313182e-07,1.3859810526253746,3.998746922758759,0.0,pass
1,validation_early,20260713,2023-03-29,487,0.9999970909296433,30,9.444562465432682e-07,1.385981097848019,3.99874709274245,0.0,pass
1,validation_early,20260713,2023-03-30,488,0.9999981413564508,30,9.639813924877672e-07,1.3859811508264699,3.9987473097003874,0.0,pass
1,validation_early,20260713,2023-03-31,488,0.9999982446144257,30,9.794950983632589e-07,1.385981209209708,3.998747547141841,0.0,pass
1,validation_early,20260713,2023-04-03,488,0.9999978315825258,30,1.005650233310007e-06,1.3859812546460355,3.9987477332842154,0.0,pass
1,validation_early,20260713,2023-04-04,489,0.9999972291038512,30,1.0070651796922903e-06,1.3859812262599454,3.9987476101194668,0.0,pass
1,validation_early,20260713,2023-04-06,489,0.9999957923428854,30,9.926741313392995e-07,1.3859812243096912,3.9987476081692126,0.0,pass
1,validation_early,20260713,2023-04-07,489,0.999997844858551,30,9.949267223419156e-07,1.3859813052452414,3.998747925085524,0.0,pass
1,validation_early,20260713,2023-04-10,485,0.999997370350385,30,9.609801736587542e-07,1.3859812249842378,3.9987476034262746,0.0,pass
1,validation_early,20260713,2023-04-11,487,0.9999976883279605,30,9.692570301922387e-07,1.3859812430042995,3.9987476782632316,0.0,pass
1,validation_early,20260713,2023-04-12,487,0.9999980259879724,30,9.777980949365883e-07,1.3859812385982067,3.998747665044953,0.0,pass
1,validation_early,20260713,2023-04-13,486,0.9999972820114369,30,9.60029524321726e-07,1.3859813313915896,3.998748031172733,0.0,pass
1,validation_early,20260713,2023-04-14,487,0.9999980259879724,30,9.770467386260862e-07,1.3859813311261562,3.9987480307506584,0.0,pass
1,validation_early,20260713,2023-04-17,487,0.9999975065111228,30,1.0007730679717497e-06,1.3859813257409317,3.998748004803667,0.0,pass
1,validation_early,20260713,2023-04-18,487,0.9999975065111228,30,9.961705700334278e-07,1.3859812760499959,3.9987478114251482,0.0,pass
1,validation_early,20260713,2023-04-19,488,0.9999984511303757,30,9.67963160292129e-07,1.3859812736999793,3.998747802171551,0.0,pass
1,validation_early,20260713,2023-04-20,487,0.9999985454648217,30,9.725835070639732e-07,1.385981259894322,3.9987477448441897,0.0,pass
1,validation_early,20260713,2023-04-21,486,0.9999978047015451,30,9.10937217213359e-07,1.3859813071082159,3.9987479335486644,0.0,pass
1,validation_early,20260713,2023-04-24,486,0.9999986410057182,30,9.131697993325361e-07,1.3859813291840102,3.998748029701013,0.0,pass
1,validation_early,20260713,2023-04-25,485,0.9999986325822003,30,9.185118301502371e-07,1.3859812810248935,3.9987478290636513,0.0,pass
1,validation_early,20260713,2023-04-26,486,0.9999971774734152,30,9.329058912044275e-07,1.3859812207673312,3.998747600940029,0.0,pass
1,validation_early,20260713,2023-04-27,484,0.9999970364992165,30,9.566188055032399e-07,1.385981207051553,3.9987475325253383,0.0,pass
1,validation_early,20260713,2023-04-28,485,0.9999976859083389,30,9.94432411971502e-07,1.3859812375196476,3.9987476570090066,0.0,pass
1,validation_early,20260713,2023-05-05,486,0.9999985364676968,30,9.64070522968541e-07,1.3859812676170726,3.9987477780369574,0.0,pass
1,validation_early,20260713,2023-05-08,485,0.9999966340484927,30,9.87210569292074e-07,1.3859812564456586,3.9987477297635423,0.0,pass
1,validation_early,20260713,2023-05-09,487,0.9999963636620541,30,9.503348223915964e-07,1.3859811925790149,3.998747475093395,0.0,pass
1,validation_early,20260713,2023-05-10,487,0.9999981298833421,30,9.393492632625566e-07,1.3859812892682744,3.9987478594026036,0.0,pass
1,validation_early,20260713,2023-05-11,487,0.999998337674082,30,9.401921374774247e-07,1.3859812826591351,3.998747839819969,0.0,pass
1,validation_early,20260713,2023-05-12,487,0.9999979220926024,30,9.185338853967551e-07,1.38598127139912,3.9987478016338307,0.0,pass
1,validation_early,20260713,2023-05-15,488,0.9999973152926509,30,9.643647445045644e-07,1.3859813113193042,3.998747961442979,0.0,pass
1,validation_early,20260713,2023-05-16,487,0.9999985454648217,30,9.475342039877432e-07,1.385981320845273,3.998747990116691,0.0,pass
1,validation_early,20260713,2023-05-17,487,0.9999989610463013,30,9.489338026469341e-07,1.3859813600105426,3.998748147756902,0.0,pass
1,validation_early,20260713,2023-05-18,487,0.999998337674082,30,9.578203616911196e-07,1.3859813781244799,3.99874821433786,0.0,pass
1,validation_early,20260713,2023-05-19,487,0.9999989610463013,30,9.500814712737338e-07,1.3859813720049066,3.9987481893700005,0.0,pass
1,validation_early,20260713,2023-05-22,486,0.9999982228536317,30,9.578061508364044e-07,1.3859813959019665,3.9987482808744956,0.0,pass
1,validation_early,20260713,2023-05-23,486,0.9999988500817616,30,9.258338309336978e-07,1.385981396883113,3.998748288723667,0.0,pass
1,validation_early,20260713,2023-05-24,485,0.9999982118382619,30,9.122304618358612e-07,1.3859814476721066,3.998748493686165,0.0,pass
1,validation_early,20260713,2023-05-25,486,0.99999874554374,30,9.303109891334316e-07,1.385981463110496,3.998748552652053,0.0,pass
1,validation_early,20260713,2023-05-26,487,0.9999988571509315,30,9.627826784708304e-07,1.3859814317319428,3.9987484253407506,0.0,pass
1,validation_early,20260713,2023-05-29,486,0.9999980137775883,30,9.613436304789502e-07,1.3859814086568698,3.9987483328752558,0.0,pass
1,validation_early,20260713,2023-05-30,486,0.9999988500817616,30,9.721175047161523e-07,1.385981401788845,3.998748312271181,0.0,pass
1,validation_early,20260713,2023-05-31,485,0.9999985273962156,30,9.608704658603529e-07,1.3859814014631449,3.998748302459717,0.0,pass
1,validation_early,20260713,2023-06-01,485,0.999999474070077,30,9.551123412165907e-07,1.385981342472981,3.9987480694485695,0.0,pass
1,validation_early,20260713,2023-06-02,486,0.9999989546197833,30,9.763060688783298e-07,1.385981289692867,3.9987478560380976,0.0,pass
1,validation_early,20260713,2023-06-05,487,0.9999985454648217,30,9.663081073085777e-07,1.3859812288068893,3.998747626369249,0.0,pass
1,validation_early,20260713,2023-06-06,486,0.9999990591578051,30,9.240609983862669e-07,1.385981176370456,3.9987474218808083,0.0,pass
1,validation_early,20260713,2023-06-07,487,0.9999979220926024,30,9.360960575577337e-07,1.3859811375028543,3.998747266538334,0.0,pass
1,validation_early,20260713,2023-06-08,486,0.9999973865494585,30,9.479350069341308e-07,1.385981157728674,3.998747343389095,0.0,pass
1,validation_early,20260713,2023-06-09,486,0.9999983273916534,30,9.79384367383318e-07,1.3859811690118577,3.998747390484123,0.0,pass
1,validation_early,20260713,2023-06-12,486,0.9999975956255018,30,9.752942560226074e-07,1.3859810956711631,3.998747098593064,0.0,pass
1,validation_early,20260713,2023-06-13,486,0.9999992682338483,30,9.864363619271899e-07,1.3859810993504622,3.998747104970516,0.0,pass
1,validation_early,20260713,2023-06-15,486,0.9999978047015451,30,9.965348226614879e-07,1.3859810218398954,3.99874680277742,0.0,pass
1,validation_early,20260713,2023-06-16,488,0.9999992771941754,30,1.0062067303806543e-06,1.3859810780306332,3.9987470277997312,0.0,pass
1,validation_early,20260713,2023-06-19,486,0.9999986410057182,30,9.827091389524867e-07,1.3859810559347334,3.998746937685052,0.0,pass
1,validation_early,20260713,2023-06-20,486,0.9999991636958266,30,9.68105723586632e-07,1.3859810917465776,3.9987470755361234,0.0,pass
1,validation_early,20260713,2023-06-21,486,0.9999988500817616,30,9.196643873110588e-07,1.3859811027844746,3.998747126065164,0.0,pass
1,validation_early,20260713,2023-06-26,487,0.9999971948250133,30,8.995467055683548e-07,1.385981085364089,3.9987470481919556,0.0,pass
