token_id,family_id,primitive_id,lookback_sessions,orientation,threshold_rule,threshold_value,threshold_split,available_at,future_data_used,comparator
ret_20d__top_10pct,breakout_trend,ret_20d,20,desc,top_10pct,0.22097834911285671,train,reference_date_close,False,ge
trend_ma_5_20_spread__bottom_10pct,breakout_trend,trend_ma_5_20_spread,20,asc,bottom_10pct,-0.04391307557327738,train,reference_date_close,False,le
trend_ma_5_20_spread__bottom_20pct,breakout_trend,trend_ma_5_20_spread,20,asc,bottom_20pct,-0.02452670896634421,train,reference_date_close,False,le
trend_ma_5_20_spread__top_20pct,breakout_trend,trend_ma_5_20_spread,20,desc,top_20pct,0.053718307682359925,train,reference_date_close,False,ge
trend_ma_5_20_spread__top_10pct,breakout_trend,trend_ma_5_20_spread,20,desc,top_10pct,0.08593381152483598,train,reference_date_close,False,ge
trend_ma_20_60_spread__bottom_10pct,breakout_trend,trend_ma_20_60_spread,60,asc,bottom_10pct,-0.06067538634433768,train,reference_date_close,False,le
trend_ma_20_60_spread__bottom_20pct,breakout_trend,trend_ma_20_60_spread,60,asc,bottom_20pct,-0.033176402032801096,train,reference_date_close,False,le
trend_ma_20_60_spread__top_20pct,breakout_trend,trend_ma_20_60_spread,60,desc,top_20pct,0.0957494662066925,train,reference_date_close,False,ge
trend_ma_20_60_spread__top_10pct,breakout_trend,trend_ma_20_60_spread,60,desc,top_10pct,0.14326193357837352,train,reference_date_close,False,ge
volatility_20d__bottom_10pct,volatility_range,volatility_20d,20,asc,bottom_10pct,0.01253857279660469,train,reference_date_close,False,le
volatility_20d__bottom_20pct,volatility_range,volatility_20d,20,asc,bottom_20pct,0.01602314980036395,train,reference_date_close,False,le
volatility_20d__top_20pct,volatility_range,volatility_20d,20,desc,top_20pct,0.03520643911992531,train,reference_date_close,False,ge
volatility_20d__top_10pct,volatility_range,volatility_20d,20,desc,top_10pct,0.0416617553697058,train,reference_date_close,False,ge
volatility_60d__bottom_10pct,volatility_range,volatility_60d,60,asc,bottom_10pct,0.014466783127277184,train,reference_date_close,False,le
volatility_60d__bottom_20pct,volatility_range,volatility_60d,60,asc,bottom_20pct,0.017993157041367232,train,reference_date_close,False,le
volatility_60d__top_20pct,volatility_range,volatility_60d,60,desc,top_20pct,0.03401284718034479,train,reference_date_close,False,ge
volatility_60d__top_10pct,volatility_range,volatility_60d,60,desc,top_10pct,0.039163044749449066,train,reference_date_close,False,ge
vol_ratio_20d_60d__bottom_10pct,volatility_range,vol_ratio_20d_60d,60,asc,bottom_10pct,-0.3157790703541718,train,reference_date_close,False,le
vol_ratio_20d_60d__bottom_20pct,volatility_range,vol_ratio_20d_60d,60,asc,bottom_20pct,-0.22105225392399028,train,reference_date_close,False,le
vol_ratio_20d_60d__top_20pct,volatility_range,vol_ratio_20d_60d,60,desc,top_20pct,0.20316806174378044,train,reference_date_close,False,ge
vol_ratio_20d_60d__top_10pct,volatility_range,vol_ratio_20d_60d,60,desc,top_10pct,0.31577069189495927,train,reference_date_close,False,ge
vol_compression_20d_60d__bottom_10pct,volatility_range,vol_compression_20d_60d,60,asc,bottom_10pct,-0.31577069189495915,train,reference_date_close,False,le
vol_compression_20d_60d__bottom_20pct,volatility_range,vol_compression_20d_60d,60,asc,bottom_20pct,-0.20316806174378024,train,reference_date_close,False,le
vol_compression_20d_60d__top_20pct,volatility_range,vol_compression_20d_60d,60,desc,top_20pct,0.2210522539239904,train,reference_date_close,False,ge
vol_compression_20d_60d__top_10pct,volatility_range,vol_compression_20d_60d,60,desc,top_10pct,0.31577907035417185,train,reference_date_close,False,ge
vol_expansion_20d_60d__bottom_10pct,volatility_range,vol_expansion_20d_60d,60,asc,bottom_10pct,-0.3157790703541718,train,reference_date_close,False,le
vol_expansion_20d_60d__bottom_20pct,volatility_range,vol_expansion_20d_60d,60,asc,bottom_20pct,-0.22105225392399028,train,reference_date_close,False,le
vol_expansion_20d_60d__top_20pct,volatility_range,vol_expansion_20d_60d,60,desc,top_20pct,0.20316806174378044,train,reference_date_close,False,ge
vol_expansion_20d_60d__top_10pct,volatility_range,vol_expansion_20d_60d,60,desc,top_10pct,0.31577069189495927,train,reference_date_close,False,ge
recent_range_activity_20d__bottom_10pct,volatility_range,recent_range_activity_20d,20,asc,bottom_10pct,0.09066765691887152,train,reference_date_close,False,le
recent_range_activity_20d__bottom_20pct,volatility_range,recent_range_activity_20d,20,asc,bottom_20pct,0.11885363277123526,train,reference_date_close,False,le
recent_range_activity_20d__top_20pct,volatility_range,recent_range_activity_20d,20,desc,top_20pct,0.3053967487736145,train,reference_date_close,False,ge
recent_range_activity_20d__top_10pct,volatility_range,recent_range_activity_20d,20,desc,top_10pct,0.39472836225903146,train,reference_date_close,False,ge
intraday_range_mean_20d__bottom_10pct,volatility_range,intraday_range_mean_20d,20,asc,bottom_10pct,0.02008945208701353,train,reference_date_close,False,le
intraday_range_mean_20d__bottom_20pct,volatility_range,intraday_range_mean_20d,20,asc,bottom_20pct,0.025367710913263765,train,reference_date_close,False,le
intraday_range_mean_20d__top_20pct,volatility_range,intraday_range_mean_20d,20,desc,top_20pct,0.05273256184744284,train,reference_date_close,False,ge
intraday_range_mean_20d__top_10pct,volatility_range,intraday_range_mean_20d,20,desc,top_10pct,0.06163195856622863,train,reference_date_close,False,ge
turnover_rate_median_20d__bottom_10pct,liquidity_attention,turnover_rate_median_20d,20,asc,bottom_10pct,0.0031583105730379505,train,reference_date_close,False,le
turnover_rate_median_20d__bottom_20pct,liquidity_attention,turnover_rate_median_20d,20,asc,bottom_20pct,0.0049882063348552705,train,reference_date_close,False,le
turnover_rate_median_20d__top_20pct,liquidity_attention,turnover_rate_median_20d,20,desc,top_20pct,0.028128000382830195,train,reference_date_close,False,ge
turnover_rate_median_20d__top_10pct,liquidity_attention,turnover_rate_median_20d,20,desc,top_10pct,0.04411312880503108,train,reference_date_close,False,ge
turnover_zscore_20d__bottom_10pct,liquidity_attention,turnover_zscore_20d,20,asc,bottom_10pct,-1.128090449951741,train,reference_date_close,False,le
turnover_zscore_20d__bottom_20pct,liquidity_attention,turnover_zscore_20d,20,asc,bottom_20pct,-0.871959354628392,train,reference_date_close,False,le
turnover_zscore_20d__top_20pct,liquidity_attention,turnover_zscore_20d,20,desc,top_20pct,0.9257515978141952,train,reference_date_close,False,ge
turnover_zscore_20d__top_10pct,liquidity_attention,turnover_zscore_20d,20,desc,top_10pct,1.687414201374583,train,reference_date_close,False,ge
money_median_20d__bottom_10pct,liquidity_attention,money_median_20d,20,asc,bottom_10pct,82561509.95000002,train,reference_date_close,False,le
money_median_20d__bottom_20pct,liquidity_attention,money_median_20d,20,asc,bottom_20pct,123658026.7,train,reference_date_close,False,le
money_median_20d__top_20pct,liquidity_attention,money_median_20d,20,desc,top_20pct,737733431.5,train,reference_date_close,False,ge
money_median_20d__top_10pct,liquidity_attention,money_median_20d,20,desc,top_10pct,1227775756.6000028,train,reference_date_close,False,ge
stock_vs_board_20d__bottom_10pct,relative_strength,stock_vs_board_20d,20,asc,bottom_10pct,-0.13525548156835013,train,reference_date_close,False,le
stock_vs_board_20d__bottom_20pct,relative_strength,stock_vs_board_20d,20,asc,bottom_20pct,-0.09587927066212105,train,reference_date_close,False,le
stock_vs_board_20d__top_20pct,relative_strength,stock_vs_board_20d,20,desc,top_20pct,0.07117709214535971,train,reference_date_close,False,ge
stock_vs_board_20d__top_10pct,relative_strength,stock_vs_board_20d,20,desc,top_10pct,0.14737414765879314,train,reference_date_close,False,ge
board_return_20d__bottom_10pct,relative_strength,board_return_20d,20,asc,bottom_10pct,-0.0071830486440457265,train,reference_date_close,False,le
board_return_20d__bottom_20pct,relative_strength,board_return_20d,20,asc,bottom_20pct,0.00950922268949734,train,reference_date_close,False,le
board_return_20d__top_20pct,relative_strength,board_return_20d,20,desc,top_20pct,0.09075431940567455,train,reference_date_close,False,ge
board_return_20d__top_10pct,relative_strength,board_return_20d,20,desc,top_10pct,0.13388803588926948,train,reference_date_close,False,ge
