token_id,split_bucket,decision_point,execution_point,coverage_share,captured_positive_n,captured_positive_share,winner_rate,lift_vs_native_baseline,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,native_baseline_utility_total_indexed,native_baseline_utility_total_indexed_ci_high,cost_buffer_return,precision_recall_frontier_status,deployability_status
volatility_60d__top_10pct,validation,reference_date_close,next_open,0.04055001875805373,153,0.026020408163265306,0.06154465004022526,-0.03436609424672403,-0.03536701937380842,-0.0014341332990243812,-0.0014905093990414551,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
volatility_60d__top_10pct,robustness,reference_date_close,next_open,0.10087739446001194,807,0.04530653492027847,0.061247723132969036,-0.07512356937778786,-0.043153333372030714,-0.004353195832834739,-0.004427527262001282,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
vol_ratio_20d_60d__bottom_10pct,train,reference_date_close,next_open,0.10000276760426949,4656,0.14793162610408592,0.21476014760147602,0.06958085297155084,-0.010851568620160188,-0.0010851868948636625,-0.0010996323414524554,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_ratio_20d_60d__bottom_10pct,validation,reference_date_close,next_open,0.14734043420816545,1357,0.23078231292517007,0.1502269456437507,0.0543162013568014,-0.02470319377570697,-0.003639779297241115,-0.0037148404304400305,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_ratio_20d_60d__bottom_10pct,robustness,reference_date_close,next_open,0.18623577870672361,4193,0.23540309903435885,0.17237410071942447,0.03600280820866758,-0.014465530057042054,-0.002693999254578743,-0.0027278545897804892,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
vol_ratio_20d_60d__bottom_20pct,train,reference_date_close,next_open,0.2000009225347565,8688,0.2760373641736036,0.2003736248529717,0.05519433022304651,-0.01282980543764206,-0.002565972923469847,-0.0025901257805757997,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_ratio_20d_60d__bottom_20pct,validation,reference_date_close,next_open,0.2861500318071346,2409,0.40969387755102044,0.13731972866670467,0.041408984379755376,-0.025574291274413345,-0.007318084261618304,-0.00742637755097121,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_ratio_20d_60d__bottom_20pct,robustness,reference_date_close,next_open,0.3020120354632735,6460,0.3626768470693914,0.1637640378229016,0.027392745312144723,-0.013418778193571531,-0.004052632515670726,-0.004092625729568825,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
vol_ratio_20d_60d__top_20pct,train,reference_date_close,next_open,0.2000009225347565,3538,0.11241024337548453,0.08159782282801725,-0.06358147180190793,-0.019099719570866196,-0.0038199615343283825,-0.003855917870517662,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_ratio_20d_60d__top_20pct,validation,reference_date_close,next_open,0.09976022313928262,569,0.0967687074829932,0.09303466317854807,-0.002876081108401221,-0.013034766424818973,-0.0013003512071083699,-0.0013329411048784512,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_ratio_20d_60d__top_20pct,robustness,reference_date_close,next_open,0.17134457255730626,2044,0.11475409836065574,0.09133154602323502,-0.04503974648752186,0.001200697799983998,0.00020573305130875614,0.00020303760864845584,-0.009724509119859117,-0.009671770483718532,0.01,reported,pass
vol_ratio_20d_60d__top_10pct,train,reference_date_close,next_open,0.10000276760426949,1422,0.04518014869416026,0.06559040590405904,-0.07958888872586614,-0.019108039123174193,-0.0019108567958080781,-0.00193629313300799,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_ratio_20d_60d__top_10pct,validation,reference_date_close,next_open,0.04214853116283622,258,0.04387755102040816,0.0998452012383901,0.003934456951440804,-0.004631278327131784,-0.000195201578894882,-0.00020272808022722214,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_ratio_20d_60d__top_10pct,robustness,reference_date_close,next_open,0.09012816390279756,960,0.053896249719290364,0.08154943934760449,-0.0548218531631524,0.005500821797925532,0.0004957789686035139,0.00048682286633063053,-0.009724509119859117,-0.009671770483718532,0.01,reported,pass
vol_compression_20d_60d__bottom_10pct,train,reference_date_close,next_open,0.10000276760426949,1422,0.04518014869416026,0.06559040590405904,-0.07958888872586614,-0.019108039123174193,-0.0019108567958080781,-0.00193629313300799,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_compression_20d_60d__bottom_10pct,validation,reference_date_close,next_open,0.04214853116283622,258,0.04387755102040816,0.0998452012383901,0.003934456951440804,-0.004631278327131784,-0.000195201578894882,-0.00020272808022722214,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_compression_20d_60d__bottom_10pct,robustness,reference_date_close,next_open,0.09012816390279756,960,0.053896249719290364,0.08154943934760449,-0.0548218531631524,0.005500821797925532,0.0004957789686035139,0.00048682286633063053,-0.009724509119859117,-0.009671770483718532,0.01,reported,pass
vol_compression_20d_60d__bottom_20pct,train,reference_date_close,next_open,0.2000009225347565,3538,0.11241024337548453,0.08159782282801725,-0.06358147180190793,-0.019099719570866196,-0.0038199615343283825,-0.003855917870517662,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_compression_20d_60d__bottom_20pct,validation,reference_date_close,next_open,0.09976022313928262,569,0.0967687074829932,0.09303466317854807,-0.002876081108401221,-0.013034766424818973,-0.0013003512071083699,-0.0013329411048784512,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_compression_20d_60d__bottom_20pct,robustness,reference_date_close,next_open,0.17134457255730626,2044,0.11475409836065574,0.09133154602323502,-0.04503974648752186,0.001200697799983998,0.00020573305130875614,0.00020303760864845584,-0.009724509119859117,-0.009671770483718532,0.01,reported,pass
vol_compression_20d_60d__top_20pct,train,reference_date_close,next_open,0.2000009225347565,8688,0.2760373641736036,0.2003736248529717,0.05519433022304651,-0.01282980543764206,-0.002565972923469847,-0.0025901257805757997,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_compression_20d_60d__top_20pct,validation,reference_date_close,next_open,0.2861500318071346,2409,0.40969387755102044,0.13731972866670467,0.041408984379755376,-0.025574291274413345,-0.007318084261618304,-0.00742637755097121,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_compression_20d_60d__top_20pct,robustness,reference_date_close,next_open,0.3020120354632735,6460,0.3626768470693914,0.1637640378229016,0.027392745312144723,-0.013418778193571531,-0.004052632515670726,-0.004092625729568825,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
vol_compression_20d_60d__top_10pct,train,reference_date_close,next_open,0.10000276760426949,4656,0.14793162610408592,0.21476014760147602,0.06958085297155084,-0.010851568620160188,-0.0010851868948636625,-0.0010996323414524554,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_compression_20d_60d__top_10pct,validation,reference_date_close,next_open,0.14734043420816545,1357,0.23078231292517007,0.1502269456437507,0.0543162013568014,-0.02470319377570697,-0.003639779297241115,-0.0037148404304400305,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_compression_20d_60d__top_10pct,robustness,reference_date_close,next_open,0.18623577870672361,4193,0.23540309903435885,0.17237410071942447,0.03600280820866758,-0.014465530057042054,-0.002693999254578743,-0.0027278545897804892,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
vol_expansion_20d_60d__bottom_10pct,train,reference_date_close,next_open,0.10000276760426949,4656,0.14793162610408592,0.21476014760147602,0.06958085297155084,-0.010851568620160188,-0.0010851868948636625,-0.0010996323414524554,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_expansion_20d_60d__bottom_10pct,validation,reference_date_close,next_open,0.14734043420816545,1357,0.23078231292517007,0.1502269456437507,0.0543162013568014,-0.02470319377570697,-0.003639779297241115,-0.0037148404304400305,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_expansion_20d_60d__bottom_10pct,robustness,reference_date_close,next_open,0.18623577870672361,4193,0.23540309903435885,0.17237410071942447,0.03600280820866758,-0.014465530057042054,-0.002693999254578743,-0.0027278545897804892,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
vol_expansion_20d_60d__bottom_20pct,train,reference_date_close,next_open,0.2000009225347565,8688,0.2760373641736036,0.2003736248529717,0.05519433022304651,-0.01282980543764206,-0.002565972923469847,-0.0025901257805757997,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_expansion_20d_60d__bottom_20pct,validation,reference_date_close,next_open,0.2861500318071346,2409,0.40969387755102044,0.13731972866670467,0.041408984379755376,-0.025574291274413345,-0.007318084261618304,-0.00742637755097121,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_expansion_20d_60d__bottom_20pct,robustness,reference_date_close,next_open,0.3020120354632735,6460,0.3626768470693914,0.1637640378229016,0.027392745312144723,-0.013418778193571531,-0.004052632515670726,-0.004092625729568825,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
vol_expansion_20d_60d__top_20pct,train,reference_date_close,next_open,0.2000009225347565,3538,0.11241024337548453,0.08159782282801725,-0.06358147180190793,-0.019099719570866196,-0.0038199615343283825,-0.003855917870517662,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_expansion_20d_60d__top_20pct,validation,reference_date_close,next_open,0.09976022313928262,569,0.0967687074829932,0.09303466317854807,-0.002876081108401221,-0.013034766424818973,-0.0013003512071083699,-0.0013329411048784512,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_expansion_20d_60d__top_20pct,robustness,reference_date_close,next_open,0.17134457255730626,2044,0.11475409836065574,0.09133154602323502,-0.04503974648752186,0.001200697799983998,0.00020573305130875614,0.00020303760864845584,-0.009724509119859117,-0.009671770483718532,0.01,reported,pass
vol_expansion_20d_60d__top_10pct,train,reference_date_close,next_open,0.10000276760426949,1422,0.04518014869416026,0.06559040590405904,-0.07958888872586614,-0.019108039123174193,-0.0019108567958080781,-0.00193629313300799,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
vol_expansion_20d_60d__top_10pct,validation,reference_date_close,next_open,0.04214853116283622,258,0.04387755102040816,0.0998452012383901,0.003934456951440804,-0.004631278327131784,-0.000195201578894882,-0.00020272808022722214,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
vol_expansion_20d_60d__top_10pct,robustness,reference_date_close,next_open,0.09012816390279756,960,0.053896249719290364,0.08154943934760449,-0.0548218531631524,0.005500821797925532,0.0004957789686035139,0.00048682286633063053,-0.009724509119859117,-0.009671770483718532,0.01,reported,pass
recent_range_activity_20d__bottom_10pct,train,reference_date_close,next_open,0.10000276760426949,4784,0.15199847493168964,0.22066420664206643,0.07548491201214125,-0.00883925475520341,-0.0008839499390795406,-0.0008957166234106709,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
recent_range_activity_20d__bottom_10pct,validation,reference_date_close,next_open,0.1681210954703378,1610,0.27380952380952384,0.15620452119918501,0.060293776912235725,-0.016963613442375958,-0.002851941275067594,-0.0029070005530453303,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
recent_range_activity_20d__bottom_10pct,robustness,reference_date_close,next_open,0.20789501891068338,5554,0.3118122613968111,0.20453708477572366,0.06816579226496677,-0.006745303284435922,-0.0014023149538761007,-0.001418994519246473,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
recent_range_activity_20d__bottom_20pct,train,reference_date_close,next_open,0.2000009225347565,9135,0.290239562813751,0.21068290320348718,0.065503608573562,-0.009722904052676269,-0.0019445897802521763,-0.0019628937142736683,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
recent_range_activity_20d__bottom_20pct,validation,reference_date_close,next_open,0.33257213695010357,2884,0.49047619047619045,0.1414488204423954,0.04553807615544611,-0.01999084337815566,-0.006648397501708056,-0.006739656371533706,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
