source_experiment,source_artifact,source_metric,scope_or_arm_id,split,market_regime_bucket,upstream_value,d_recomputed_pre_replay_value,absolute_diff,tolerance,reconciliation_status,membership_basis,source_partial_flag
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,robustness,transition,0.03,0.03,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,train,risk_off,0.1366622864651774,0.1366622864651774,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,train,risk_on,0.1422222222222222,0.14222222222222222,2.7755575615628914e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,train,transition,0.1578947368421052,0.15789473684210525,5.551115123125783e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,validation,risk_off,0.1169590643274853,0.11695906432748537,6.938893903907228e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,validation,risk_on,0.1363636363636363,0.13636363636363635,5.551115123125783e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,validation,transition,0.0864197530864197,0.08641975308641975,4.163336342344337e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,all,all,0.0633774568792619,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,robustness,risk_off,0.0859538784067086,0.0880503144654088,0.0020964360587002046,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,robustness,risk_on,0.0883977900552486,0.08839779005524862,1.3877787807814457e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,robustness,transition,0.1,0.1,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,train,risk_off,0.0551905387647831,0.05519053876478318,7.632783294297951e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,train,risk_on,0.0844444444444444,0.08444444444444445,4.163336342344337e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,train,transition,0.0822368421052631,0.08223684210526316,6.938893903907228e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,validation,risk_off,0.0116959064327485,0.011695906432748537,3.8163916471489756e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,validation,risk_on,0.0,0.0,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T7_gated,validation,transition,0.0123456790123456,0.012345679012345678,7.806255641895632e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R_core_event_regime_gated,all,all,,,,0.0001,missing_upstream_value,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,all,all,0.8527878058563979,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,robustness,risk_off,0.7840670859538784,0.7840670859538784,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,robustness,risk_on,0.856353591160221,0.856353591160221,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,robustness,transition,0.42,0.42,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,train,risk_off,0.885676741130092,0.885676741130092,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,train,risk_on,0.96,0.96,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,train,transition,0.9703947368421052,0.9703947368421053,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,validation,risk_off,0.7982456140350878,0.7982456140350878,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,validation,risk_on,1.0,1.0,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R1_event_regime_gated,validation,transition,0.925925925925926,0.9259259259259259,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,all,all,0.7625350982751705,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,robustness,risk_off,0.7882599580712788,0.790356394129979,0.002096436058700246,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,robustness,risk_on,0.7403314917127072,0.7403314917127072,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,robustness,transition,0.45,0.45,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,train,risk_off,0.7805519053876478,0.7818659658344284,0.0013140604467805073,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,train,risk_on,0.8711111111111111,0.8711111111111111,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,train,transition,0.8585526315789473,0.8585526315789473,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,validation,risk_off,0.6549707602339181,0.6549707602339181,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,validation,risk_on,0.9090909090909092,0.9090909090909091,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R2_event_regime_gated,validation,transition,0.6296296296296297,0.6296296296296297,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,all,all,0.8824709185720016,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,robustness,risk_off,0.870020964360587,0.8721174004192872,0.002096436058700246,0.0001,not_comparable_source_partial,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,robustness,risk_on,0.9005524861878453,0.9005524861878453,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,robustness,transition,0.43,0.43,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,train,risk_off,0.909329829172142,0.9093298291721419,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,train,risk_on,0.9644444444444444,0.9644444444444444,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,train,transition,0.9605263157894736,0.9605263157894737,1.1102230246251565e-16,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_R6_event_regime_gated,validation,risk_off,0.8157894736842105,0.8157894736842105,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
