input_id,path,required,exists,columns_ok,missing_columns,sha256,status
09a_label_mechanism_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09A_fast_fail_label_frontier/label_mechanism_contract.csv,True,True,True,,21d38023c0de8bd020101302a391353c69247837b95ab00359a4e00ffe943e3d,pass
09a_source_pool_reconstruction_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/input_audit/source_pool_reconstruction_audit.csv,True,True,True,,d76d923617c57aea4650130b2b39efc3356bb48f2af366ec0d1f30a6c93c9f9b,pass
upstream_08_canonical_events,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,True,True,True,,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,pass
upstream_08_event_instances,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_event_instances.csv.gz,True,True,True,,9a289c80732260602a291b7f75908408b832180c28e760847f83212be5b5df12,pass
upstream_08_event_labels,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_event_labels.parquet,True,True,True,,a6fbb17753e2f6c7bf54bfeccc2aff03419a9891bd87bb4f75e1667a1f0bd5b8,pass
upstream_08_capture,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,True,True,True,,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,pass
upstream_08_feature_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/cross_section_feature_panel.parquet,True,True,True,,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,pass
upstream_08_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/post_replay_event_to_episode_retention_source/post_replay_event_episode_membership.parquet,True,True,True,,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e,pass
candidate_scope_mapping_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_mapping_contract.csv,True,True,True,,c99625e0ca82e717aa03aa497e652a47c2dcda7f17c41512575bf299de994d16,pass
candidate_scope_reconstructability_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_reconstructability_audit.csv,True,True,True,,6e706b765288e5323d42d0b2cd26efd8be5a59a1ffcc0aba3e82f70fb0146dd1,pass
upstream_08_leakage_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/post_replay_event_to_episode_retention_source/post_replay_label_leakage_audit.csv,True,True,True,,12a51752e7ff76194bbc4bb1bab4c7159c02c74bf9d950d4a5b4e1cfd2f3c562,pass
industry_style_input_contract_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/industry_style_input_contract_audit.csv,True,True,True,,86d9897241bb61a2114a266de47be51e1b1cce458280c765580b25bc168bc57b,pass
candidate_family_run_capability_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_run_capability_summary.csv,True,True,True,,50d39bc3e8e20d5f3d80d7983c98de44b63529e94ad89769dee56a7af114ed6c,pass
