feature_id,feature_family,raw_source_artifact,as_of_rule,t0_visible_flag,normalization_method,stationarity_status,fracdiff_status,stationary_hygiene_method,industry_pit_status,allowed_for_09C_flag,forbidden_reason,label_mechanism_overlap_type,feature_dtype,feature_as_of_date_rule,transform_fit_scope,missing_value_policy,shared_series
intraday_range_pct,FS3_vol_range_stop_distance,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
close_position_in_range,FS3_vol_range_stop_distance,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
upper_shadow_pct,FS3_vol_range_stop_distance,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
gap_open_pct,FS3_vol_range_stop_distance,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
range_width_ratio_20d_60d,FS3_vol_range_stop_distance,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
intraday_range_atr_norm,FS3_vol_range_stop_distance,derived_canonical,canonical_event_t0_snapshot,True,atr_normalized_then_train_z,pass,not_applied,atr_normalization,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
return_20d_sigma_norm,FS3_vol_range_stop_distance,derived_canonical,canonical_event_t0_snapshot,True,sigma_normalized_then_train_z,pass,not_applied,sigma_normalization,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
amount_ratio_20d,FS4_amount_volume_vwap_dib,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
amount_ratio_60d,FS4_amount_volume_vwap_dib,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
turnover_ratio_20d,FS4_amount_volume_vwap_dib,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
turnover_ratio_60d,FS4_amount_volume_vwap_dib,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
quality_amount_flag,FS4_amount_volume_vwap_dib,canonical,canonical_event_t0_snapshot,True,binary_0_1,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
market_return_20d,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
market_drawdown_60d,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
market_volatility_20d,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
universe_up_share,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
universe_up_share_z,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
universe_up_share_change_5d,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
board_relative_cusum_20d,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
momentum_percentile_20d,FS5_market_industry_riskon_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,board_fallback_not_industry,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
prior_event_count_20d,FS6_recurrence_local_density,derived_binding,prior_events_strictly_before_event_t0,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
prior_event_count_60d,FS6_recurrence_local_density,derived_binding,prior_events_strictly_before_event_t0,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
