target_component,split,removed_feature_family,baseline_auc,ablated_auc,ablation_auc_delta,fit_scope
false_repair_20d_component,robustness,FS1_event_intrinsic,0.7041500626569945,0.7036791260325619,0.0004709366244326496,train_only_refit_without_family
false_repair_20d_component,train,FS1_event_intrinsic,0.6999510589683807,0.6991507212070458,0.0008003377613349238,train_only_refit_without_family
false_repair_20d_component,validation,FS1_event_intrinsic,0.7075650733179679,0.7059934591878543,0.001571614130113641,train_only_refit_without_family
false_repair_20d_component,robustness,FS2_basis_path_quality,0.7041500626569945,0.7162107267968444,-0.012060664139849853,train_only_refit_without_family
false_repair_20d_component,train,FS2_basis_path_quality,0.6999510589683807,0.6887679355020496,0.011183123466331102,train_only_refit_without_family
false_repair_20d_component,validation,FS2_basis_path_quality,0.7075650733179679,0.7069335712337423,0.000631502084225577,train_only_refit_without_family
false_repair_20d_component,robustness,FS3_vol_range_stop_distance,0.7041500626569945,0.6950704136788337,0.009079648978160826,train_only_refit_without_family
false_repair_20d_component,train,FS3_vol_range_stop_distance,0.6999510589683807,0.6875856863061788,0.012365372662201946,train_only_refit_without_family
false_repair_20d_component,validation,FS3_vol_range_stop_distance,0.7075650733179679,0.6898397272332757,0.01772534608469223,train_only_refit_without_family
false_repair_20d_component,robustness,FS4_amount_volume_vwap_dib,0.7041500626569945,0.70151777590248,0.0026322867545145456,train_only_refit_without_family
false_repair_20d_component,train,FS4_amount_volume_vwap_dib,0.6999510589683807,0.6958088262636519,0.004142232704728799,train_only_refit_without_family
false_repair_20d_component,validation,FS4_amount_volume_vwap_dib,0.7075650733179679,0.7011219493252873,0.006443123992680655,train_only_refit_without_family
false_repair_20d_component,robustness,FS5_market_industry_riskon_quality,0.7041500626569945,0.6968222796896335,0.0073277829673610295,train_only_refit_without_family
false_repair_20d_component,train,FS5_market_industry_riskon_quality,0.6999510589683807,0.6955530023312274,0.004398056637153314,train_only_refit_without_family
false_repair_20d_component,validation,FS5_market_industry_riskon_quality,0.7075650733179679,0.7089344436237371,-0.0013693703057692241,train_only_refit_without_family
false_repair_20d_component,robustness,FS6_recurrence_local_density,0.7041500626569945,0.7079349577354707,-0.003784895078476125,train_only_refit_without_family
false_repair_20d_component,train,FS6_recurrence_local_density,0.6999510589683807,0.6995441944638147,0.0004068645045660624,train_only_refit_without_family
false_repair_20d_component,validation,FS6_recurrence_local_density,0.7075650733179679,0.7092478748382589,-0.0016828015202909885,train_only_refit_without_family
hybrid_cost_bad_10_20,robustness,FS0_baseline_h_features,0.6664075284515942,0.6740670314505762,-0.007659502998981993,train_only_refit_without_family
hybrid_cost_bad_10_20,train,FS0_baseline_h_features,0.6873636518707503,0.6786572089386298,0.008706442932120528,train_only_refit_without_family
hybrid_cost_bad_10_20,validation,FS0_baseline_h_features,0.6803303389483008,0.6846691194096255,-0.004338780461324743,train_only_refit_without_family
hybrid_cost_bad_10_20,robustness,FS1_event_intrinsic,0.6664075284515942,0.6656514573609887,0.0007560710906054924,train_only_refit_without_family
hybrid_cost_bad_10_20,train,FS1_event_intrinsic,0.6873636518707503,0.6862126828559958,0.0011509690147545326,train_only_refit_without_family
hybrid_cost_bad_10_20,validation,FS1_event_intrinsic,0.6803303389483008,0.6787367003186093,0.0015936386296914185,train_only_refit_without_family
hybrid_cost_bad_10_20,robustness,FS2_basis_path_quality,0.6664075284515942,0.681013062585621,-0.014605534134026765,train_only_refit_without_family
hybrid_cost_bad_10_20,train,FS2_basis_path_quality,0.6873636518707503,0.6773117632763589,0.010051888594391434,train_only_refit_without_family
hybrid_cost_bad_10_20,validation,FS2_basis_path_quality,0.6803303389483008,0.6795112143152738,0.0008191246330269131,train_only_refit_without_family
hybrid_cost_bad_10_20,robustness,FS3_vol_range_stop_distance,0.6664075284515942,0.6649847796957575,0.0014227487558367002,train_only_refit_without_family
hybrid_cost_bad_10_20,train,FS3_vol_range_stop_distance,0.6873636518707503,0.6773451757673158,0.010018476103434537,train_only_refit_without_family
hybrid_cost_bad_10_20,validation,FS3_vol_range_stop_distance,0.6803303389483008,0.6662935458999728,0.014036793048327945,train_only_refit_without_family
hybrid_cost_bad_10_20,robustness,FS4_amount_volume_vwap_dib,0.6664075284515942,0.6606685404612811,0.005738987990313138,train_only_refit_without_family
hybrid_cost_bad_10_20,train,FS4_amount_volume_vwap_dib,0.6873636518707503,0.6832034422622398,0.00416020960851049,train_only_refit_without_family
hybrid_cost_bad_10_20,validation,FS4_amount_volume_vwap_dib,0.6803303389483008,0.6719030069823122,0.00842733196598855,train_only_refit_without_family
hybrid_cost_bad_10_20,robustness,FS5_market_industry_riskon_quality,0.6664075284515942,0.6590247112945707,0.007382817157023491,train_only_refit_without_family
hybrid_cost_bad_10_20,train,FS5_market_industry_riskon_quality,0.6873636518707503,0.6835162492029881,0.0038474026677621787,train_only_refit_without_family
hybrid_cost_bad_10_20,validation,FS5_market_industry_riskon_quality,0.6803303389483008,0.6810677300166761,-0.0007373910683753371,train_only_refit_without_family
hybrid_cost_bad_10_20,robustness,FS6_recurrence_local_density,0.6664075284515942,0.6699111203179974,-0.003503591866403144,train_only_refit_without_family
hybrid_cost_bad_10_20,train,FS6_recurrence_local_density,0.6873636518707503,0.686966984250505,0.0003966676202453723,train_only_refit_without_family
hybrid_cost_bad_10_20,validation,FS6_recurrence_local_density,0.6803303389483008,0.6818230338498243,-0.0014926949015235946,train_only_refit_without_family
