primitive_id,exact_null_identity_available,null_match_level,matched_null_repeat_count,matched_null_candidate_count,matched_null_metric_count,matched_null_support_bucket,matched_null_sparse,null_uninterpretable_due_to_sparse_match,null_match_sparsity_pass
E10P_1d51cf825614d006,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_449b1397e9794a47,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_5345f3c2f7d3b2cf,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_d3b36670a9ee1b53,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_5208b4ed8fc01a6f,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_e2f4fb2ac91aeecb,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_c60b0ff29b6e52ee,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_b1b366a8d2499b5b,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_e84a85497fc991c3,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_a2c68e34ef2e46a0,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_e40b29e431c53a58,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_39addf27d0b1ba22,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_d04ba7a0e908943a,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_2400afdb9faa9a03,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_558731f0cc316b9a,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_367a5d2f079af4db,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_7f02019ba1008c99,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_70e283b4dd81bfdf,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_205ed2447bfe53e3,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_adc4838a93b40f1e,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_78782126f100098c,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_d3de6f1a2c1feef0,False,same_task_token_count_family_count,40,40,40,pooled,False,False,True
E10P_a46f7f70656a0f26,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_80dd14e9df6e958d,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_72eb6c3f66d986c9,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_d0b4bb7ec5ac98f8,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_5a1bfa9ff575149c,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_7ced6b2cb737f206,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_308e296db69b37c6,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_8de0f22e9fa43f9f,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_68593afc51468cbe,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_228b89d21b8cabe0,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_3194adde5c1df849,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_09073440e50ae261,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_b758424387384f0b,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_dc2a6da703381a66,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_f06a8da6763dffa4,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_53a92f223a100453,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_d253227d5808840d,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_5c0f09c69876cad4,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_264cc142c167b9c7,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_f0a842530fbee9f3,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_1cccff497a94d873,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_3cac8b79158fd63a,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_d6429e5bff6b25bf,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_29ebf5e47766ba4f,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_c49644c23a1def6e,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_3e4d266b0e9205e2,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_165a04d26b35d682,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_e943f47006db02d2,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_b447a3bcb176167e,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
