primitive_id,industry,task,formula_text_resolved,false_reject_vs_launch_target_rate,pending_winner_coverage_loss,drawdown_avoided_vs_matched_delay,secondary_failure_mechanism_diagnostic_for_appendix,appendix_only,allowed_for_next_requirement,reason_not_primary
E10P_1c7fb66503e4a518,电子,failure_reject,market_volatility_regime >= train_q30 and close_over_ma_60 <= train_q60 and market_breadth_20d <= train_q70,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_11bcc105568782e4,电子,failure_reject,market_volatility_regime <= train_q40 and close_over_median_40 >= train_q10 and money_price_coherence_60 >= train_q05,,,,False,True,False,failure diagnostic is appendix-only in Explore10
E10P_33e137e657941b7a,电子,failure_reject,ret_60d_market_rank <= train_q50 and volume_zscore_60 <= train_q80 and ret_120d >= train_q10,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_b5c5f956ce71d883,电子,failure_reject,range_expansion_ratio_20_60 <= train_q60 and volume_over_mean_60 <= train_q60 and money_price_coherence_60 >= train_q10,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_bfbfe8713bfd5816,电子,failure_reject,market_volatility_regime >= train_q30 and drawdown_from_recent_high_40 <= train_q50 and market_volatility_regime <= train_q90,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_eaf45c51d3fe347c,电子,failure_reject,market_volatility_regime <= train_q50 and close_over_max_high_20 >= train_q10 and money_price_coherence_60 >= train_q05,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_393a0903ecddc5d6,电子,failure_reject,market_volatility_regime >= train_q30 and close_over_max_high_40 <= train_q50 and turnover_proxy_ratio_60 <= train_q60,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_5b155243c948f3c4,电子,failure_reject,volume_over_mean_60 <= train_q60 and body_pct <= train_q80 and range_expansion_ratio_20_60 <= train_q60,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_56e76a63f8e95934,电子,failure_reject,market_volatility_regime >= train_q40 and industry_relative_strength_vs_market_60d <= train_q30 and industry_relative_strength_vs_market_20d >= train_q10,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_e7813e8d95a95984,电子,failure_reject,industry_relative_strength_vs_market_20d <= train_q95 and atr_like_20 >= train_q30 and amplitude_60 >= train_q30,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_821bfa560d95ffda,电子,failure_reject,volatility_return_std_10 >= train_q10 and volatility_return_std_60 <= train_q80 and money_price_coherence_60 >= train_q40,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_262092b494790e95,电子,failure_reject,atr20_pct_market_rank <= train_q70 and market_breadth_20d >= train_q20 and industry_relative_strength_vs_market_60d <= train_q50,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_ef96ca2290c458a9,电子,failure_reject,ret_60d_market_rank <= train_q50 and prelaunch_drawdown_120d >= train_q05 and amplitude_60 <= train_q70,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_1d51cf825614d006,电子,failure_reject,atr_like_10 >= train_q20 and amplitude_60 >= train_q30 and atr20_pct <= train_q90,,,,True,True,False,failure diagnostic is appendix-only in Explore10
E10P_449b1397e9794a47,电子,failure_reject,market_volatility_regime >= train_q40 and close_over_median_40 <= train_q50 and money_price_coherence_60 <= train_q80,,,,True,True,False,failure diagnostic is appendix-only in Explore10
