primitive_id,uses_lgbm_score,uses_leaf_id,uses_model_probability,uses_validation_tuned_threshold,uses_raw_numeric_threshold,uses_train_fold_quantile_bucket,has_formula_text_resolved,has_feature_asof_rule,has_effective_date_rule,has_reference_price_rule,recomputable_from_pit_ohlcv_and_industry,manualizability_pass
E10P_e7813e8d95a95984,False,False,False,False,False,True,True,True,True,True,True,True
E10P_821bfa560d95ffda,False,False,False,False,False,True,True,True,True,True,True,True
E10P_262092b494790e95,False,False,False,False,False,True,True,True,True,True,True,True
E10P_ef96ca2290c458a9,False,False,False,False,False,True,True,True,True,True,True,True
E10P_1d51cf825614d006,False,False,False,False,False,True,True,True,True,True,True,True
E10P_449b1397e9794a47,False,False,False,False,False,True,True,True,True,True,True,True
E10P_5345f3c2f7d3b2cf,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d3b36670a9ee1b53,False,False,False,False,False,True,True,True,True,True,True,True
E10P_5208b4ed8fc01a6f,False,False,False,False,False,True,True,True,True,True,True,True
E10P_e2f4fb2ac91aeecb,False,False,False,False,False,True,True,True,True,True,True,True
E10P_c60b0ff29b6e52ee,False,False,False,False,False,True,True,True,True,True,True,True
E10P_b1b366a8d2499b5b,False,False,False,False,False,True,True,True,True,True,True,True
E10P_e84a85497fc991c3,False,False,False,False,False,True,True,True,True,True,True,True
E10P_a2c68e34ef2e46a0,False,False,False,False,False,True,True,True,True,True,True,True
E10P_e40b29e431c53a58,False,False,False,False,False,True,True,True,True,True,True,True
E10P_39addf27d0b1ba22,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d04ba7a0e908943a,False,False,False,False,False,True,True,True,True,True,True,True
E10P_2400afdb9faa9a03,False,False,False,False,False,True,True,True,True,True,True,True
E10P_558731f0cc316b9a,False,False,False,False,False,True,True,True,True,True,True,True
E10P_367a5d2f079af4db,False,False,False,False,False,True,True,True,True,True,True,True
E10P_7f02019ba1008c99,False,False,False,False,False,True,True,True,True,True,True,True
E10P_70e283b4dd81bfdf,False,False,False,False,False,True,True,True,True,True,True,True
E10P_205ed2447bfe53e3,False,False,False,False,False,True,True,True,True,True,True,True
E10P_adc4838a93b40f1e,False,False,False,False,False,True,True,True,True,True,True,True
E10P_78782126f100098c,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d3de6f1a2c1feef0,False,False,False,False,False,True,True,True,True,True,True,True
E10P_a46f7f70656a0f26,False,False,False,False,False,True,True,True,True,True,True,True
E10P_80dd14e9df6e958d,False,False,False,False,False,True,True,True,True,True,True,True
E10P_72eb6c3f66d986c9,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d0b4bb7ec5ac98f8,False,False,False,False,False,True,True,True,True,True,True,True
E10P_5a1bfa9ff575149c,False,False,False,False,False,True,True,True,True,True,True,True
E10P_7ced6b2cb737f206,False,False,False,False,False,True,True,True,True,True,True,True
E10P_308e296db69b37c6,False,False,False,False,False,True,True,True,True,True,True,True
E10P_8de0f22e9fa43f9f,False,False,False,False,False,True,True,True,True,True,True,True
E10P_68593afc51468cbe,False,False,False,False,False,True,True,True,True,True,True,True
E10P_228b89d21b8cabe0,False,False,False,False,False,True,True,True,True,True,True,True
E10P_3194adde5c1df849,False,False,False,False,False,True,True,True,True,True,True,True
E10P_09073440e50ae261,False,False,False,False,False,True,True,True,True,True,True,True
E10P_b758424387384f0b,False,False,False,False,False,True,True,True,True,True,True,True
E10P_dc2a6da703381a66,False,False,False,False,False,True,True,True,True,True,True,True
E10P_f06a8da6763dffa4,False,False,False,False,False,True,True,True,True,True,True,True
E10P_53a92f223a100453,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d253227d5808840d,False,False,False,False,False,True,True,True,True,True,True,True
E10P_5c0f09c69876cad4,False,False,False,False,False,True,True,True,True,True,True,True
E10P_264cc142c167b9c7,False,False,False,False,False,True,True,True,True,True,True,True
E10P_f0a842530fbee9f3,False,False,False,False,False,True,True,True,True,True,True,True
E10P_1cccff497a94d873,False,False,False,False,False,True,True,True,True,True,True,True
E10P_3cac8b79158fd63a,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d6429e5bff6b25bf,False,False,False,False,False,True,True,True,True,True,True,True
E10P_29ebf5e47766ba4f,False,False,False,False,False,True,True,True,True,True,True,True
E10P_c49644c23a1def6e,False,False,False,False,False,True,True,True,True,True,True,True
E10P_3e4d266b0e9205e2,False,False,False,False,False,True,True,True,True,True,True,True
E10P_165a04d26b35d682,False,False,False,False,False,True,True,True,True,True,True,True
E10P_e943f47006db02d2,False,False,False,False,False,True,True,True,True,True,True,True
E10P_b447a3bcb176167e,False,False,False,False,False,True,True,True,True,True,True,True
