family,split,fold_id,instrument_id,instrument_high_minus_low_spread,within_stock_rankIC,valid_signal_count,instrument_sample_class
vwap_deviation,train_oof_unseen,2,SH601633,-0.009723451527273205,-0.01015408879269843,176,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601360,-0.002945304970379107,-0.0290875756665771,156,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601138,0.01360698862055481,0.20780878044314227,128,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SZ000661,0.0033803376232486504,-0.017497543895004658,106,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601319,0.022910050902378208,0.16449305411569562,105,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600183,0.02317147233439496,0.2560318410763975,88,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SZ002241,-0.016702841353540023,-0.02315874749040189,88,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH603986,0.021581610839146975,0.19534068709101227,82,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH600010,-0.003626826940650903,0.047787019610224024,181,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH600837,0.001274352743338802,0.0697408018793742,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH600893,0.016556517224179175,0.057118279569892474,125,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH600958,-0.008223618382767361,0.08991704452183061,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH600999,0.00319799554093875,0.022549255993386606,191,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601006,0.005973386628702802,0.099245352182263,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601111,0.0036917458559182176,0.06898685673982043,192,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601186,0.012176197533693235,0.12538150754249378,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601211,-0.0020059835748960867,0.0333463490823897,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601229,0.008194434606263793,0.14196941564599289,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601328,0.005280854578023201,0.0952434077887305,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601336,0.006200185884035977,0.05457848895122282,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601398,0.004558030913233767,0.16018462183324986,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601607,0.0021605608377938575,0.03289918654363356,179,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601618,0.00026157521129311083,0.06750392464678179,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601788,-0.0031073260753117157,0.13776638105088543,122,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601857,0.015927692619338837,0.10382423957478344,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH603993,0.011510722444166732,0.01218274111675127,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SZ000001,0.010484470901100046,0.11023843543137596,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SZ000069,0.01099057779449432,0.08369254000251103,176,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SZ000338,0.0014055439426075992,-0.043068316744893975,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SZ002027,-0.0007989056898611109,0.09468240244164827,196,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SZ002142,0.010578085255291511,0.08406618640842944,190,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SZ002024,0.01910650946331873,0.07512226472444483,161,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH601877,0.018839698123810988,0.213389765294344,114,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SH600406,0.027105963440304956,0.20671362535769314,176,full_valid_instrument
vwap_deviation,train_oof_unseen,3,SZ002032,-0.00025449899872321234,-0.03243992315222534,95,full_valid_instrument
