family,fold_id,split,unseen_fold,fold_unseen_mean_spread,fold_unseen_median_spread,fold_unseen_pooled_high_minus_low_spread,fold_unseen_positive_instrument_share,fold_unseen_positive_date_share,fold_unseen_valid_instrument_count,fold_unseen_full_valid_instrument_count,fold_unseen_partial_event_only_instrument_count,fold_unseen_valid_signal_date_count,fold_unseen_within_stock_rankIC_median,fold_unseen_decile_monotonicity_score,fold_unseen_top1_instrument_contribution_share,fold_unseen_top5_instrument_contribution_share,fold_unseen_top1_industry_contribution_share
volume_price_correlation,0,validation_oof_unseen,0,0.00823412525245538,0.0032618566100994072,0.0018817237746241123,0.5483870967741935,0.5769230769230769,31,31,9,26,0.020006566846453386,0.309090909090909,0.11497541542205895,0.3675437820729023,0.15500458144101475
volume_price_correlation,1,validation_oof_unseen,1,0.000862330492346673,0.0034070410649654805,-0.002176546490131161,0.41025641025641024,0.5714285714285714,39,39,7,28,-0.01002881770906846,-0.19999999999999998,0.0863755368454878,0.32261044127098076,0.20124748071250242
volume_price_correlation,2,validation_oof_unseen,2,-0.0031253401007603184,0.0010923122828606397,0.0014255479487371334,0.5526315789473685,0.5357142857142857,38,38,7,28,0.023357012236224287,0.406060606060606,0.09493914069706884,0.3064596845515021,0.13775785662830226
volume_price_correlation,3,validation_oof_unseen,3,0.0005799556121689749,0.0028670881165798554,-0.0007635405710033948,0.6,0.5757575757575758,45,45,6,33,0.02572554320158375,-0.06666666666666665,0.05227367182480041,0.2343214923545265,0.21030791039990337
volume_price_correlation,4,validation_oof_unseen,4,0.0071786114601658825,0.003825627850799263,0.0068128052888032555,0.717948717948718,0.5925925925925926,39,39,1,27,0.07468353219864722,0.9030303030303028,0.10360438127716154,0.3372263367706016,0.1560806250347281
volume_price_correlation,0,robustness_oof_unseen,0,0.006279606181802396,0.002619934594007693,0.010393824454563591,0.875,0.6153846153846154,32,32,3,26,0.10143581570838178,0.9151515151515152,0.0824716109154191,0.32313091576569464,0.15607330077429987
volume_price_correlation,1,robustness_oof_unseen,1,0.003481186521094393,-0.0007388839603818466,0.011452507846058614,0.9302325581395349,0.4878048780487805,43,43,3,41,0.09982442797770183,0.8909090909090909,0.051155433454914113,0.23878516214797937,0.25852804487340353
volume_price_correlation,2,robustness_oof_unseen,2,-0.0031616088593429794,-0.0014720849943834291,0.006081595036103753,0.7894736842105263,0.46,38,38,5,50,0.07020085377407595,0.9757575757575757,0.06271110180079406,0.2776477819801839,0.1463628153924705
volume_price_correlation,3,robustness_oof_unseen,3,0.0006913438505485751,0.0024629803546212152,0.006372605760260165,0.782608695652174,0.5490196078431373,46,46,7,51,0.06227063766662081,0.8303030303030302,0.07518414093374821,0.2600452271384187,0.2087349365911551
volume_price_correlation,4,robustness_oof_unseen,4,0.0013621720025148894,0.0023978132707074794,0.009379485661698609,0.8378378378378378,0.5135135135135135,37,37,2,37,0.08710181763727873,0.7696969696969697,0.08567526373727052,0.3287919430343439,0.14268456562158693
