arm_id,model_seed,epoch,optimizer_step_end,train_loss_total,train_loss_rec,train_loss_koop,train_loss_diff,validation_early_mean_rankic,validation_early_complete_day_n,validation_early_score_coverage,gumbel_tau_last_step,elapsed_seconds,peak_gpu_memory_mib,status,reason
R2_REAKA_DIFFUSION,20260713,17,22287,0.0595906446589592,0.0015000811071853705,5.939408589650893e-10,0.05809056298354482,-0.004392904256753095,107,1.0,0.8470056979839663,778.779724538334,552.0,pass,
R2_REAKA_DIFFUSION,20260713,18,23598,0.0585718113395697,0.0015000373436095654,4.261033120441869e-10,0.05707177355984271,0.004202870985289416,107,1.0,0.8380056293335572,824.5902965700006,552.0,pass,
R2_REAKA_DIFFUSION,20260714,1,1311,0.2673756396477726,0.009141609619805634,0.00042985980656832796,0.2578041703784926,-0.004737034767937166,107,1.0,0.991006796390514,43.00198167053839,530.0,pass,
R2_REAKA_DIFFUSION,20260714,2,2622,0.12366352963154979,0.0016629489897922356,6.875367747972269e-06,0.12199370534575717,-0.0015508477428764333,107,1.0,0.9820067277401048,86.00396334107678,530.0,pass,
R2_REAKA_DIFFUSION,20260714,3,3933,0.10769402937050807,0.0015017030999223812,1.3349248123821213e-06,0.10619099133832112,-0.002219788162752417,107,1.0,0.9730066590896955,129.00594501161518,530.0,pass,
R2_REAKA_DIFFUSION,20260714,4,5244,0.09854232407513089,0.0014981662973013754,4.059701839650443e-07,0.09704375178350831,-0.0039213624168116705,107,1.0,0.9640065904392864,172.00792668215357,530.0,pass,
R2_REAKA_DIFFUSION,20260714,5,6555,0.0921768360392057,0.0014989684670817902,1.5555076992324876e-07,0.09067771208959544,-0.002787109274545592,107,1.0,0.9550065217888771,215.00990835269198,530.0,pass,
R2_REAKA_DIFFUSION,20260714,6,7866,0.08729894250049403,0.0014995160156457271,6.812381707716098e-08,0.08579935835623528,0.0013865265314637282,107,1.0,0.9460064531384679,258.01189002323036,530.0,pass,
R2_REAKA_DIFFUSION,20260714,7,9177,0.08282024829975346,0.001500196723500652,3.468974104598885e-08,0.0813200169093168,-0.005476980009594323,107,1.0,0.9370063844880586,301.01387169376875,530.0,pass,
R2_REAKA_DIFFUSION,20260714,8,10488,0.07867307898244517,0.0015001832448418551,1.90209984571318e-08,0.07717287664137115,0.006865002745577394,107,1.0,0.9280063158376494,344.01585336430713,530.0,pass,
