fold,param_id,threshold,baseline_trades,trades,trade_ratio_vs_baseline,baseline_avg_cash_ratio,avg_cash_ratio,baseline_stop_time_trade_ratio,stop_time_trade_ratio,stop_time_ratio_reduction,total_return_with_cost,eligible,precision_bad_trade,recall_bad_trade,pr_auc,top_decile_bad_rate,filtered_trade_bad_rate,kept_trade_bad_rate,scored_samples,filtered_samples,selected
WF2,lgbm_02,0.55,71,66,0.9295774647887324,0.8964430787860926,0.9082698093411218,0.6338028169014085,0.6363636363636364,-0.004040404040403955,-0.03303220512601168,True,0.7166212534059946,0.31965967790945,0.7190296490718238,0.6449438202247191,0.7166212534059946,0.7515944947969118,4447,1468,False
WF2,lgbm_02,0.6,71,70,0.9859154929577465,0.8964430787860926,0.8972457919376294,0.6338028169014085,0.5857142857142857,0.0758730158730159,-0.024066597555077007,True,0.7263513513513513,0.1959890610756609,0.7190296490718238,0.6449438202247191,0.7263513513513513,0.7434672660859792,4447,888,False
WF2,lgbm_02,0.65,71,71,1.0,0.8964430787860926,0.8964430787860926,0.6338028169014085,0.6338028169014085,0.0,-0.031454699127852814,True,0.6528925619834711,0.09601944697660286,0.7190296490718238,0.6449438202247191,0.6528925619834711,0.750693918748423,4447,484,False
WF2,lgbm_02,0.7,71,71,1.0,0.8964430787860926,0.8964430787860926,0.6338028169014085,0.6338028169014085,0.0,-0.031454699127852814,True,0.6170212765957447,0.04405955636584625,0.7190296490718238,0.6449438202247191,0.6170212765957447,0.7469135802469136,4447,235,False
WF2,lgbm_03,0.5,71,48,0.676056338028169,0.8964430787860926,0.9280070703153455,0.6338028169014085,0.5833333333333334,0.07962962962962963,-0.014080461533618083,True,0.7345340642129993,0.5700395016712245,0.7204708353924703,0.6606741573033708,0.7345340642129993,0.7474907554146857,4447,2554,False
WF2,lgbm_03,0.55,71,62,0.8732394366197183,0.8964430787860926,0.9121398388413864,0.6338028169014085,0.6451612903225806,-0.01792114695340492,-0.031083144789004313,True,0.7272727272727273,0.40595563658462475,0.7204708353924703,0.6606741573033708,0.7272727272727273,0.7490421455938697,4447,1837,False
WF2,lgbm_03,0.6,71,67,0.9436619718309859,0.8964430787860926,0.9034754945944762,0.6338028169014085,0.6268656716417911,0.010945273631840812,-0.02828834714781059,True,0.71939586645469,0.2749924035247645,0.7204708353924703,0.6606741573033708,0.71939586645469,0.7481969269363437,4447,1258,False
WF2,lgbm_03,0.65,71,71,1.0,0.8964430787860926,0.8957485420872338,0.6338028169014085,0.5915492957746479,0.06666666666666675,-0.024640962579214443,True,0.7026348808030113,0.1701610452749924,0.7204708353924703,0.6606741573033708,0.7026348808030113,0.7482191780821917,4447,797,False
WF2,lgbm_03,0.7,71,71,1.0,0.8964430787860926,0.8959008012107532,0.6338028169014085,0.6197183098591549,0.022222222222222365,-0.028245134518277593,True,0.6643990929705216,0.08903068975995138,0.7204708353924703,0.6606741573033708,0.6643990929705216,0.7483774338492262,4447,441,False
WF2,lgbm_04,0.5,71,45,0.6338028169014085,0.8964430787860926,0.9320891711120652,0.6338028169014085,0.6222222222222222,0.01827160493827166,-0.019448855393374154,True,0.733815842380378,0.5545426921908234,0.7181533957335412,0.6606741573033708,0.733815842380378,0.7479591836734694,4447,2487,False
