industry,task,fold_id,contract_id,top_split_features,common_feature_pairs,feature_family_pair_frequency,approximate_threshold_quantile_bucket,path_support_count,path_fold_presence,path_interpretation_text
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,prelaunch_drawdown_120d,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,q50,80,fold_2022,prelaunch_drawdown_120d split appears in 80/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,ret_rank_20d_market,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,q29,77,fold_2022,ret_rank_20d_market split appears in 77/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,money_ratio_20,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,q50,66,fold_2022,money_ratio_20 split appears in 66/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_60d,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,q36,63,fold_2022,launch_gain_from_recent_low_60d split appears in 63/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,industry_breadth_20d,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,q43,62,fold_2022,industry_breadth_20d split appears in 62/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_120d,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,q48,50,fold_2022,launch_gain_from_recent_low_120d split appears in 50/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,market_regime,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,categorical_or_unavailable,16,fold_2022,market_regime split appears in 16/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,launch_variant,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,categorical_or_unavailable,8,fold_2022,launch_variant split appears in 8/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,launch_family,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,atr20_pct+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:32;atr20_pct+ret_rank_20d_market:27;industry_breadth_20d+prelaunch_drawdown_120d:21;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:21,categorical_or_unavailable,1,fold_2022,launch_family split appears in 1/522 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,prelaunch_drawdown_120d,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,q44,113,fold_2023,prelaunch_drawdown_120d split appears in 113/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,atr20_pct,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,q58,94,fold_2023,atr20_pct split appears in 94/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_60d,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,q34,81,fold_2023,launch_gain_from_recent_low_60d split appears in 81/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,industry_breadth_20d,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,q71,81,fold_2023,industry_breadth_20d split appears in 81/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,ret_rank_20d_market,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,q49,81,fold_2023,ret_rank_20d_market split appears in 81/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,money_ratio_20,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,q51,71,fold_2023,money_ratio_20 split appears in 71/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_120d,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,q45,59,fold_2023,launch_gain_from_recent_low_120d split appears in 59/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,market_regime,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,categorical_or_unavailable,16,fold_2023,market_regime split appears in 16/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,launch_variant,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,categorical_or_unavailable,9,fold_2023,launch_variant split appears in 9/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,launch_family,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,industry_breadth_20d+prelaunch_drawdown_120d:47;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:35;atr20_pct+industry_breadth_20d:31;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:31;atr20_pct+prelaunch_drawdown_120d:30,categorical_or_unavailable,2,fold_2023,launch_family split appears in 2/607 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,prelaunch_drawdown_120d,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,q38,125,fold_2024,prelaunch_drawdown_120d split appears in 125/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,atr20_pct,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,q54,97,fold_2024,atr20_pct split appears in 97/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,industry_breadth_20d,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,q58,92,fold_2024,industry_breadth_20d split appears in 92/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,money_ratio_20,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,q59,82,fold_2024,money_ratio_20 split appears in 82/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_120d,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,q62,79,fold_2024,launch_gain_from_recent_low_120d split appears in 79/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,ret_rank_20d_market,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,q46,74,fold_2024,ret_rank_20d_market split appears in 74/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,launch_gain_from_recent_low_60d,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,q69,56,fold_2024,launch_gain_from_recent_low_60d split appears in 56/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,market_regime,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,categorical_or_unavailable,35,fold_2024,market_regime split appears in 35/654 locked T1 splits; diagnostic only
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,launch_variant,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,industry_breadth_20d+prelaunch_drawdown_120d:38;launch_gain_from_recent_low_120d+prelaunch_drawdown_120d:37;atr20_pct+industry_breadth_20d:28;money_ratio_20+ret_rank_20d_market:25;launch_gain_from_recent_low_60d+prelaunch_drawdown_120d:23,categorical_or_unavailable,13,fold_2024,launch_variant split appears in 13/654 locked T1 splits; diagnostic only
