instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH600919,2025-07-01,2025-07-02,2025-07-02,pullback,4000,11.5600004196167,46240.0016784668,23.1200008392334,2025-07-15,2025-07-16,11.4399995803833,45759.9983215332,68.6399974822998,-480.00335693359375,-571.763355255127,11.113249516487121,11.113249516487121,0.446750903129578,time_stop,14,-0.010380695058606008,-0.012358944543746225
SH603799,2025-07-01,2025-07-02,2025-07-02,breakout,1200,37.810001373291016,45372.00164794922,22.68600082397461,2025-07-15,2025-07-16,37.02000045776367,44424.000549316406,66.63600082397461,-948.0010986328125,-1037.3231002807588,32.4087513923645,32.4087513923645,5.401249980926515,time_stop,14,-0.02089396685622446,-0.022851200305787165
SH601319,2025-07-07,2025-07-08,2025-07-08,pullback,5600,8.510000228881836,47656.00128173828,23.828000640869142,2025-07-15,2025-07-16,8.220000267028809,46032.00149536133,69.04800224304199,-1623.9997863769531,-1716.8757892608642,8.25574986934662,8.25574986934662,0.2542503595352166,stop_loss,8,-0.034077550417543484,-0.03600842987697868
SH600547,2025-07-04,2025-07-07,2025-07-07,pullback,1400,32.150001525878906,45010.00213623047,22.505001068115234,2025-07-17,2025-07-18,30.280000686645508,42392.00096130371,63.58800144195557,-2618.001174926758,-2704.0941774368257,30.538251161575317,30.538251161575317,1.6117503643035889,stop_loss,11,-0.05816487559815993,-0.06004760448252136
SH601166,2025-06-18,2025-06-19,2025-06-19,pullback,2000,22.200000762939453,44400.001525878906,22.200000762939453,2025-07-21,2025-07-22,23.31999969482422,46639.99938964844,69.95999908447266,2239.9978637695312,2147.837863922119,21.557500028610228,23.46599998474121,0.642500734329225,trailing_stop,33,0.050450400603340745,0.04835054972757195
SH600036,2025-07-02,2025-07-03,2025-07-03,pullback,1000,43.81999969482422,43819.99969482422,21.90999984741211,2025-07-21,2025-07-22,43.720001220703125,43720.001220703125,65.58000183105469,-99.99847412109375,-187.48847579956055,42.43099822998047,42.43099822998047,1.3890014648437514,time_stop,19,-0.0022820281793134068,-0.00427646690359264
SH600926,2025-06-12,2025-06-13,2025-06-13,pullback,2900,16.049999237060547,46544.997787475586,23.272498893737794,2025-07-24,2025-07-25,15.970000267028809,46313.000774383545,69.46950116157532,-231.99701309204102,-324.7390131473556,15.498749804496764,16.049999237060547,0.5512494325637824,trailing_stop,42,-0.004984359740467475,-0.006973396502605502
SH600016,2025-06-25,2025-06-26,2025-06-26,pullback,10100,4.610000133514404,46561.00134849548,23.280500674247744,2025-07-24,2025-07-25,4.929999828338623,49792.99826622009,74.68949739933014,3231.9969177246094,3134.0269196510285,4.39774980545044,5.0459998607635494,0.2122503280639645,trailing_stop,29,0.06941424849379972,0.06727648887662065
SH601398,2025-07-16,2025-07-17,2025-07-17,pullback,6200,7.650000095367432,47430.000591278076,23.71500029563904,2025-07-25,2025-07-28,7.360000133514404,45632.00082778931,68.44800124168397,-1797.9997634887695,-1890.1627650260912,7.383500027656555,7.383500027656555,0.26650006771087664,stop_loss,11,-0.03790849127291397,-0.03983171267966474
SZ000657,2025-07-08,2025-07-09,2025-07-09,pullback,3900,12.069999694824219,47072.99880981445,23.53649940490723,2025-07-30,2025-07-31,16.65999984741211,64973.99940490723,97.46099910736085,17901.000595092773,17780.003096580505,11.436250162124633,17.657000064849854,0.6337495326995857,trailing_stop,22,0.38028171239773484,0.3775225285648558
SZ000426,2025-07-10,2025-07-11,2025-07-11,pullback,2800,17.149999618530273,48019.998931884766,24.009999465942382,2025-07-30,2025-07-31,17.6200008392334,49336.002349853516,74.00400352478027,1316.00341796875,1217.9894149780273,16.014250612258913,18.21199951171875,1.1357490062713609,trailing_stop,20,0.027405319601016023,0.025351535853687653
SZ002709,2025-07-17,2025-07-18,2025-07-18,breakout,2500,19.3700008392334,48425.002098083496,24.212501049041748,2025-07-31,2025-08-01,18.760000228881836,46900.00057220459,70.35000085830688,-1525.0015258789062,-1619.5640277862549,16.095749425888062,16.095749425888062,3.274251413345336,time_stop,14,-0.03149202808066085,-0.03342807600053959
SH601601,2025-07-04,2025-07-07,2025-07-07,pullback,1300,35.939998626708984,46721.99821472168,23.36099910736084,2025-08-01,2025-08-04,37.02000045776367,48126.00059509277,72.18900089263916,1404.0023803710938,1308.4523803710908,35.29900016784668,37.15641482801403,0.6409984588623061,trailing_stop,28,0.030050135568232297,0.027991064832463653
SZ000768,2025-07-28,2025-07-29,2025-07-29,pullback,1700,28.860000610351562,49062.001037597656,24.53100051879883,2025-08-01,2025-08-04,27.799999237060547,47259.99870300293,70.8899980545044,-1802.0023345947266,-1897.4233331680284,28.051749181747436,28.051749181747436,0.8082514286041267,stop_loss,6,-0.036729083536845536,-0.03865466258025011
SH603259,2025-07-08,2025-07-09,2025-07-09,pullback,600,69.16000366210938,41496.002197265625,20.748001098632812,2025-08-04,2025-08-05,92.5999984741211,55559.999084472656,83.33999862670899,14063.996887207031,13959.908887481688,67.93799715042114,92.45900268554688,1.2220065116882353,trailing_stop,27,0.33892414070032456,0.33624763067393704
SH600570,2025-07-18,2025-07-21,2025-07-21,pullback,1400,33.5,46900.0,23.45,2025-08-04,2025-08-05,34.849998474121094,48789.99786376953,73.1849967956543,1889.9978637695312,1793.3628669738798,31.98074903488159,35.15299987792969,1.5192509651184096,trailing_stop,15,0.0402984619140625,0.038218904768807065
SZ002074,2025-07-22,2025-07-23,2025-07-23,pullback,1600,30.68000030517578,49088.00048828125,24.544000244140626,2025-08-04,2025-08-05,29.18000030517578,46688.00048828125,70.03200073242188,-2400.0,-2494.5760009765595,28.37499895095825,28.37499895095825,2.3050013542175307,time_stop,13,-0.04889178569359228,-0.05079305148930718
SH601456,2025-07-29,2025-07-30,2025-07-30,pullback,4500,11.529999732971191,51884.99879837036,25.94249939918518,2025-08-08,2025-08-11,11.029999732971191,49634.99879837036,74.45249819755554,-2250.0,-2350.3949975967407,11.047999691963195,11.047999691963195,0.4820000410079963,stop_loss,12,-0.04336513543623074,-0.04527744900857211
SH601336,2025-07-03,2025-07-04,2025-07-04,pullback,800,56.56999969482422,45255.999755859375,22.62799987792969,2025-08-11,2025-08-12,61.939998626708984,49551.99890136719,74.32799835205078,4295.9991455078125,4199.043147277835,54.76700105667114,61.99134742098944,1.8029986381530776,trailing_stop,39,0.09492662119240006,0.0927378623294468
SH600760,2025-07-15,2025-07-16,2025-07-16,pullback,800,57.95000076293945,46360.00061035156,23.18000030517578,2025-08-11,2025-08-12,61.650001525878906,49320.001220703125,73.9800018310547,2960.0006103515625,2862.8406082153306,56.6162486076355,62.38048214272319,1.333752155303955,trailing_stop,27,0.06384815727743183,0.06172152427937597
SZ000963,2025-08-05,2025-08-06,2025-08-06,pullback,1100,44.869998931884766,49356.99882507324,24.67849941253662,2025-08-18,2025-08-19,44.06999969482422,48476.99966430664,72.71549949645997,-879.9991607666016,-977.3931596755967,41.874999332427976,41.874999332427976,2.99499959945679,time_stop,13,-0.017829268021044342,-0.019792627805110194
SH603259,2025-08-11,2025-08-12,2025-08-12,pullback,500,91.25,45625.0,22.8125,2025-08-19,2025-08-20,89.08000183105469,44540.000915527344,66.81000137329102,-1084.9990844726562,-1174.6215858459473,86.98874912261962,91.25,4.261250877380377,trailing_stop,8,-0.02378080185145548,-0.025732264516420085
SH601336,2025-08-12,2025-08-13,2025-08-13,pullback,800,62.189998626708984,49751.99890136719,24.875999450683594,2025-08-27,2025-08-28,62.869998931884766,50295.99914550781,75.44399871826172,544.000244140625,443.68024597167823,59.93599901199341,64.15625840476757,2.2539996147155748,trailing_stop,15,0.010934238948250094,0.008913380899378001
SZ000408,2025-08-19,2025-08-20,2025-08-20,pullback,1100,48.08000183105469,52888.002014160156,26.44400100708008,2025-08-27,2025-08-28,47.849998474121094,52634.9983215332,78.9524974822998,-253.00369262695312,-358.400191116333,47.11899833679199,48.08000183105469,0.9610034942626982,trailing_stop,8,-0.004783763481161839,-0.006773201235322435
SZ002736,2025-08-04,2025-08-05,2025-08-05,pullback,3800,13.300000190734863,50540.00072479248,25.270000362396242,2025-09-01,2025-09-02,14.539999961853027,55251.999855041504,82.87799978256226,4711.999130249023,4603.851130104065,12.834249901771546,14.56100025177002,0.46575028896331716,trailing_stop,28,0.093233064160554,0.0910476907189537
SH600183,2025-07-04,2025-07-07,2025-07-07,breakout,1500,30.530000686645508,45795.00102996826,22.89750051498413,2025-09-02,2025-09-03,49.36000061035156,74040.00091552734,111.06000137329102,28244.999885559082,28111.042383670807,26.158499002456665,49.515999984741214,4.371501684188843,trailing_stop,58,0.6167703734098738,0.6135384486254463
SZ002414,2025-07-17,2025-07-18,2025-07-18,pullback,4800,10.149999618530273,48719.99816894531,24.35999908447266,2025-09-02,2025-09-03,11.90999984741211,57167.999267578125,85.75199890136719,8448.001098632812,8337.889100646973,9.835250282287598,12.38534780816605,0.3147493362426754,trailing_stop,47,0.17339904384515487,0.17105341857010206
SH601688,2025-08-05,2025-08-06,2025-08-06,pullback,2600,19.43000030517578,50518.00079345703,25.259000396728517,2025-09-02,2025-09-03,21.040000915527344,54704.002380371094,82.05600357055664,4186.0015869140625,4078.6865829467774,18.95325050354004,20.96400032043457,0.47674980163574077,trailing_stop,28,0.08286158440886329,0.08069694356046976
SH600570,2025-08-05,2025-08-06,2025-08-06,pullback,1400,34.959999084472656,48943.99871826172,24.47199935913086,2025-09-02,2025-09-03,35.880001068115234,50232.00149536133,75.34800224304199,1288.0027770996094,1188.1827754974336,33.10774908065796,36.24722883874302,1.8522500038146958,trailing_stop,28,0.026315846903188087,0.024264241012327083
SZ000776,2025-07-17,2025-07-18,2025-07-18,pullback,2700,17.530000686645508,47331.00185394287,23.665500926971436,2025-09-03,2025-09-04,20.540000915527344,55458.00247192383,83.18700370788575,8127.000617980957,8020.148113346101,16.806999564170837,21.06599998474121,0.7230011224746704,trailing_stop,48,0.17170565379240846,0.16936341360491738
SZ000988,2025-07-15,2025-07-16,2025-07-16,breakout,1000,48.27000045776367,48270.00045776367,24.135000228881836,2025-09-04,2025-09-05,64.41000366210938,64410.003662109375,96.61500549316406,16140.003204345703,16019.253198623657,42.848998355865476,69.81200218200684,5.421002101898196,trailing_stop,51,0.3343692366124635,0.331701831841624
SZ002837,2025-07-23,2025-07-24,2025-07-24,pullback,1500,31.700000762939453,47550.00114440918,23.77500057220459,2025-09-04,2025-09-05,68.68000030517578,103020.00045776367,154.5300006866455,55469.99931335449,55291.69431209564,30.686749935150146,69.06900100708008,1.0132508277893066,trailing_stop,43,1.166561471678882,1.1622305142142564
SH603993,2025-08-01,2025-08-04,2025-08-04,pullback,5600,8.970000267028809,50232.00149536133,25.116000747680665,2025-09-04,2025-09-05,12.300000190734863,68880.00106811523,103.32000160217285,18647.999572753906,18519.563570404054,8.74049994945526,12.805999660491944,0.22950031757354772,trailing_stop,32,0.3712374386371197,0.36849633431200807
SZ002049,2025-08-28,2025-08-29,2025-08-29,breakout,700,83.0,58100.0,29.05,2025-09-04,2025-09-05,73.0,51100.0,76.65,-7000.0,-7105.700000000002,67.62574901580811,67.62574901580811,15.374250984191889,ema60_exit,7,-0.12048192771084337,-0.12224008477688869
SZ000630,2025-08-28,2025-08-29,2025-08-29,pullback,14000,4.349999904632568,60899.99866485596,30.44999933242798,2025-09-08,2025-09-09,4.309999942779541,60339.999198913574,90.50999879837036,-559.9994659423828,-680.9594640731812,3.9744999706745148,3.9744999706745148,0.3754999339580536,time_stop,11,-0.009195393731027224,-0.011176012634113627
SH600673,2025-06-27,2025-06-30,2025-06-30,pullback,3900,11.649999618530273,45434.99851226807,22.717499256134033,2025-09-15,2025-09-16,22.8700008392334,89193.00327301025,133.7895049095154,43758.00476074219,43601.497756576544,10.915500044822693,23.31899929046631,0.7344995737075806,trailing_stop,78,0.9630902650723524,0.9591660466514182
SH601012,2025-09-03,2025-09-04,2025-09-04,breakout,3600,17.170000076293945,61812.0002746582,30.9060001373291,2025-09-15,2025-09-16,17.290000915527344,62244.00329589844,93.36600494384766,432.0030212402344,307.7310161590576,15.267499995231628,15.267499995231628,1.9025000810623176,time_stop,12,0.006988983034372821,0.00497601155404424
SH601288,2025-06-18,2025-06-19,2025-06-19,breakout,8300,5.539999961853027,45981.99968338013,22.990999841690066,2025-09-16,2025-09-17,6.889999866485596,57186.998891830444,85.78049833774567,11204.999208450317,11096.227710270885,5.25625,7.027977615960236,0.2837499618530277,trailing_stop,90,0.24368229493290797,0.24119617340380678
SZ002466,2025-07-17,2025-07-18,2025-07-18,breakout,1400,34.66999816894531,48537.99743652344,24.26899871826172,2025-09-18,2025-09-19,43.18000030517578,60452.000427246094,90.67800064086914,11914.002990722656,11799.055991363528,28.657999134063722,43.23868126164652,6.01199903488159,trailing_stop,63,0.2454572421596799,0.24296757251018536
SZ002241,2025-09-05,2025-09-08,2025-09-08,pullback,1900,32.84000015258789,62396.00028991699,31.198000144958495,2025-09-18,2025-09-19,32.810001373291016,62339.00260925293,93.5085039138794,-56.9976806640625,-181.70418472290038,30.202749681472778,30.202749681472778,2.637250471115113,time_stop,11,-0.0009134829219698103,-0.0029106573689024044
SZ000657,2025-09-05,2025-09-08,2025-09-08,pullback,3100,20.0,62000.0,31.0,2025-09-18,2025-09-19,18.09000015258789,56079.00047302246,84.11850070953369,-5920.999526977539,-6036.118027687073,17.743248987197877,17.743248987197877,2.2567510128021233,time_stop,11,-0.09549999237060547,-0.09730808833788063
SH600549,2025-09-05,2025-09-08,2025-09-08,pullback,2000,31.299999237060547,62599.998474121094,31.299999237060547,2025-09-18,2025-09-19,28.3799991607666,56759.9983215332,85.1399974822998,-5840.000152587891,-5956.440149307251,27.331250715255738,27.331250715255738,3.968748521804809,time_stop,11,-0.093290739535755,-0.09510325180055108
SH603993,2025-09-10,2025-09-11,2025-09-11,pullback,4900,12.5600004196167,61544.002056121826,30.772001028060913,2025-09-18,2025-09-19,12.380000114440918,60662.0005607605,90.99300084114076,-882.0014953613281,-1003.7664972305283,11.97599995136261,12.5600004196167,0.5840004682540894,trailing_stop,8,-0.014331234009725807,-0.01630158636552843
