split,baseline_id,baseline_role,metric_name,candidate_value,baseline_value,diff_value,random_replicate_stat,comparison,threshold,status
validation,same_cooling_qualified_seed_t3_open_no_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_cooling_qualified_seed_t3_open_no_fail_fast_h20,11.0,22.0,-11.0,not_random,,,report_only
validation,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,gate,mean_return_r_diff_vs_same_cooling_qualified_seed_t3_open_same_fail_fast_h20,-0.12702710241820966,-0.10849005506834741,-0.01853704734986225,not_random,,,report_only
validation,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,gate,p05_return_r_diff_vs_same_cooling_qualified_seed_t3_open_same_fail_fast_h20,-0.5568084785705337,-0.5438692332627262,-0.012939245307807545,not_random,,,report_only
validation,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_cooling_qualified_seed_t3_open_same_fail_fast_h20,0.2394685990584132,0.2204138127090399,0.0190547863493733,not_random,,,report_only
validation,same_cooling_qualified_seed_t3_open_same_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_cooling_qualified_seed_t3_open_same_fail_fast_h20,11.0,11.0,0.0,not_random,,,report_only
validation,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,gate,mean_return_r_diff_vs_same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,-0.12702710241820966,-0.12643229203085615,-0.0005948103873535115,not_random,,,report_only
validation,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,gate,p05_return_r_diff_vs_same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,-0.5568084785705337,-0.5809958972552565,0.02418741868472274,not_random,,,report_only
validation,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,gate,failed_seed_average_loss_r_diff_vs_same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,0.2394685990584132,0.24973633756063565,-0.010267738502222457,not_random,,,report_only
validation,same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,gate,failed_seed_median_holding_days_diff_vs_same_emitted_seed_t1_open_same_fail_fast_h20_all_emitted,11.0,11.0,0.0,not_random,,,report_only
robustness,r01_v2_raw_seed_t1_open_bridge,audit,mean_return_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,0.040745580639676794,-0.0054510597270329385,0.04619664036670973,not_random,,,report_only
robustness,r01_v2_raw_seed_t1_open_bridge,audit,p05_return_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,-0.5474822687801746,-0.608591749377078,0.061109480596903465,not_random,,,report_only
robustness,r01_v2_raw_seed_t1_open_bridge,audit,failed_seed_average_loss_r_diff_vs_r01_v2_raw_seed_t1_open_bridge,0.2069303793841871,0.23613995770485047,-0.02920957832066337,not_random,,,report_only
robustness,r01_v2_raw_seed_t1_open_bridge,audit,failed_seed_median_holding_days_diff_vs_r01_v2_raw_seed_t1_open_bridge,11.0,11.0,0.0,not_random,,,report_only
robustness,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,mean_return_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,0.040745580639676794,0.10286857521658431,-0.062122994576907516,not_random,,,report_only
robustness,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,p05_return_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,-0.5474822687801746,-0.7932437992898592,0.24576153050968463,not_random,,,report_only
robustness,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,failed_seed_average_loss_r_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,0.2069303793841871,0.22394400101968825,-0.017013621635501158,not_random,,,report_only
robustness,same_cooling_qualified_seed_t1_open_no_fail_fast_h20,gate,failed_seed_median_holding_days_diff_vs_same_cooling_qualified_seed_t1_open_no_fail_fast_h20,11.0,22.0,-11.0,not_random,,,report_only
