rule_id,exchange,board_bucket,is_st,effective_start_date,effective_end_date,listing_session_min,listing_session_max,daily_limit_up_rate,daily_limit_down_rate,no_limit_flag,tick_size,rounding_rule,minimum_buy_order_shares,buy_order_increment_shares,sell_remainder_rule,transfer_fee_buy_bps,transfer_fee_sell_bps,official_source_url,official_source_title,source_checked_date,human_verified
chinext_first5_post_transfer_cut,SZ,chinext,false,2022-04-29,,1,5,,,true,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.1,0.1,https://www.szse.cn/lawrules/rule/stock/specific/gem/index.html,创业板注册制规则及现行A股过户费,2026-07-10,true
chinext_after5_pre_transfer_cut,SZ,chinext,false,2020-08-24,2022-04-28,6,,0.20,0.20,false,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.2,0.2,https://www.szse.cn/lawrules/rule/stock/specific/gem/index.html,创业板注册制规则及人工核验的中国结算历史过户费,2026-07-10,true
chinext_after5_post_transfer_cut,SZ,chinext,false,2022-04-29,,6,,0.20,0.20,false,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.1,0.1,https://www.szse.cn/lawrules/rule/stock/specific/gem/index.html,创业板注册制规则及现行A股过户费,2026-07-10,true
chinext_st_pre_reform,SZ,chinext,true,2009-10-30,2020-08-23,2,,0.05,0.05,false,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.2,0.2,https://www.szse.cn/disclosure/notice/general/t20200710_579459.html,创业板风险警示股票改革前5%涨跌幅规则,2026-07-16,true
chinext_st_after_reform_pre_transfer_cut,SZ,chinext,true,2020-08-24,2022-04-28,2,,0.20,0.20,false,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.2,0.2,https://www.szse.cn/disclosure/notice/general/t20200710_579459.html,创业板风险警示股票改革后20%涨跌幅及历史过户费,2026-07-16,true
chinext_st_after_reform_post_transfer_cut,SZ,chinext,true,2022-04-29,,2,,0.20,0.20,false,0.01,round_half_up_to_tick,100,100,allow_odd_lot_full_exit,0.1,0.1,https://www.szse.cn/lawrules/rule/fund/trade/t20210331_585336.html,创业板风险警示股票20%涨跌幅及现行过户费,2026-07-16,true
beijing_first_pre_transfer_cut,BJ,beijing,false,2021-11-15,2022-04-28,1,1,,,true,0.01,round_half_up_to_tick,100,1,allow_odd_lot_full_exit,0.25,0.25,https://www.bse.cn/lawrule/rule.html,北交所交易规则及人工核验的中国结算历史过户费,2026-07-10,true
beijing_first_post_transfer_cut,BJ,beijing,false,2022-04-29,,1,1,,,true,0.01,round_half_up_to_tick,100,1,allow_odd_lot_full_exit,0.1,0.1,https://www.bse.cn/lawrule/rule.html,北交所交易规则及现行A股过户费,2026-07-10,true
beijing_after_first_pre_transfer_cut,BJ,beijing,false,2021-11-15,2022-04-28,2,,0.30,0.30,false,0.01,round_half_up_to_tick,100,1,allow_odd_lot_full_exit,0.25,0.25,https://www.bse.cn/lawrule/rule.html,北交所交易规则及人工核验的中国结算历史过户费,2026-07-10,true
beijing_after_first_post_transfer_cut,BJ,beijing,false,2022-04-29,,2,,0.30,0.30,false,0.01,round_half_up_to_tick,100,1,allow_odd_lot_full_exit,0.1,0.1,https://www.bse.cn/lawrule/rule.html,北交所交易规则及现行A股过户费,2026-07-10,true
