instrument,anchor_row_n,path_winner_anchor_n,qfq_row_n,missing_qfq_file_flag,max_episode_threshold_pos,hit_pos_out_of_bounds_n,price_path_status,blocking_reason
SH600138,60,0,2271,False,,0,pass,
SH600141,30,3,2280,False,2216.0,0,pass,
SH600143,1866,977,2200,False,2036.0,0,pass,
SH600153,1998,660,2281,False,1436.0,0,pass,
SH600160,2391,1830,2271,False,2210.0,0,pass,
SH600161,2601,468,2186,False,1787.0,0,pass,
SH600166,672,126,2281,False,1138.0,0,pass,
SH600170,1272,120,2281,False,2117.0,0,pass,
SH600171,93,14,2248,False,1866.0,0,pass,
SH600172,3,1,2266,False,2264.0,0,pass,
SH600176,2583,2549,2269,False,2268.0,0,pass,
SH600177,2295,787,2281,False,1932.0,0,pass,
SH600179,57,0,2236,False,,0,pass,
SH600183,1326,1309,2281,False,2280.0,0,pass,
SH600185,237,19,2266,False,843.0,0,pass,
SH600188,1569,699,2281,False,2261.0,0,pass,
SH600195,15,1,2280,False,881.0,0,pass,
SH600196,2601,772,2281,False,2110.0,0,pass,
SH600198,3,0,2263,False,,0,pass,
SH600201,1077,141,2279,False,874.0,0,pass,
SH600208,1443,502,2267,False,2080.0,0,pass,
SH600211,51,3,2281,False,870.0,0,pass,
SH600216,141,12,2281,False,858.0,0,pass,
SH600219,2613,2247,2275,False,2198.0,0,pass,
SH600221,2511,321,2150,False,1774.0,0,pass,
SH600226,18,2,2012,False,2009.0,0,pass,
SH600230,45,0,2270,False,,0,pass,
SH600233,1263,159,2281,False,2257.0,0,pass,
SH600236,1458,958,2281,False,2267.0,0,pass,
SH600246,102,63,2272,False,2271.0,0,pass,
SH600252,57,0,2281,False,,0,pass,
SH600256,1998,921,2268,False,2216.0,0,pass,
SH600258,1053,115,2281,False,1038.0,0,pass,
SH600266,288,9,2281,False,1598.0,0,pass,
SH600271,1173,16,2276,False,1514.0,0,pass,
SH600273,270,33,2189,False,2125.0,0,pass,
SH600276,2448,454,2281,False,2110.0,0,pass,
SH600282,393,108,2268,False,2208.0,0,pass,
SH600292,15,0,2271,False,,0,pass,
SH600295,909,437,2280,False,2218.0,0,pass,
SH600298,2397,503,2281,False,2178.0,0,pass,
SH600299,1509,216,2281,False,2230.0,0,pass,
SH600305,438,27,2281,False,885.0,0,pass,
SH600307,159,22,2281,False,1147.0,0,pass,
SH600309,2553,820,2156,False,2100.0,0,pass,
SH600312,18,0,2281,False,,0,pass,
SH600315,1431,406,2269,False,1078.0,0,pass,
SH600316,744,80,2281,False,1120.0,0,pass,
SH600320,174,22,2281,False,1995.0,0,pass,
SH600323,219,42,2279,False,2259.0,0,pass,
SH600325,435,211,2278,False,1518.0,0,pass,
SH600328,18,0,2140,False,,0,pass,
SH600329,342,43,2280,False,2094.0,0,pass,
SH600332,2367,16,2233,False,292.0,0,pass,
SH600338,486,202,2274,False,1129.0,0,pass,
SH600339,453,92,2279,False,2220.0,0,pass,
SH600340,1011,0,2262,False,,0,pass,
SH600346,2613,1246,2218,False,2138.0,0,pass,
SH600348,879,236,2281,False,2263.0,0,pass,
SH600350,1683,878,2281,False,2276.0,0,pass,
SH600352,2478,656,2281,False,2218.0,0,pass,
SH600362,2613,2535,2281,False,2204.0,0,pass,
SH600363,24,0,2281,False,,0,pass,
SH600369,1980,11,2281,False,1905.0,0,pass,
SH600372,2586,191,2258,False,2168.0,0,pass,
SH600373,558,162,2278,False,1538.0,0,pass,
SH600376,540,35,2281,False,2118.0,0,pass,
SH600377,1920,655,2281,False,2039.0,0,pass,
SH600378,1725,503,2144,False,2141.0,0,pass,
SH600383,1782,126,2281,False,1283.0,0,pass,
SH600390,1395,235,2274,False,1896.0,0,pass,
SH600392,1317,716,2281,False,2219.0,0,pass,
SH600398,1503,299,2276,False,1951.0,0,pass,
SH600399,861,169,2072,False,921.0,0,pass,
SH600406,1158,92,2174,False,2118.0,0,pass,
SH600409,393,111,2281,False,1142.0,0,pass,
SH600410,39,27,2271,False,2215.0,0,pass,
SH600415,2148,1619,2281,False,2100.0,0,pass,
SH600416,186,0,2279,False,,0,pass,
SH600418,1563,1003,2281,False,2114.0,0,pass,
SH600426,2553,1277,2281,False,2225.0,0,pass,
SH600435,144,87,2281,False,2191.0,0,pass,
SH600436,2472,857,2281,False,1106.0,0,pass,
SH600438,750,45,2271,False,2149.0,0,pass,
SH600446,450,26,2266,False,553.0,0,pass,
SH600456,306,13,2281,False,1193.0,0,pass,
SH600460,2559,1188,2205,False,2203.0,0,pass,
SH600477,15,0,2281,False,,0,pass,
SH600481,168,0,2222,False,,0,pass,
SH600482,1983,1413,2260,False,2236.0,0,pass,
SH600483,81,0,2272,False,,0,pass,
SH600486,1797,644,2276,False,997.0,0,pass,
SH600487,1920,1920,2261,False,2225.0,0,pass,
SH600489,2610,2527,2270,False,2193.0,0,pass,
SH600490,48,0,2038,False,,0,pass,
SH600491,9,0,2275,False,,0,pass,
SH600497,1845,1546,2271,False,2194.0,0,pass,
SH600498,96,70,2281,False,2269.0,0,pass,
SH600499,738,152,2271,False,2249.0,0,pass,
SH600500,384,181,2272,False,1143.0,0,pass,
SH600507,252,23,2281,False,1142.0,0,pass,
SH600511,1239,478,2276,False,1532.0,0,pass,
SH600515,2385,749,2142,False,2006.0,0,pass,
SH600516,1509,495,2279,False,1145.0,0,pass,
SH600517,1725,164,2270,False,2215.0,0,pass,
SH600518,1269,52,2246,False,1891.0,0,pass,
SH600519,2598,547,2281,False,1002.0,0,pass,
SH600521,522,6,2281,False,2109.0,0,pass,
SH600522,2580,2539,2281,False,2273.0,0,pass,
SH600525,51,0,2263,False,,0,pass,
SH600528,846,0,2281,False,,0,pass,
SH600529,786,225,2281,False,871.0,0,pass,
SH600535,975,0,2279,False,,0,pass,
SH600536,2241,618,2279,False,1906.0,0,pass,
SH600545,150,0,2274,False,,0,pass,
SH600546,927,256,2235,False,1686.0,0,pass,
SH600547,2613,2318,2251,False,2174.0,0,pass,
SH600548,345,127,2281,False,1943.0,0,pass,
SH600549,2394,2374,2281,False,2222.0,0,pass,
SH600556,615,45,2112,False,717.0,0,pass,
SH600559,453,36,2084,False,1289.0,0,pass,
SH600562,582,166,2280,False,2126.0,0,pass,
SH600563,987,236,2281,False,2279.0,0,pass,
SH600566,390,48,2280,False,1770.0,0,pass,
SH600568,45,0,2123,False,,0,pass,
SH600570,2613,460,2279,False,2097.0,0,pass,
SH600578,138,100,2281,False,2277.0,0,pass,
SH600580,594,381,2275,False,2111.0,0,pass,
SH600582,363,128,2281,False,1772.0,0,pass,
SH600583,1245,321,2281,False,2221.0,0,pass,
SH600584,2583,2351,2263,False,2260.0,0,pass,
SH600585,2613,137,2281,False,869.0,0,pass,
SH600588,1326,109,2279,False,2191.0,0,pass,
SH600596,63,3,2267,False,1121.0,0,pass,
SH600597,411,43,2281,False,893.0,0,pass,
SH600598,1383,390,2281,False,2006.0,0,pass,
SH600600,2574,664,2281,False,1522.0,0,pass,
SH600601,168,14,2277,False,2263.0,0,pass,
SH600602,105,0,2210,False,,0,pass,
SH600604,375,67,2281,False,532.0,0,pass,
SH600606,2037,88,2276,False,1900.0,0,pass,
SH600612,1515,649,2281,False,1762.0,0,pass,
SH600621,693,165,2275,False,851.0,0,pass,
SH600622,48,0,2281,False,,0,pass,
SH600623,294,104,2281,False,1147.0,0,pass,
SH600629,12,0,2281,False,,0,pass,
SH600633,81,15,2242,False,1930.0,0,pass,
SH600635,309,77,2280,False,2160.0,0,pass,
SH600637,1485,742,2274,False,2185.0,0,pass,
SH600639,171,0,2281,False,,0,pass,
SH600640,159,2,2281,False,727.0,0,pass,
SH600641,444,147,2201,False,1114.0,0,pass,
SH600642,2133,830,2281,False,2280.0,0,pass,
SH600643,387,5,2206,False,446.0,0,pass,
SH600648,411,19,2271,False,539.0,0,pass,
SH600649,228,1,2223,False,472.0,0,pass,
SH600655,468,0,2069,False,,0,pass,
SH600657,54,18,2158,False,1152.0,0,pass,
SH600660,2613,1311,2281,False,2116.0,0,pass,
SH600663,1863,57,2271,False,1103.0,0,pass,
SH600664,18,0,2183,False,,0,pass,
SH600666,3,0,2020,False,,0,pass,
SH600667,849,254,2281,False,2278.0,0,pass,
SH600673,1668,1570,2032,False,2015.0,0,pass,
SH600674,1959,501,2281,False,1882.0,0,pass,
SH600675,162,0,2273,False,,0,pass,
SH600681,63,0,2209,False,,0,pass,
SH600682,321,34,2131,False,720.0,0,pass,
SH600685,2502,939,2157,False,2095.0,0,pass,
SH600688,1884,59,2281,False,2222.0,0,pass,
SH600690,1188,91,2279,False,1880.0,0,pass,
SH600699,1581,714,2278,False,2115.0,0,pass,
SH600702,951,185,2269,False,1474.0,0,pass,
SH600703,2613,689,2281,False,2229.0,0,pass,
SH600704,1449,869,2281,False,2101.0,0,pass,
SH600707,882,386,2280,False,2277.0,0,pass,
SH600708,27,0,2281,False,,0,pass,
SH600711,258,93,2228,False,2151.0,0,pass,
SH600715,57,0,2128,False,,0,pass,
SH600717,81,0,2281,False,,0,pass,
SH600718,369,11,2271,False,529.0,0,pass,
SH600728,45,0,2281,False,,0,pass,
SH600729,27,1,2247,False,1506.0,0,pass,
SH600732,102,0,2177,False,,0,pass,
SH600733,2295,846,1857,False,1405.0,0,pass,
SH600737,774,650,2281,False,2151.0,0,pass,
SH600739,1422,340,2274,False,865.0,0,pass,
SH600740,120,72,2269,False,1131.0,0,pass,
SH600741,2601,173,2281,False,933.0,0,pass,
SH600745,390,30,2095,False,1939.0,0,pass,
SH600746,48,0,2279,False,,0,pass,
SH600748,135,9,2280,False,561.0,0,pass,
SH600751,6,0,2110,False,,0,pass,
SH600754,2097,605,2281,False,1521.0,0,pass,
SH600760,2613,1281,2269,False,2115.0,0,pass,
SH600763,1752,756,2281,False,1088.0,0,pass,
SH600764,636,91,2150,False,762.0,0,pass,
SH600765,918,77,2271,False,1183.0,0,pass,
SH600771,66,16,2281,False,1104.0,0,pass,
SH600773,27,0,2276,False,,0,pass,
SH600775,6,0,2281,False,,0,pass,
SH600776,516,72,2281,False,2193.0,0,pass,
SH600777,276,194,2184,False,2160.0,0,pass,
SH600779,1818,893,2279,False,1157.0,0,pass,
SH600782,519,289,2281,False,1143.0,0,pass,
SH600783,105,45,2281,False,2192.0,0,pass,
SH600787,69,0,2281,False,,0,pass,
SH600795,2520,1412,2217,False,2113.0,0,pass,
SH600797,9,0,2266,False,,0,pass,
SH600801,2187,679,2279,False,2199.0,0,pass,
SH600803,1437,140,2239,False,2180.0,0,pass,
SH600808,1281,774,2281,False,1142.0,0,pass,
SH600809,2592,844,2270,False,1092.0,0,pass,
SH600811,204,0,1929,False,,0,pass,
SH600812,240,41,2272,False,865.0,0,pass,
SH600816,1053,81,2225,False,1851.0,0,pass,
SH600820,585,137,2281,False,2076.0,0,pass,
SH600827,819,309,2281,False,1073.0,0,pass,
SH600835,552,332,2281,False,2160.0,0,pass,
SH600839,843,268,2281,False,1900.0,0,pass,
SH600845,1104,18,2279,False,1568.0,0,pass,
SH600848,1584,39,2204,False,2075.0,0,pass,
SH600859,945,101,2156,False,746.0,0,pass,
SH600862,2121,428,2281,False,1903.0,0,pass,
SH600863,423,228,2273,False,2271.0,0,pass,
SH600864,264,0,2281,False,,0,pass,
SH600867,1188,42,2269,False,846.0,0,pass,
SH600869,6,6,2268,False,2191.0,0,pass,
SH600871,2190,1303,2250,False,2192.0,0,pass,
SH600872,1719,396,2281,False,894.0,0,pass,
SH600873,1041,292,2281,False,2230.0,0,pass,
SH600874,66,0,2279,False,,0,pass,
SH600875,1608,1422,2221,False,2164.0,0,pass,
SH600879,1407,1407,2281,False,2191.0,0,pass,
SH600881,45,0,2281,False,,0,pass,
SH600882,492,8,2265,False,1061.0,0,pass,
SH600884,1467,715,2281,False,2263.0,0,pass,
SH600885,1188,292,2281,False,2278.0,0,pass,
SH600886,2613,1171,2281,False,1821.0,0,pass,
SH600887,1800,0,2277,False,,0,pass,
SH600893,2607,1064,2270,False,2215.0,0,pass,
SH600895,2109,1725,2281,False,2125.0,0,pass,
SH600900,2496,788,2270,False,1871.0,0,pass,
SH600901,471,37,2000,False,1976.0,0,pass,
SH600905,978,0,1203,False,,0,pass,
SH600906,477,0,1227,False,,0,pass,
SH600909,123,0,2275,False,,0,pass,
SH600916,201,0,1283,False,,0,pass,
SH600917,48,2,2276,False,1030.0,0,pass,
SH600918,1854,0,1451,False,,0,pass,
SH600919,1506,541,2275,False,2058.0,0,pass,
SH600925,426,0,766,False,,0,pass,
SH600926,831,48,2281,False,2230.0,0,pass,
SH600927,111,0,1071,False,,0,pass,
SH600928,810,0,1757,False,,0,pass,
SH600930,51,0,210,False,,0,pass,
SH600938,1170,627,994,False,935.0,0,pass,
SH600941,447,0,1063,False,,0,pass,
SH600956,1272,288,1435,False,1386.0,0,pass,
SH600958,2613,562,2259,False,2082.0,0,pass,
SH600959,462,2,2179,False,437.0,0,pass,
SH600966,111,0,2275,False,,0,pass,
SH600967,804,675,2281,False,2092.0,0,pass,
SH600968,2253,1193,1679,False,1620.0,0,pass,
SH600970,309,0,2257,False,,0,pass,
SH600977,1242,347,2281,False,2115.0,0,pass,
SH600984,240,19,2271,False,865.0,0,pass,
SH600985,1821,561,2180,False,1781.0,0,pass,
SH600988,1710,1491,2271,False,2196.0,0,pass,
SH600989,2367,2008,1707,False,1656.0,0,pass,
SH600995,1074,227,2270,False,2217.0,0,pass,
SH600998,1566,34,2281,False,871.0,0,pass,
SH600999,2592,473,2275,False,1877.0,0,pass,
SH601000,468,338,2279,False,1880.0,0,pass,
SH601001,162,5,2260,False,2240.0,0,pass,
SH601003,210,20,2207,False,2011.0,0,pass,
SH601005,345,46,2080,False,941.0,0,pass,
SH601006,735,0,2281,False,,0,pass,
SH601009,849,44,2279,False,2163.0,0,pass,
SH601011,45,0,2279,False,,0,pass,
SH601012,864,36,2275,False,2142.0,0,pass,
SH601018,1998,23,2281,False,2225.0,0,pass,
SH601019,189,119,2065,False,1666.0,0,pass,
SH601021,2613,287,2281,False,1069.0,0,pass,
SH601058,1665,322,2277,False,2167.0,0,pass,
SH601059,864,10,786,False,624.0,0,pass,
SH601061,861,519,759,False,628.0,0,pass,
SH601066,2514,360,1926,False,1550.0,0,pass,
SH601068,267,18,1874,False,800.0,0,pass,
SH601077,1851,817,1596,False,1565.0,0,pass,
SH601088,2580,1696,2207,False,2161.0,0,pass,
SH601098,654,219,2281,False,2007.0,0,pass,
SH601099,1365,200,2271,False,1895.0,0,pass,
SH601100,2613,1390,2281,False,2200.0,0,pass,
SH601106,720,371,2279,False,2191.0,0,pass,
SH601107,3,1,2260,False,1755.0,0,pass,
SH601108,1188,0,2080,False,,0,pass,
SH601111,2607,241,2280,False,1445.0,0,pass,
SH601117,2613,1104,2281,False,2229.0,0,pass,
SH601118,1023,305,2163,False,2110.0,0,pass,
SH601127,1197,456,2266,False,2110.0,0,pass,
SH601136,912,38,829,False,456.0,0,pass,
SH601138,813,630,1933,False,1793.0,0,pass,
SH601139,864,366,2281,False,1142.0,0,pass,
SH601155,2268,257,2279,False,2202.0,0,pass,
SH601156,432,0,1204,False,,0,pass,
SH601158,438,0,2281,False,,0,pass,
SH601162,2247,287,1839,False,1658.0,0,pass,
SH601163,48,0,2281,False,,0,pass,
SH601166,1026,125,2281,False,2067.0,0,pass,
SH601168,2058,1850,2212,False,2135.0,0,pass,
SH601169,2184,688,2273,False,2059.0,0,pass,
SH601179,1746,1722,2281,False,2225.0,0,pass,
SH601186,2520,363,2281,False,1539.0,0,pass,
SH601187,207,0,1355,False,,0,pass,
SH601198,2547,203,2261,False,2158.0,0,pass,
SH601200,60,0,2223,False,,0,pass,
SH601211,1164,176,2262,False,2168.0,0,pass,
SH601212,1035,1019,2212,False,2135.0,0,pass,
SH601216,2490,1045,2200,False,1852.0,0,pass,
SH601222,18,0,2281,False,,0,pass,
SH601225,2613,1560,2281,False,2235.0,0,pass,
SH601228,402,0,2225,False,,0,pass,
SH601229,945,168,2281,False,2064.0,0,pass,
SH601231,813,772,2273,False,2210.0,0,pass,
SH601233,2229,887,2281,False,2220.0,0,pass,
SH601236,2316,63,1666,False,1484.0,0,pass,
SH601238,894,0,2281,False,,0,pass,
SH601288,1878,1300,2281,False,2152.0,0,pass,
SH601298,1890,570,1775,False,1496.0,0,pass,
SH601318,2613,363,2281,False,2187.0,0,pass,
SH601319,2445,797,1825,False,1732.0,0,pass,
SH601326,171,0,2130,False,,0,pass,
SH601328,1923,686,2281,False,2057.0,0,pass,
SH601333,489,26,2281,False,1562.0,0,pass,
SH601336,2613,1495,2281,False,2204.0,0,pass,
SH601360,2559,435,2159,False,2072.0,0,pass,
SH601375,999,177,2281,False,975.0,0,pass,
SH601377,2598,294,2270,False,2171.0,0,pass,
SH601390,2556,517,2207,False,1464.0,0,pass,
SH601398,2151,900,2281,False,2156.0,0,pass,
SH601399,336,115,1447,False,1357.0,0,pass,
SH601456,1743,0,1391,False,,0,pass,
SH601512,87,0,1558,False,,0,pass,
SH601519,450,240,2268,False,2082.0,0,pass,
SH601555,2592,301,2259,False,2087.0,0,pass,
SH601567,759,88,2281,False,2227.0,0,pass,
SH601568,339,0,1360,False,,0,pass,
SH601577,2433,314,1857,False,1643.0,0,pass,
SH601588,48,0,2281,False,,0,pass,
SH601598,2256,1144,1782,False,1623.0,0,pass,
SH601600,2568,2210,2172,False,2095.0,0,pass,
SH601601,2613,924,2281,False,2188.0,0,pass,
SH601606,144,2,1893,False,1718.0,0,pass,
SH601607,942,0,2281,False,,0,pass,
SH601608,318,171,2210,False,2129.0,0,pass,
SH601611,63,17,2281,False,2192.0,0,pass,
SH601615,894,205,1771,False,1698.0,0,pass,
SH601618,2595,788,2281,False,2127.0,0,pass,
SH601628,2613,642,2281,False,2192.0,0,pass,
SH601633,363,0,2274,False,,0,pass,
SH601636,36,0,2281,False,,0,pass,
SH601658,2070,351,1566,False,1392.0,0,pass,
SH601665,393,0,1198,False,,0,pass,
SH601668,2553,363,2281,False,1882.0,0,pass,
SH601669,2604,1047,2281,False,2078.0,0,pass,
SH601677,54,0,2281,False,,0,pass,
SH601678,6,0,2279,False,,0,pass,
SH601688,2613,696,2281,False,2187.0,0,pass,
SH601689,2349,1529,2281,False,2117.0,0,pass,
SH601696,1971,280,1517,False,1329.0,0,pass,
SH601698,2292,2182,1677,False,1587.0,0,pass,
SH601699,2202,1167,2281,False,2133.0,0,pass,
SH601717,582,220,2164,False,2004.0,0,pass,
SH601718,408,24,2281,False,2088.0,0,pass,
SH601727,2277,1552,2150,False,1996.0,0,pass,
SH601728,1215,226,1153,False,846.0,0,pass,
SH601766,2565,393,2281,False,1882.0,0,pass,
SH601777,1062,452,2276,False,2117.0,0,pass,
SH601788,2583,656,2281,False,1927.0,0,pass,
SH601799,2535,536,2281,False,1089.0,0,pass,
SH601800,2532,434,2281,False,1904.0,0,pass,
SH601801,117,34,2268,False,1548.0,0,pass,
SH601808,2568,623,2281,False,2222.0,0,pass,
SH601811,261,105,2281,False,1538.0,0,pass,
SH601816,2049,13,1540,False,1141.0,0,pass,
SH601818,1545,268,2281,False,2067.0,0,pass,
SH601825,1035,169,1154,False,914.0,0,pass,
SH601828,1023,23,2020,False,840.0,0,pass,
SH601838,1050,118,2016,False,1792.0,0,pass,
SH601857,2514,1845,2281,False,2222.0,0,pass,
SH601865,831,8,1767,False,1383.0,0,pass,
SH601866,2253,437,2270,False,1137.0,0,pass,
SH601868,1083,354,1128,False,1076.0,0,pass,
SH601869,1224,1224,1904,False,1843.0,0,pass,
SH601872,2553,2517,2181,False,2144.0,0,pass,
SH601877,2613,1226,2281,False,2227.0,0,pass,
SH601878,903,47,2167,False,1768.0,0,pass,
SH601880,1728,0,2264,False,,0,pass,
SH601881,1104,206,2267,False,2085.0,0,pass,
SH601888,2607,877,2281,False,2197.0,0,pass,
SH601898,2433,1846,2281,False,2229.0,0,pass,
SH601899,1188,1001,2277,False,2200.0,0,pass,
SH601901,2613,249,2271,False,1872.0,0,pass,
SH601908,216,2,2281,False,1138.0,0,pass,
SH601916,1674,92,1570,False,1356.0,0,pass,
SH601919,813,41,2231,False,2025.0,0,pass,
SH601928,753,346,2281,False,1538.0,0,pass,
SH601933,2373,416,2275,False,1925.0,0,pass,
SH601939,2337,1025,2281,False,2278.0,0,pass,
SH601949,21,17,2127,False,1388.0,0,pass,
SH601952,102,15,2195,False,794.0,0,pass,
SH601958,1965,1770,2281,False,2221.0,0,pass,
SH601963,411,0,1283,False,,0,pass,
SH601966,1593,359,2272,False,1167.0,0,pass,
SH601969,204,32,2263,False,1126.0,0,pass,
SH601975,171,80,1789,False,914.0,0,pass,
SH601985,1833,796,2281,False,1836.0,0,pass,
SH601988,1680,743,2281,False,2157.0,0,pass,
SH601990,2328,218,1930,False,507.0,0,pass,
SH601991,1995,1945,2281,False,2280.0,0,pass,
SH601992,1587,0,2279,False,,0,pass,
SH601995,1635,0,1331,False,,0,pass,
SH601997,1167,0,2281,False,,0,pass,
SH601998,753,8,2281,False,2064.0,0,pass,
SH603000,858,380,2281,False,1621.0,0,pass,
SH603005,543,26,2278,False,854.0,0,pass,
SH603019,2424,1955,2268,False,2113.0,0,pass,
SH603025,312,24,2266,False,1061.0,0,pass,
SH603026,393,50,2281,False,1148.0,0,pass,
SH603027,513,58,2280,False,1000.0,0,pass,
SH603039,102,0,2204,False,,0,pass,
SH603043,15,5,2166,False,758.0,0,pass,
SH603049,162,0,239,False,,0,pass,
SH603068,114,0,1727,False,,0,pass,
SH603077,714,207,2269,False,1135.0,0,pass,
SH603083,33,17,2073,False,2069.0,0,pass,
SH603087,1194,101,1435,False,1276.0,0,pass,
SH603093,54,0,1632,False,,0,pass,
SH603098,84,0,2280,False,,0,pass,
SH603103,36,12,2094,False,2025.0,0,pass,
SH603119,87,1,683,False,519.0,0,pass,
SH603127,705,15,2123,False,991.0,0,pass,
SH603129,579,95,2128,False,1964.0,0,pass,
SH603156,1713,1493,2008,False,2000.0,0,pass,
SH603160,1029,82,2271,False,1891.0,0,pass,
SH603179,84,5,2233,False,2148.0,0,pass,
SH603185,357,0,1795,False,,0,pass,
SH603195,783,0,1531,False,,0,pass,
SH603198,2004,691,2281,False,1622.0,0,pass,
SH603218,648,91,2281,False,1177.0,0,pass,
SH603222,105,0,2227,False,,0,pass,
SH603228,459,209,2278,False,2273.0,0,pass,
SH603233,396,19,2142,False,1300.0,0,pass,
SH603236,786,60,1665,False,757.0,0,pass,
SH603256,57,57,1662,False,1642.0,0,pass,
SH603259,681,219,1956,False,1780.0,0,pass,
SH603260,2586,1201,2082,False,1957.0,0,pass,
SH603267,690,86,1708,False,620.0,0,pass,
SH603268,255,247,2209,False,2193.0,0,pass,
SH603288,2613,526,2281,False,978.0,0,pass,
SH603290,540,0,1533,False,,0,pass,
SH603296,813,256,678,False,662.0,0,pass,
SH603298,246,34,2281,False,2217.0,0,pass,
SH603305,156,15,2150,False,1244.0,0,pass,
SH603328,42,7,2280,False,2255.0,0,pass,
SH603338,1908,582,2281,False,1785.0,0,pass,
SH603345,1419,258,2211,False,932.0,0,pass,
SH603367,6,0,2098,False,,0,pass,
SH603369,2613,520,2281,False,1521.0,0,pass,
SH603379,477,253,1735,False,1674.0,0,pass,
SH603392,1884,156,1473,False,889.0,0,pass,
SH603421,6,0,2281,False,,0,pass,
SH603444,1470,704,2280,False,2121.0,0,pass,
SH603456,450,0,2258,False,,0,pass,
SH603486,594,189,1942,False,1778.0,0,pass,
SH603489,663,75,1587,False,474.0,0,pass,
SH603501,288,0,2031,False,,0,pass,
SH603515,735,4,2281,False,1009.0,0,pass,
SH603516,45,2,2014,False,1925.0,0,pass,
SH603517,1674,491,2232,False,954.0,0,pass,
SH603520,69,0,2155,False,,0,pass,
SH603529,438,1,1201,False,910.0,0,pass,
SH603533,72,0,2102,False,,0,pass,
SH603565,411,34,1371,False,215.0,0,pass,
SH603568,1128,205,2281,False,2221.0,0,pass,
SH603583,93,0,1859,False,,0,pass,
SH603589,1809,341,2281,False,1498.0,0,pass,
SH603596,420,12,1961,False,1663.0,0,pass,
SH603605,660,0,2070,False,,0,pass,
SH603606,1308,188,2281,False,2127.0,0,pass,
SH603613,1011,347,1655,False,804.0,0,pass,
SH603619,15,0,2068,False,,0,pass,
SH603638,345,0,2268,False,,0,pass,
SH603658,1923,377,2281,False,1409.0,0,pass,
SH603659,1566,468,2022,False,2002.0,0,pass,
SH603688,492,17,2281,False,2276.0,0,pass,
SH603699,69,13,2271,False,2192.0,0,pass,
SH603707,408,0,2150,False,,0,pass,
SH603708,429,59,2281,False,847.0,0,pass,
SH603711,12,0,2059,False,,0,pass,
SH603712,1449,408,2000,False,595.0,0,pass,
SH603718,18,0,2245,False,,0,pass,
SH603719,477,0,1514,False,,0,pass,
SH603728,147,1,2199,False,1891.0,0,pass,
SH603730,9,6,2128,False,2123.0,0,pass,
SH603733,219,0,1966,False,,0,pass,
SH603737,1536,415,2281,False,2204.0,0,pass,
SH603766,66,48,2280,False,2164.0,0,pass,
