threshold_id,episode_cluster_id,cluster_anchor_n,earliest_anchor_row_id,shortest_duration_anchor_row_id,medoid_anchor_row_id,earliest_source_row_key,shortest_source_row_key,medoid_source_row_key,medoid_distance,representative_taxonomy_disagreement,earliest_anchor_path_type,shortest_duration_anchor_path_type,medoid_anchor_path_type,cluster_distinct_path_type_n,cluster_internal_path_type_entropy,cluster_dominant_path_type,cluster_dominant_path_type_share
up50pct,up50pct::SH601061::000000,271,796145,1069127,982633,SH601061|2023-07-25|796145|up50pct,SH601061|2025-10-28|1069127|up50pct,SH601061|2025-02-12|982633|up50pct,0.1149488153993434,True,unclassified_mixed_path,smooth_trend_winner,slow_grind_winner,4,0.8198313144019937,smooth_trend_winner,0.44280442804428044
up100pct,up100pct::SH601066::000000,99,254177,258178,332666,SH601066|2019-02-01|254177|up100pct,SH601066|2019-02-20|258178|up100pct,SH601066|2019-09-25|332666|up100pct,0.1297081094748399,True,smooth_trend_winner,smooth_trend_winner,stair_step_winner,3,0.856357044590983,stair_step_winner,0.5151515151515151
up150pct,up150pct::SH601066::000000,56,254177,256176,335663,SH601066|2019-02-01|254177|up150pct,SH601066|2019-02-14|256176|up150pct,SH601066|2019-10-10|335663|up150pct,0.11651876888864227,True,smooth_trend_winner,smooth_trend_winner,stair_step_winner,3,0.7794178205576752,stair_step_winner,0.6071428571428571
up50pct,up50pct::SH601066::000000,179,254177,258178,386155,SH601066|2019-02-01|254177|up50pct,SH601066|2019-02-20|258178|up50pct,SH601066|2020-03-10|386155|up50pct,0.31314359621174037,True,smooth_trend_winner,unclassified_short_path,unclassified_mixed_path,5,0.7991593886114009,unclassified_mixed_path,0.49162011173184356
up50pct,up50pct::SH601066::000001,26,876144,896647,884146,SH601066|2024-03-22|876144|up50pct,SH601066|2024-05-27|896647|up50pct,SH601066|2024-04-17|884146|up50pct,0.036275528908052794,False,unclassified_mixed_path,unclassified_mixed_path,unclassified_mixed_path,1,-0.0,unclassified_mixed_path,1.0
up100pct,up100pct::SH601077::000000,293,404655,836645,530649,SH601077|2020-05-06|404655|up100pct,SH601077|2023-11-23|836645|up100pct,SH601077|2021-05-19|530649|up100pct,0.03314110921184083,False,slow_grind_winner,slow_grind_winner,slow_grind_winner,2,0.03288391519711132,slow_grind_winner,0.9965870307167235
up150pct,up150pct::SH601077::000000,120,496146,761144,590146,SH601077|2021-01-29|496146|up150pct,SH601077|2023-04-11|761144|up150pct,SH601077|2021-11-12|590146|up150pct,0.1413774666832407,False,slow_grind_winner,slow_grind_winner,slow_grind_winner,1,-0.0,slow_grind_winner,1.0
up50pct,up50pct::SH601077::000000,404,372655,941144,531647,SH601077|2020-01-23|372655|up50pct,SH601077|2024-10-09|941144|up50pct,SH601077|2021-05-21|531647|up50pct,0.04739265579496206,True,late_rescue_winner,slow_grind_winner,slow_grind_winner,3,0.5389531451312192,slow_grind_winner,0.7351485148514851
up100pct,up100pct::SH601088::000000,594,124694,557647,349665,SH601088|2018-01-10|124694|up100pct,SH601088|2021-08-04|557647|up100pct,SH601088|2019-11-19|349665|up100pct,0.15278602721865917,True,late_rescue_winner,stair_step_winner,slow_grind_winner,3,0.6982356429750769,slow_grind_winner,0.6245791245791246
up150pct,up150pct::SH601088::000000,475,124694,444152,445652,SH601088|2018-01-10|124694|up150pct,SH601088|2020-08-27|444152|up150pct,SH601088|2020-09-01|445652|up150pct,0.02092406673911582,True,late_rescue_winner,stair_step_winner,slow_grind_winner,3,0.21771573324482152,slow_grind_winner,0.9473684210526315
up50pct,up50pct::SH601088::000000,627,124694,603149,418656,SH601088|2018-01-10|124694|up50pct,SH601088|2021-12-20|603149|up50pct,SH601088|2020-06-15|418656|up50pct,0.13471665408323136,True,late_rescue_winner,smooth_trend_winner,stair_step_winner,5,0.7744763631423551,stair_step_winner,0.5773524720893142
up100pct,up100pct::SH601098::000000,1,387159,387159,387159,SH601098|2020-03-12|387159|up100pct,SH601098|2020-03-12|387159|up100pct,SH601098|2020-03-12|387159|up100pct,0.0,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,1,-0.0,late_rescue_winner,1.0
up50pct,up50pct::SH601098::000000,218,124695,452153,339666,SH601098|2018-01-10|124695|up50pct,SH601098|2020-09-18|452153|up50pct,SH601098|2019-10-22|339666|up50pct,0.04828144984993017,True,late_rescue_winner,slow_grind_winner,late_rescue_winner,3,0.37506871453636537,late_rescue_winner,0.8669724770642202
up100pct,up100pct::SH601099::000000,6,254181,254181,254681,SH601099|2019-02-01|254181|up100pct,SH601099|2019-02-01|254181|up100pct,SH601099|2019-02-11|254681|up100pct,0.3374980811585251,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,1,-0.0,late_rescue_winner,1.0
up50pct,up50pct::SH601099::000000,194,124696,423657,541649,SH601099|2018-01-10|124696|up50pct,SH601099|2020-07-01|423657|up50pct,SH601099|2021-06-21|541649|up50pct,0.25370918614770394,True,late_rescue_winner,unclassified_short_path,late_rescue_winner,5,0.7145095317646752,late_rescue_winner,0.6288659793814433
up100pct,up100pct::SH601100::000000,260,124697,448156,363671,SH601100|2018-01-10|124697|up100pct,SH601100|2020-09-08|448156|up100pct,SH601100|2019-12-27|363671|up100pct,0.06879025105619604,True,stair_step_winner,smooth_trend_winner,stair_step_winner,2,0.9340680553754911,stair_step_winner,0.65
up100pct,up100pct::SH601100::000001,179,665151,969645,877649,SH601100|2022-06-28|665151|up100pct,SH601100|2024-12-27|969645|up100pct,SH601100|2024-03-27|877649|up100pct,0.25376661028608327,True,late_rescue_winner,unclassified_mixed_path,slow_grind_winner,3,0.6387247215866454,slow_grind_winner,0.6424581005586593
up150pct,up150pct::SH601100::000000,217,124697,426156,337669,SH601100|2018-01-10|124697|up150pct,SH601100|2020-07-08|426156|up150pct,SH601100|2019-10-16|337669|up150pct,0.03680341985685708,True,stair_step_winner,smooth_trend_winner,stair_step_winner,2,0.7452533982319858,stair_step_winner,0.7880184331797235
up150pct,up150pct::SH601100::000001,25,676646,896650,682147,SH601100|2022-07-29|676646|up150pct,SH601100|2024-05-27|896650|up150pct,SH601100|2022-08-15|682147|up150pct,0.049339155745365806,True,late_rescue_winner,slow_grind_winner,late_rescue_winner,2,0.9988455359952018,late_rescue_winner,0.52
up50pct,up50pct::SH601100::000000,286,124697,474651,341670,SH601100|2018-01-10|124697|up50pct,SH601100|2020-11-30|474651|up50pct,SH601100|2019-10-28|341670|up50pct,0.15573778196959387,True,stair_step_winner,smooth_trend_winner,smooth_trend_winner,3,0.9441437459425789,smooth_trend_winner,0.4965034965034965
up50pct,up50pct::SH601100::000001,423,525151,983138,874147,SH601100|2021-04-29|525151|up50pct,SH601100|2025-02-13|983138|up50pct,SH601100|2024-03-18|874147|up50pct,0.0897273530050233,True,late_rescue_winner,smooth_trend_winner,unclassified_mixed_path,6,0.7722295936445547,late_rescue_winner,0.47044917257683216
up100pct,up100pct::SH601106::000000,130,302182,485653,447156,SH601106|2019-07-01|302182|up100pct,SH601106|2020-12-30|485653|up100pct,SH601106|2020-09-04|447156|up100pct,0.04241999208380676,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,1,-0.0,late_rescue_winner,1.0
up150pct,up150pct::SH601106::000000,2,372660,375166,375166,SH601106|2020-01-23|372660|up150pct,SH601106|2020-02-07|375166|up150pct,SH601106|2020-02-07|375166|up150pct,0.6635725358186265,False,late_rescue_winner,late_rescue_winner,late_rescue_winner,1,-0.0,late_rescue_winner,1.0
up50pct,up50pct::SH601106::000000,239,163197,485653,439155,SH601106|2018-05-10|163197|up50pct,SH601106|2020-12-30|485653|up50pct,SH601106|2020-08-13|439155|up50pct,0.04194953777619124,True,late_rescue_winner,stair_step_winner,late_rescue_winner,3,0.644244395815432,late_rescue_winner,0.6401673640167364
up100pct,up100pct::SH601117::000000,372,124700,538654,409165,SH601117|2018-01-10|124700|up100pct,SH601117|2021-06-10|538654|up100pct,SH601117|2020-05-19|409165|up100pct,0.03095618355252979,True,late_rescue_winner,smooth_trend_winner,stair_step_winner,5,0.7380054640316279,stair_step_winner,0.44623655913978494
up150pct,up150pct::SH601117::000000,268,254185,536150,414165,SH601117|2019-02-01|254185|up150pct,SH601117|2021-06-03|536150|up150pct,SH601117|2020-06-02|414165|up150pct,0.03765341512217465,True,unclassified_mixed_path,smooth_trend_winner,stair_step_winner,3,0.9261820185924264,stair_step_winner,0.44402985074626866
up50pct,up50pct::SH601117::000000,406,124700,564654,425661,SH601117|2018-01-10|124700|up50pct,SH601117|2021-08-24|564654|up50pct,SH601117|2020-07-07|425661|up50pct,0.159468827478374,True,late_rescue_winner,smooth_trend_winner,stair_step_winner,5,0.8142570933314169,unclassified_mixed_path,0.4408866995073892
up50pct,up50pct::SH601117::000001,58,833149,1000142,875650,SH601117|2023-11-14|833149|up50pct,SH601117|2025-04-02|1000142|up50pct,SH601117|2024-03-21|875650|up50pct,0.04738284782563929,True,slow_grind_winner,slow_grind_winner,unclassified_mixed_path,2,0.8726965039103791,unclassified_mixed_path,0.7068965517241379
