instrument,threshold_id,episode_cluster_id,cluster_split_bucket,cluster_member_split_bucket_set,cluster_calendar_span_split_bucket_set,cluster_start_date,cluster_end_date,cluster_start_pos,cluster_end_pos,touches_multiple_split_buckets,touches_multiple_calendar_split_buckets,train_validation_boundary_overlap,validation_robustness_boundary_overlap,split_overlap_status,blocking_reason
SZ002371,up100pct,up100pct::SZ002371::000000,robustness,robustness,robustness,2024-03-04,2026-05-21,1739,2274,False,False,False,False,pass,
SZ002372,up100pct,up100pct::SZ002372::000000,cross_split,train,train;validation,2019-10-30,2023-03-07,686,1499,False,True,True,False,pass,
SZ002384,up100pct,up100pct::SZ002384::000000,cross_split,robustness;train;validation,robustness;train;validation,2018-01-11,2026-04-20,251,2184,True,True,True,True,pass,
SZ002396,up100pct,up100pct::SZ002396::000000,train,train,train,2018-03-13,2020-03-03,254,733,False,False,False,False,pass,
SZ002409,up100pct,up100pct::SZ002409::000000,cross_split,robustness;train;validation,robustness;train;validation,2020-02-03,2026-05-25,609,2138,True,True,True,True,pass,
SZ002414,up100pct,up100pct::SZ002414::000000,train,train,train,2019-07-02,2021-01-11,606,979,False,False,False,False,pass,
SZ002414,up100pct,up100pct::SZ002414::000001,cross_split,robustness;validation,robustness;validation,2022-07-26,2026-01-26,1351,2201,True,True,False,True,pass,
SZ002423,up100pct,up100pct::SZ002423::000000,cross_split,train,robustness;train,2019-03-11,2024-10-31,393,1759,False,True,False,False,pass,
SZ002429,up100pct,up100pct::SZ002429::000000,cross_split,train;validation,train;validation,2018-01-11,2026-05-14,251,2264,True,True,True,False,pass,
SZ002434,up100pct,up100pct::SZ002434::000000,train,train,train,2018-01-16,2021-11-25,254,1190,False,False,False,False,pass,
SZ002436,up100pct,up100pct::SZ002436::000000,cross_split,robustness;validation,robustness;validation,2023-11-21,2026-05-26,1603,2208,True,True,False,True,pass,
SZ002444,up100pct,up100pct::SZ002444::000000,train,train,train,2018-01-11,2021-02-18,251,1002,False,False,False,False,pass,
