split_bucket,path_type,feature_id,episode_cluster_n,feature_p25,feature_median,feature_p75,metric_distribution_status
train,smooth_trend_winner,time_to_threshold_sessions,111,21.0,30.0,57.5,pass
train,smooth_trend_winner,pullback_5pct_count,111,1.0,2.0,3.0,pass
train,smooth_trend_winner,realized_volatility_to_hit,111,0.030237181113196752,0.036731285161000445,0.044934833030147996,pass
train,stair_step_winner,path_efficiency,156,0.10129570433106225,0.12080963306434753,0.1569725307771903,pass
train,stair_step_winner,max_drawdown_before_hit_abs,156,0.18163308023957384,0.20773874566864603,0.2432480798906316,pass
train,stair_step_winner,underwater_days_share,156,0.8487828866486353,0.8880827813716141,0.9098524041387706,pass
train,stair_step_winner,directional_entropy_5state,156,0.9576165141150481,0.9695833716642097,0.9803533226475232,pass
train,stair_step_winner,trend_line_r2,156,0.4769661762716448,0.570581001260421,0.6803479805821117,pass
train,stair_step_winner,top1_positive_gain_share,156,0.04190537043447234,0.050489284016884586,0.059996426363991454,pass
train,stair_step_winner,top3_positive_gain_share,156,0.11134628397171316,0.13833734478972043,0.16792252161568602,pass
train,stair_step_winner,time_to_threshold_sessions,156,116.0,157.5,217.75,pass
train,stair_step_winner,pullback_5pct_count,156,3.0,4.0,5.0,pass
train,stair_step_winner,realized_volatility_to_hit,156,0.02420029110566107,0.02755041939362162,0.03238077765007278,pass
train,unclassified_mixed_path,path_efficiency,320,0.062453854922127086,0.10083066970100565,0.15996443391082507,pass
train,unclassified_mixed_path,max_drawdown_before_hit_abs,320,0.21876107472892042,0.2803397055546,0.36985598808625375,pass
train,unclassified_mixed_path,underwater_days_share,320,0.8787863886703383,0.9290670859538783,0.9552238805970149,pass
train,unclassified_mixed_path,directional_entropy_5state,320,0.9396490111310639,0.9620895809178724,0.9776011277122386,pass
train,unclassified_mixed_path,trend_line_r2,320,0.08151615317393636,0.19833731278216743,0.3559909492176968,pass
train,unclassified_mixed_path,top1_positive_gain_share,320,0.03161080370618113,0.04607494765285801,0.07384205230265842,pass
train,unclassified_mixed_path,top3_positive_gain_share,320,0.09231340380153069,0.1311921816223583,0.20054339929534232,pass
train,unclassified_mixed_path,time_to_threshold_sessions,320,111.5,193.0,323.0,pass
train,unclassified_mixed_path,pullback_5pct_count,320,2.0,3.0,4.0,pass
train,unclassified_mixed_path,realized_volatility_to_hit,320,0.026798532261783796,0.031247290821354568,0.03664906617016691,pass
train,unclassified_short_path,path_efficiency,9,0.5809197147065958,0.8603623965517329,0.9999999999999991,pass
train,unclassified_short_path,max_drawdown_before_hit_abs,9,0.0,0.028187919463087296,0.08022774327122162,pass
train,unclassified_short_path,underwater_days_share,9,0.0,0.125,0.16666666666666666,pass
train,unclassified_short_path,directional_entropy_5state,9,0.31091750708257115,0.3493984702822971,0.5938097293030347,pass
train,unclassified_short_path,trend_line_r2,9,0.8827027240807024,0.9352377565034272,0.9840181951352617,pass
train,unclassified_short_path,top1_positive_gain_share,9,0.22726613652515418,0.23178488796252122,0.25125715279284555,pass
train,unclassified_short_path,top3_positive_gain_share,9,0.6804907385395023,0.6927948616618053,0.7521256606083015,pass
train,unclassified_short_path,time_to_threshold_sessions,9,5.0,6.0,7.0,pass
train,unclassified_short_path,pullback_5pct_count,9,0.0,0.0,1.0,pass
train,unclassified_short_path,realized_volatility_to_hit,9,0.03568788099117908,0.05537921984517224,0.06959282044976756,pass
validation,choppy_reversal_winner,path_efficiency,2,0.03354318387543629,0.03392239682806969,0.034301609780703096,pass
validation,choppy_reversal_winner,max_drawdown_before_hit_abs,2,0.49438672155096025,0.5061748352132894,0.5179629488756186,pass
validation,choppy_reversal_winner,underwater_days_share,2,0.9610494591034291,0.9646521096962197,0.9682547602890104,pass
validation,choppy_reversal_winner,directional_entropy_5state,2,0.9860326870038509,0.9898035296771636,0.9935743723504762,pass
validation,choppy_reversal_winner,trend_line_r2,2,0.5682944880127807,0.5968266750071052,0.6253588620014298,pass
validation,choppy_reversal_winner,top1_positive_gain_share,2,0.018129319929872656,0.020188892317368597,0.022248464704864537,pass
validation,choppy_reversal_winner,top3_positive_gain_share,2,0.05421940881468694,0.060363101873398196,0.06650679493210945,pass
validation,choppy_reversal_winner,time_to_threshold_sessions,2,484.75,500.5,516.25,pass
validation,choppy_reversal_winner,pullback_5pct_count,2,3.0,3.0,3.0,pass
validation,choppy_reversal_winner,realized_volatility_to_hit,2,0.025532288462669788,0.026900600531652344,0.028268912600634903,pass
validation,jump_repricing_winner,path_efficiency,11,0.1564716387973143,0.26722273925062995,0.5059345651520106,pass
validation,jump_repricing_winner,max_drawdown_before_hit_abs,11,0.09686692661976026,0.1363088057901085,0.26356552661182553,pass
