split_bucket,up_threshold,down_threshold,horizon_sessions,touch_side,touch_n,median_time_to_hit,p25_time_to_hit,p75_time_to_hit
train,0.2,-0.15,120,lower,2940,48.0,25.0,83.0
train,0.2,-0.1,20,upper,979,11.0,8.0,15.0
train,0.2,-0.1,20,lower,1269,14.0,10.0,16.0
train,0.2,-0.1,60,upper,2086,22.0,12.0,35.0
train,0.2,-0.1,60,lower,3065,25.0,15.0,39.0
train,0.2,-0.1,120,upper,2638,28.0,14.0,50.75
train,0.2,-0.1,120,lower,3934,31.0,17.0,57.0
train,0.3,-0.2,20,upper,465,12.0,9.0,16.0
train,0.3,-0.2,20,lower,234,15.0,12.0,17.0
train,0.3,-0.2,60,upper,1208,26.0,14.0,39.0
train,0.3,-0.2,60,lower,931,38.0,20.0,49.0
train,0.3,-0.2,120,upper,1680,36.0,19.0,67.25
train,0.3,-0.2,120,lower,1927,62.0,38.0,92.0
train,0.3,-0.15,20,upper,465,12.0,9.0,16.0
train,0.3,-0.15,20,lower,598,15.0,11.0,17.0
train,0.3,-0.15,60,upper,1208,26.0,14.0,39.0
train,0.3,-0.15,60,lower,1857,29.0,17.0,45.0
train,0.3,-0.15,120,upper,1680,36.0,19.0,67.25
train,0.3,-0.15,120,lower,2940,48.0,25.0,83.0
train,0.3,-0.1,20,upper,465,12.0,9.0,16.0
train,0.3,-0.1,20,lower,1269,14.0,10.0,16.0
train,0.3,-0.1,60,upper,1208,26.0,14.0,39.0
train,0.3,-0.1,60,lower,3065,25.0,15.0,39.0
train,0.3,-0.1,120,upper,1680,36.0,19.0,67.25
train,0.3,-0.1,120,lower,3934,31.0,17.0,57.0
train,0.5,-0.2,20,upper,77,15.0,12.0,17.0
train,0.5,-0.2,20,lower,234,15.0,12.0,17.0
train,0.5,-0.2,60,upper,341,30.0,22.0,39.0
train,0.5,-0.2,60,lower,931,38.0,20.0,49.0
train,0.5,-0.2,120,upper,659,56.0,30.0,94.0
train,0.5,-0.2,120,lower,1927,62.0,38.0,92.0
train,0.5,-0.15,20,upper,77,15.0,12.0,17.0
train,0.5,-0.15,20,lower,598,15.0,11.0,17.0
train,0.5,-0.15,60,upper,341,30.0,22.0,39.0
train,0.5,-0.15,60,lower,1857,29.0,17.0,45.0
train,0.5,-0.15,120,upper,659,56.0,30.0,94.0
train,0.5,-0.15,120,lower,2940,48.0,25.0,83.0
train,0.5,-0.1,20,upper,77,15.0,12.0,17.0
train,0.5,-0.1,20,lower,1269,14.0,10.0,16.0
train,0.5,-0.1,60,upper,341,30.0,22.0,39.0
train,0.5,-0.1,60,lower,3065,25.0,15.0,39.0
train,0.5,-0.1,120,upper,659,56.0,30.0,94.0
train,0.5,-0.1,120,lower,3934,31.0,17.0,57.0
validation,0.2,-0.2,20,upper,164,11.0,8.0,16.0
validation,0.2,-0.2,20,lower,17,14.0,12.0,15.0
validation,0.2,-0.2,60,upper,485,29.0,15.0,40.0
validation,0.2,-0.2,60,lower,317,48.0,39.0,53.0
validation,0.2,-0.2,120,upper,705,40.0,22.0,67.0
validation,0.2,-0.2,120,lower,659,62.0,49.0,88.0
validation,0.2,-0.15,20,upper,164,11.0,8.0,16.0
validation,0.2,-0.15,20,lower,89,15.0,12.0,18.0
validation,0.2,-0.15,60,upper,485,29.0,15.0,40.0
validation,0.2,-0.15,60,lower,631,42.0,27.0,51.0
validation,0.2,-0.15,120,upper,705,40.0,22.0,67.0
validation,0.2,-0.15,120,lower,1023,52.0,36.0,79.0
validation,0.2,-0.1,20,upper,164,11.0,8.0,16.0
validation,0.2,-0.1,20,lower,429,14.0,11.0,17.0
validation,0.2,-0.1,60,upper,485,29.0,15.0,40.0
validation,0.2,-0.1,60,lower,1159,28.0,16.0,46.0
validation,0.2,-0.1,120,upper,705,40.0,22.0,67.0
validation,0.2,-0.1,120,lower,1519,41.0,19.0,59.0
validation,0.3,-0.2,20,upper,68,12.5,9.75,16.0
validation,0.3,-0.2,20,lower,17,14.0,12.0,15.0
validation,0.3,-0.2,60,upper,266,35.5,20.0,46.0
validation,0.3,-0.2,60,lower,317,48.0,39.0,53.0
validation,0.3,-0.2,120,upper,388,46.0,28.0,64.0
validation,0.3,-0.2,120,lower,659,62.0,49.0,88.0
validation,0.3,-0.15,20,upper,68,12.5,9.75,16.0
validation,0.3,-0.15,20,lower,89,15.0,12.0,18.0
validation,0.3,-0.15,60,upper,266,35.5,20.0,46.0
validation,0.3,-0.15,60,lower,631,42.0,27.0,51.0
validation,0.3,-0.15,120,upper,388,46.0,28.0,64.0
validation,0.3,-0.15,120,lower,1023,52.0,36.0,79.0
validation,0.3,-0.1,20,upper,68,12.5,9.75,16.0
validation,0.3,-0.1,20,lower,429,14.0,11.0,17.0
validation,0.3,-0.1,60,upper,266,35.5,20.0,46.0
validation,0.3,-0.1,60,lower,1159,28.0,16.0,46.0
validation,0.3,-0.1,120,upper,388,46.0,28.0,64.0
validation,0.3,-0.1,120,lower,1519,41.0,19.0,59.0
validation,0.5,-0.2,20,upper,27,12.0,9.5,14.0
validation,0.5,-0.2,20,lower,17,14.0,12.0,15.0
validation,0.5,-0.2,60,upper,111,36.0,21.5,43.5
validation,0.5,-0.2,60,lower,317,48.0,39.0,53.0
validation,0.5,-0.2,120,upper,169,46.0,32.0,81.0
validation,0.5,-0.2,120,lower,659,62.0,49.0,88.0
validation,0.5,-0.15,20,upper,27,12.0,9.5,14.0
validation,0.5,-0.15,20,lower,89,15.0,12.0,18.0
validation,0.5,-0.15,60,upper,111,36.0,21.5,43.5
validation,0.5,-0.15,60,lower,631,42.0,27.0,51.0
validation,0.5,-0.15,120,upper,169,46.0,32.0,81.0
validation,0.5,-0.15,120,lower,1023,52.0,36.0,79.0
validation,0.5,-0.1,20,upper,27,12.0,9.5,14.0
validation,0.5,-0.1,20,lower,429,14.0,11.0,17.0
validation,0.5,-0.1,60,upper,111,36.0,21.5,43.5
validation,0.5,-0.1,60,lower,1159,28.0,16.0,46.0
validation,0.5,-0.1,120,upper,169,46.0,32.0,81.0
validation,0.5,-0.1,120,lower,1519,41.0,19.0,59.0
