policy_id,cost_scenario_id,terminal_mark_date,open_position_n,open_position_weight,open_position_notional_cny,sell_commission_cny,sell_stamp_tax_cny,sell_transfer_fee_cny,sell_slippage_cny,total_shadow_cost_cny,live_final_NAV,liquidation_adjusted_final_NAV,live_nav_compound_return,liquidation_adjusted_compound_return,live_nav_break_even_slippage_bps,live_nav_break_even_status,liquidation_adjusted_break_even_slippage_bps,liquidation_adjusted_break_even_status,historical_support_claim_allowed,deployment_authorized,source_table_content_hash,run_id,contract_version
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP020,2026-04-30,37,0.893807122557,9703612,2425.903,4851.806,97.03612,19407.224,26781.96912,10856494.3768,10829712.4077,0.0856494376823,0.0829712407703,57.2078183213,root_found,54.5863872649,root_found,False,False,16a8a5bbbfb774271b882022e1e2ef78c689df660bf6c88b899d93abfa6cd239,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP10,SLIP040,2026-04-30,37,0.933388712822,9703612,2425.903,4851.806,97.03612,38814.448,46189.19312,10396110.2879,10349921.0948,0.0396110287918,0.0349921094798,57.2078183213,root_found,54.5863872649,root_found,False,False,c759ae9385571a85cd892a6deacd26978fc8dd52c954c514784083aa5c0c3203,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP15,GROSS,2026-04-30,43,0.958606580328,11415436,0,0,0,0,0,11908363.9047,11908363.9047,0.190836390471,0.190836390471,88.9271490705,root_found,83.7913617834,root_found,False,False,e134b093f5db7a838adf8d93670aefa7a7829458748604b38bf6fb0719c7f3bd,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP15,SLIP000,2026-04-30,43,0.966881647372,11415436,2853.859,5707.718,114.15436,0,8675.73136,11806446.0433,11797770.312,0.180644604334,0.179777031198,88.9271490705,root_found,83.7913617834,root_found,False,False,e1a51e259035b84426d97fdfc58ff6636452b9e2018b8f79942035e3b0343080,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP15,SLIP005,2026-04-30,43,0.975271746371,11415436,2853.859,5707.718,114.15436,5707.718,14383.44936,11704877.1714,11690493.722,0.170487717139,0.169049372203,88.9271490705,root_found,83.7913617834,root_found,False,False,9b99c326ad1afeb63210d7385998944d168e1c0ce27cb96dca74fc24071d8a5c,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP15,SLIP010,2026-04-30,43,0.983808729839,11415436,2853.859,5707.718,114.15436,11415.436,20091.16736,11603308.2994,11583217.1321,0.160330829944,0.158321713208,88.9271490705,root_found,83.7913617834,root_found,False,False,39e9b3263c5e57aa178b464b7854fc56f3b878942bae1af1396457aa48042d7d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP15,SLIP020,2026-04-30,43,1.00133905404,11415436,2853.859,5707.718,114.15436,22830.872,31506.60336,11400170.5555,11368663.9522,0.140017055553,0.136866395217,88.9271490705,root_found,83.7913617834,root_found,False,False,87391c5b2be01bfb0cb8a4bc9b00ff78c144262053eba11c712e3bbdbc7c6975,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP15,SLIP040,2026-04-30,43,1.03834318316,11415436,2853.859,5707.718,114.15436,45661.744,54337.47536,10993895.0677,10939557.5924,0.0993895067723,0.0939557592363,88.9271490705,root_found,83.7913617834,root_found,False,False,1bb0d40f7ebdcbde9b89c481c1aa746b6efaa9d0e961182b7e8ac8d93499d938,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP20,GROSS,2026-04-30,44,0.975271609955,12463626,0,0,0,0,0,12779646.0727,12779646.0727,0.277964607272,0.277964607272,135.905225074,root_found,127.376587279,root_found,False,False,e1626096f2b0167745b4c5d5450672203e2eff8209cb02bfabb005b96b53e93f,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP20,SLIP000,2026-04-30,44,0.982876223658,12463626,3115.9065,6231.813,124.63626,0,9472.35576,12680768.6461,12671296.2904,0.268076864615,0.267129629039,135.905225074,root_found,127.376587279,root_found,False,False,99025125d192842095c622577a3995dfc7050b90f34bb2fd2b6a4570a584848d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP20,SLIP005,2026-04-30,44,0.990580598852,12463626,3115.9065,6231.813,124.63626,6231.813,15704.16876,12582142.2451,12566438.0764,0.258214224511,0.256643807635,135.905225074,root_found,127.376587279,root_found,False,False,4c71e17e14910936680fcdec598049ff70bf26e93e447ece68fb9af290a60b00,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP20,SLIP010,2026-04-30,44,0.998406711353,12463626,3115.9065,6231.813,124.63626,12463.626,21935.98176,12483515.8441,12461579.8623,0.248351584407,0.246157986231,135.905225074,root_found,127.376587279,root_found,False,False,6cdb15d4b0b5d6315adf1baffbcd6175a8ab3f10ba5d217ca6a7b00035374a99,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP20,SLIP020,2026-04-30,44,1.01443587504,12463626,3115.9065,6231.813,124.63626,24927.252,34399.60776,12286263.042,12251863.4342,0.2286263042,0.225186343424,135.905225074,root_found,127.376587279,root_found,False,False,41e20f4bdb5597b379af3ea3cc6b234a94482802350382af9432094abdc2809d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOP20,SLIP040,2026-04-30,44,1.04808949099,12463626,3115.9065,6231.813,124.63626,49854.504,59326.85976,11891757.4379,11832430.5781,0.189175743786,0.18324305781,135.905225074,root_found,127.376587279,root_found,False,False,1b90445fcadc104631b56106f6f92cc0b7ee8406a2ad33e6423815ae5c627d0d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOPNONE,GROSS,2026-04-30,44,0.977951145601,13616138,0,0,0,0,0,13923127,13923127,0.3923127,0.3923127,199.686285345,root_found,185.936495025,root_found,False,False,ab6cc3200e0e97b7f77d2d62e02d29e1bf10e3dc433c9a5c83148431700b677c,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOPNONE,SLIP000,2026-04-30,44,0.984743381806,13616138,3404.0345,6808.069,136.16138,0,10348.26488,13827092.6737,13816744.4088,0.382709267366,0.381674440878,199.686285345,root_found,185.936495025,root_found,False,False,0c72db365668c2267e7f1c10a32bd204e444c3949fda8f7cdbd71a6988e0149f,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOPNONE,SLIP005,2026-04-30,44,0.991615700098,13616138,3404.0345,6808.069,136.16138,6808.069,17156.33388,13731265.0442,13714108.7103,0.373126504416,0.371410871028,199.686285345,root_found,185.936495025,root_found,False,False,3f364e247ca6a8ce80a9cf73971cc2533b1973ddab2c91a7121e5a0af238a8a3,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOPNONE,SLIP010,2026-04-30,44,0.998584613454,13616138,3404.0345,6808.069,136.16138,13616.138,23964.40288,13635437.4147,13611473.0118,0.363543741466,0.361147301178,199.686285345,root_found,185.936495025,root_found,False,False,5fadb14d16b909e5d5b063312ad3e4dd29e67bbc596aa03d43ebc74c96bac07d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOPNONE,SLIP020,2026-04-30,44,1.01282048774,13616138,3404.0345,6808.069,136.16138,27232.276,37580.54088,13443782.1557,13406201.6148,0.344378215566,0.340620161478,199.686285345,root_found,185.936495025,root_found,False,False,10b4d8bcead381087236adfeda50e82c8f5622b3599c3f64acf4004f1658d03d,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L000__STOPNONE,SLIP040,2026-04-30,44,1.04254565821,13616138,3404.0345,6808.069,136.16138,54464.552,64812.81688,13060471.6377,12995658.8208,0.306047163766,0.299565882078,199.686285345,root_found,185.936495025,root_found,False,False,a0bb84266203f93ca6fb1650344622eee44228ca60d3c962ba9ac7b96216e77f,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP05,GROSS,2026-04-30,17,0.426302549338,4299631,0,0,0,0,0,10085867.4354,10085867.4354,0.00858674353991,0.00858674353991,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,f78e5c6bf0a0d02e26a193422ac1082379acd008bf43a570cc34dd46cc91a675,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP05,SLIP000,2026-04-30,17,0.432185700609,4299631,1074.90775,2149.8155,42.99631,0,3267.71956,9948573.01836,9945305.2988,-0.00514269816418,-0.00546947012018,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,5e05552c10af35a0eb7731daecefaec2c0db1d0e56e764b3264586c2935e59c4,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP05,SLIP005,2026-04-30,17,0.438141694052,4299631,1074.90775,2149.8155,42.99631,2149.8155,5417.53506,9813334.49514,9807916.96008,-0.0186665504859,-0.0192083039919,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,630320e351cc02bdcf0bf71c0f373d1180de8bebe5da886f8f46dd4a8b72a43c,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP05,SLIP010,2026-04-30,17,0.444264141673,4299631,1074.90775,2149.8155,42.99631,4299.631,7567.35056,9678095.97192,9670528.62136,-0.0321904028077,-0.0329471378637,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,718f0dbb7165103959aa709916c8b99379fd18ac6d91f42bfbd96ab1bf60d688,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP05,SLIP020,2026-04-30,17,0.457037113647,4299631,1074.90775,2149.8155,42.99631,8599.262,11866.98156,9407618.92549,9395751.94393,-0.0592381074513,-0.0604248056073,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,94cbe11978d3eea59dbb4b63c50175b8a83162a177bae3dd0371ae9127082220,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP05,SLIP040,2026-04-30,17,0.484920889778,4299631,1074.90775,2149.8155,42.99631,17198.524,20466.24356,8866664.83262,8846198.58906,-0.113333516738,-0.115380141094,0,not_positive_at_zero_slippage,0,not_positive_at_zero_slippage,False,False,c214022dec6a4830873c83a8577185a0f6090b686381c86ba8aa50ee2f82ead8,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,GROSS,2026-04-30,37,0.84767091272,9667485,0,0,0,0,0,11404761.9836,11404761.9836,0.14047619836,0.14047619836,55.9773577297,root_found,53.4154254965,root_found,False,False,5efb38b2c4632fe39a564e3186177edf04598812657a41f04268ae48a7d3333e,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,SLIP000,2026-04-30,37,0.856375658754,9667485,2416.87125,4833.7425,96.67485,0,7347.2886,11288836.7403,11281489.4517,0.128883674026,0.128148945166,55.9773577297,root_found,53.4154254965,root_found,False,False,73ace255e4de9e04a6928b7d00557e0f5577be23a8c68f46d1f70a533177c53b,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,SLIP005,2026-04-30,37,0.865198779509,9667485,2416.87125,4833.7425,96.67485,4833.7425,12181.0311,11173715.4848,11161534.4537,0.117371548476,0.116153445366,55.9773577297,root_found,53.4154254965,root_found,False,False,872eec3dff733a6a1b3bc7ceaa83dacdf8a75ae41ef8a21b95c2006b7ca3e906,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,SLIP010,2026-04-30,37,0.874205599696,9667485,2416.87125,4833.7425,96.67485,9667.485,17014.7736,11058594.2293,11041579.4557,0.105859422927,0.104157945567,55.9773577297,root_found,53.4154254965,root_found,False,False,f05e17c345671c52bd83816d3b07d5ee22058285508914f6e1bc5b9da2e5e29a,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,SLIP020,2026-04-30,37,0.892793774298,9667485,2416.87125,4833.7425,96.67485,19334.97,26682.2586,10828351.7183,10801669.4597,0.0828351718288,0.0801669459688,55.9773577297,root_found,53.4154254965,root_found,False,False,f14b8395369598b60eeddbb7797dc60c38de3e6b12189b8c280da8726fd11f2a,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP10,SLIP040,2026-04-30,37,0.93244688451,9667485,2416.87125,4833.7425,96.67485,38669.94,46017.2286,10367866.6963,10321849.4677,0.0367866696321,0.0321849467721,55.9773577297,root_found,53.4154254965,root_found,False,False,759c983b4e3c60d6f765b0d14d36532259e07f4dfb8b58b79332c9a3ba53b75a,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,GROSS,2026-04-30,43,0.958877647067,11393773,0,0,0,0,0,11882405.4715,11882405.4715,0.188240547149,0.188240547149,87.5317480713,root_found,82.4855103601,root_found,False,False,182c89bcc6cf54502c8232efdfa32dbcedb183b31142ac260e2e8e579ab50db9,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,SLIP000,2026-04-30,43,0.967179537919,11393773,2848.44325,5696.8865,113.93773,0,8659.26748,11780411.5506,11771752.2831,0.178041155059,0.177175228311,87.5317480713,root_found,82.4855103601,root_found,False,False,752cac09771b282e10c23be8d421b15d8b67340bd7d716dfe8bb2df2d9f07be7,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,SLIP005,2026-04-30,43,0.975601960102,11393773,2848.44325,5696.8865,113.93773,5696.8865,14356.15398,11678710.6484,11664354.4944,0.167871064836,0.166435449438,87.5317480713,root_found,82.4855103601,root_found,False,False,6b411694036e41e3e370133e748ce679accaab8f4350f2163e2c43b8f5208d13,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,SLIP010,2026-04-30,43,0.98417235969,11393773,2848.44325,5696.8865,113.93773,11393.773,20053.04048,11577009.7461,11556956.7056,0.157700974612,0.155695670564,87.5317480713,root_found,82.4855103601,root_found,False,False,fa6c5204c92e01d462b75e9922373fb426158a6ca88f4cb5f7c28863c494c1d1,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,SLIP020,2026-04-30,43,1.00177296936,11393773,2848.44325,5696.8865,113.93773,22787.546,31446.81348,11373607.9417,11342161.1282,0.137360794165,0.134216112817,87.5317480713,root_found,82.4855103601,root_found,False,False,764593dbdb16c153d0c4e88ab7bc4e65b204dde8881dd4db58cb0e62dc1df133,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP15,SLIP040,2026-04-30,43,1.0389328244,11393773,2848.44325,5696.8865,113.93773,45575.092,54234.35948,10966804.3327,10912569.9732,0.0966804332708,0.0912569973228,87.5317480713,root_found,82.4855103601,root_found,False,False,5fa85a201fadd06b041c5c3016909624dbe1866c46dd99710bd6781926a74fca,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,GROSS,2026-04-30,44,0.97532042982,12304175,0,0,0,0,0,12615520.6267,12615520.6267,0.261552062666,0.261552062666,127.789912305,root_found,119.828986517,root_found,False,False,adf8f72b5a4ebbdcc160bb993ff8a7b65cd2a9e6a9e28372581d93aa58a01c00,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,SLIP000,2026-04-30,44,0.983010546093,12304175,3076.04375,6152.0875,123.04175,0,9351.173,12516829.0909,12507477.9179,0.25168290909,0.25074779179,127.789912305,root_found,119.828986517,root_found,False,False,9b81e7b7911a6ca372ba96d1cf42e60aecabb208c6320ec674d83326f84ce6b1,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,SLIP005,2026-04-30,44,0.990805639162,12304175,3076.04375,6152.0875,123.04175,6152.0875,15503.2605,12418353.8261,12402850.5656,0.241835382608,0.240285056558,127.789912305,root_found,119.828986517,root_found,False,False,412a45fc6e0c8c9df99c381130511d217bcff761bcac244d79d201d788fee135,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,SLIP010,2026-04-30,44,0.998725347722,12304175,3076.04375,6152.0875,123.04175,12304.175,21655.348,12319878.5613,12298223.2133,0.231987856127,0.229822321327,127.789912305,root_found,119.828986517,root_found,False,False,82c0b2dd3c4d10e7cb18b2d6cce81fe9d322ba2c327c9aeb753e26194dfd1d9e,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,SLIP020,2026-04-30,44,1.01495075842,12304175,3076.04375,6152.0875,123.04175,24608.35,33959.523,12122928.0316,12088968.5086,0.212292803164,0.208896850864,127.789912305,root_found,119.828986517,root_found,False,False,ad0bc9b3462fff35ebb229fb9db4c69494bc426b0f59e11673af2c36f6895197,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOP20,SLIP040,2026-04-30,44,1.04903629508,12304175,3076.04375,6152.0875,123.04175,49216.7,58567.873,11729026.9724,11670459.0994,0.172902697239,0.167045909939,127.789912305,root_found,119.828986517,root_found,False,False,585ad488bee2042a11421d389a044fea159be22bf2f26dab56ec390f01156f91,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,GROSS,2026-04-30,44,0.978781483821,13551859,0,0,0,0,0,13845643,13845643,0.3845643,0.3845643,195.770625931,root_found,182.332326982,root_found,False,False,cc5fa7252313b0943e22954a6a617f52027156eb39faeceec39f50370e8ed3c4,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,SLIP000,2026-04-30,44,0.985608481941,13551859,3387.96475,6775.9295,135.51859,0,10299.41284,13749738.6115,13739439.1987,0.374973861154,0.37394391987,195.770625931,root_found,182.332326982,root_found,False,False,4803e911d6739bb1b0c71d824697ae40e4ea58774c7db306b8db14b4138f7985,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,SLIP005,2026-04-30,44,0.992521520188,13551859,3387.96475,6775.9295,135.51859,6775.9295,17075.34234,13653969.9385,13636894.5962,0.365396993854,0.36368945962,195.770625931,root_found,182.332326982,root_found,False,False,e42f2c73ea41dd872f74e981c3711ac552be11f0c13da23ca7332af8118c8471,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,SLIP010,2026-04-30,44,0.999532219251,13551859,3387.96475,6775.9295,135.51859,13551.859,23851.27184,13558201.2655,13534349.9937,0.355820126554,0.35343499937,195.770625931,root_found,182.332326982,root_found,False,False,a87731b4cbfbbab13b61b6bc8d9eecce28ebef627d6862b10321fcf891491f17,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L050__STOPNONE,SLIP020,2026-04-30,44,1.0138549964,13551859,3387.96475,6775.9295,135.51859,27103.718,37403.13084,13366663.9195,13329260.7887,0.336666391954,0.33292607887,195.770625931,root_found,182.332326982,root_found,False,False,b5d2f1f1cf781a4dfa953493b7aeceae11deb88a00f0312c14f34e573b3064c6,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
