policy_id,aggregation_scope,stop_trigger_n,stop_fill_n,stop_blocked_n,mean_trigger_to_fill_delay_sessions,mean_stop_overshoot,stopped_capital_weight,stop_exit_vs_hold_delta_cny,stop_avoided_loss_cny,stop_missed_rebound_cny,stop_attribution_missing_n,source_table_content_hash,ex_post_counterfactual_attribution_only,status,missing_reason,run_id,contract_version
B0_P4_RAW_RANK__D10__L100__STOP05,non_event_posthoc,365,365,0,0.00547945205479,0.003830917931,0.493725051566,-2267227.60667,2505341.03287,4772568.63954,0,3988f12d332e52e1260bd7e8bef0b90a697ae5170dca925ec78a0a485ff4bfce,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP10,all,256,256,0,0.0078125,0.00492598229878,0.271609496131,-2010520.68141,1595065.51673,3605586.19814,0,526464277f0264a06781a5192dda4c0a47a018c114b688c5430574da46a8836f,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP10,event_posthoc,52,52,0,0,0.00181771928064,0.240895523448,-458622.707779,371648.912118,830271.619897,0,b1a85f2048b0f1284a0789ad678702960e941d8a5a7e05542fa877928c994db0,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP10,non_event_posthoc,204,204,0,0.00980392156863,0.00571828463674,0.281207612594,-1551897.97363,1223416.60461,2775314.57824,0,3dc6c39e86523fb95277cd04a2064416c4db9bf0123ba612b1e935cb4badfb1f,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP15,all,145,145,0,0.00689655172414,0.00595784300255,0.160429430375,-1589039.59022,731132.87652,2320172.46674,0,d29db301f84bed7f741d5ba2e704b758c2fda0b3f5a2e175155dbef98da60a4a,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP15,event_posthoc,25,25,0,0,0.00157810960686,0.11903058,-305249.661208,164031.29562,469280.956827,0,85489967097b03b6829dc31ad081d7430681beefca2404862ef5307a48076310,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP15,non_event_posthoc,120,120,0,0.00833333333333,0.00687028745998,0.173366571117,-1283789.92902,567101.5809,1850891.50992,0,d1f5f7a331ec1d4275fc5d3b6d73e8192bf0a8f2bae0db5b3361e886be323167,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP20,all,73,73,0,0.041095890411,0.0111914252291,0.0875710012067,-940483.736441,289618.680816,1230102.41726,0,47fbb23bfbe9a1adf9df63b5fdaec77bdf1bde9852247107da732c7c3a5464b6,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP20,event_posthoc,6,6,0,0,0.00946601192052,0.03160194,-36093.9801646,76224.83554,112318.815705,0,1da42052dd63f0325f1f31282492aef1a4732017af096150e5bcf4519557d95f,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOP20,non_event_posthoc,67,67,0,0.044776119403,0.0113459398538,0.105061332834,-904389.756276,213393.845276,1117783.60155,0,e519c290ae73c7a2a3789c5035d9ad7e39c98d8e29fa984a944f652f5eb47985,True,evaluable,,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOPNONE,all,0,0,0,,,0,,,,0,56a1b863bc54842aa8d82794c970cea8818cb23202373c61804f8be5d3a97525,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
B0_P4_RAW_RANK__D10__L100__STOPNONE,event_posthoc,0,0,0,,,0,,,,0,f5880c6983fa49cda52d42c5196aded9fb7367a45e6e0a7c76be803e5e9049cd,True,not_applicable_no_stop,stop_threshold_none,20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6,20B_P4_PORTSENS_v6
