split,grouping_scheme,outcome_family,evaluated_row_count,evaluated_bucket_count,sufficient_bucket_count,thin_or_sparse_bucket_count,weighted_abs_lift_vs_parent,max_positive_lift_vs_parent,max_negative_lift_vs_parent,direction_consistent_bucket_count,direction_inconsistent_bucket_count,price_bucket_coverage_rate,interpretation_status
train,kth_offset_wait_bucket,seed_anchor_big_winner,4560,71,6,65,0.08075256926480517,0.5522598870056497,-0.2554347826086957,35,36,1.0,descriptive_similar_to_fresh_count
train,kth_offset_wait_bucket,seed_path_good_bad,4694,71,6,65,0.30109561048000366,0.8358862144420132,-1.9375,45,26,1.0,descriptive_similar_to_fresh_count
train,kth_offset_wait_bucket,fresh_anchor_big_winner,4597,71,6,65,0.04691119984833438,0.2872670807453416,-0.14130434782608695,33,38,1.0,descriptive_similar_to_fresh_count
train,kth_offset_wait_bucket,fresh_path_good_bad,4748,71,6,65,0.05810574933838823,1.2486772486772488,-0.8928571428571428,32,39,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling,seed_anchor_big_winner,13722,285,25,260,0.07736442000477137,0.8298147350280052,-0.17018526497199482,116,169,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling,seed_path_good_bad,14124,285,25,260,0.2883748700007115,0.8300708038317368,-1.1699291961682632,178,107,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling,fresh_anchor_big_winner,13791,285,25,260,0.05822147394554026,0.8631716336741353,-0.1368283663258647,109,176,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling,fresh_path_good_bad,14244,285,25,260,0.07974252804710384,1.2820134793597304,-0.7179865206402696,147,138,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling_wait_bucket,seed_anchor_big_winner,13722,770,10,760,0.07589842941202635,0.9157894736842105,-0.5212765957446809,309,461,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling_wait_bucket,seed_path_good_bad,14124,774,10,764,0.12040473314689115,1.3116438356164384,-1.9547038327526132,474,300,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling_wait_bucket,fresh_anchor_big_winner,13791,767,10,757,0.06922789680683207,0.9240121580547113,-0.24770642201834864,274,493,1.0,descriptive_similar_to_fresh_count
train,family_set_pooling_wait_bucket,fresh_path_good_bad,14244,773,10,763,0.13529486444034242,1.4513274336283186,-0.7767857142857142,375,398,1.0,descriptive_similar_to_fresh_count
validation,checkpoint_fresh_count,seed_anchor_big_winner,10995,20,20,0,0.015514927720463294,0.030662558568501516,-0.026791238938712828,10,10,1.0,descriptive_similar_to_fresh_count
validation,checkpoint_fresh_count,seed_path_good_bad,11080,20,20,0,0.4207452527727457,0.7357084608477341,-0.6213504800340517,13,7,1.0,descriptive_similar_to_fresh_count
validation,checkpoint_fresh_count,fresh_anchor_big_winner,5272,15,15,0,0.00900601376005304,0.009784119186892024,-0.02123558475315175,8,7,1.0,descriptive_similar_to_fresh_count
validation,checkpoint_fresh_count,fresh_path_good_bad,5295,15,15,0,0.0679290977366861,0.09478792235801586,-0.15767942161876214,6,9,1.0,descriptive_similar_to_fresh_count
validation,checkpoint_latest_kth_offset,seed_anchor_big_winner,10995,42,14,28,0.015629329218849942,0.11525194378819642,-0.034646430195543435,28,14,1.0,descriptive_similar_to_fresh_count
validation,checkpoint_latest_kth_offset,seed_path_good_bad,11080,42,14,28,0.41304127187895057,1.2124821593485016,-0.6213504800340517,35,7,1.0,descriptive_similar_to_fresh_count
validation,checkpoint_latest_kth_offset,fresh_anchor_big_winner,5272,37,9,28,0.01090645926215886,0.060815047021943576,-0.03918495297805643,23,14,1.0,descriptive_more_informative_than_fresh_count
validation,checkpoint_latest_kth_offset,fresh_path_good_bad,5295,37,9,28,0.10468956063163479,0.5854472630173566,-0.4192708333333333,23,14,1.0,descriptive_more_informative_than_fresh_count
validation,checkpoint_latest_kth_offset_wait_bucket,seed_anchor_big_winner,10995,173,10,163,0.014103440294996439,0.921875,-0.15384615384615385,69,104,0.4675890695261155,descriptive_similar_to_fresh_count
validation,checkpoint_latest_kth_offset_wait_bucket,seed_path_good_bad,11080,173,10,163,0.14841952314182927,1.4054726368159205,-1.4834123222748816,102,71,0.4675890695261155,descriptive_weaker_than_fresh_count
validation,checkpoint_latest_kth_offset_wait_bucket,fresh_anchor_big_winner,5272,168,5,163,0.019008045758789997,0.9375,-0.1,58,110,0.4675890695261155,descriptive_more_informative_than_fresh_count
validation,checkpoint_latest_kth_offset_wait_bucket,fresh_path_good_bad,5295,161,5,156,0.10254518807994431,1.6923076923076923,-0.9230769230769231,80,81,0.4675890695261155,descriptive_more_informative_than_fresh_count
validation,kth_offset,seed_anchor_big_winner,2465,15,5,10,0.02149155779987423,0.10677494548462292,-0.03078530664737561,11,4,1.0,descriptive_similar_to_fresh_count
validation,kth_offset,seed_path_good_bad,2486,15,5,10,0.221381273593663,0.7746690518783543,-0.03318874957641471,14,1,1.0,descriptive_similar_to_fresh_count
validation,kth_offset,fresh_anchor_big_winner,2464,15,5,10,0.011197609208972845,0.04054987565625864,-0.029553779553779552,7,8,1.0,descriptive_similar_to_fresh_count
validation,kth_offset,fresh_path_good_bad,2477,15,5,10,0.09032896755927648,0.636099736624565,-0.5095585266807571,9,6,1.0,descriptive_similar_to_fresh_count
validation,kth_offset_wait_bucket,seed_anchor_big_winner,2473,68,2,66,0.028980640715580895,0.9173553719008265,-0.14634146341463414,26,42,0.9993650793650793,descriptive_similar_to_fresh_count
validation,kth_offset_wait_bucket,seed_path_good_bad,2494,68,2,66,0.2532145774051078,0.9008810572687225,-1.5147058823529411,39,29,0.9993650793650793,descriptive_similar_to_fresh_count
validation,kth_offset_wait_bucket,fresh_anchor_big_winner,2464,67,2,65,0.018743351702157813,0.9411764705882353,-0.08888888888888889,23,44,0.9993650793650793,descriptive_similar_to_fresh_count
validation,kth_offset_wait_bucket,fresh_path_good_bad,2477,65,2,63,0.11254045653425898,1.5555555555555556,-0.8636363636363635,32,33,0.9993650793650793,descriptive_similar_to_fresh_count
validation,family_set_pooling,seed_anchor_big_winner,7434,258,8,250,0.033669092991126935,0.9347319347319347,-0.06526806526806526,93,165,1.0,descriptive_similar_to_fresh_count
validation,family_set_pooling,seed_path_good_bad,7497,258,8,250,0.27659268835739437,0.8676923076923078,-1.1323076923076922,161,97,1.0,descriptive_similar_to_fresh_count
validation,family_set_pooling,fresh_anchor_big_winner,7392,258,8,250,0.02144297801765331,0.9448051948051948,-0.05519480519480519,77,181,1.0,descriptive_similar_to_fresh_count
validation,family_set_pooling,fresh_path_good_bad,7431,258,8,250,0.16568036214426934,1.2551473556721842,-0.744852644327816,114,144,1.0,descriptive_similar_to_fresh_count
validation,family_set_pooling_wait_bucket,seed_anchor_big_winner,7434,629,4,625,0.04231555608661146,0.9177820267686424,-0.3023255813953488,170,459,0.9993650793650793,descriptive_similar_to_fresh_count
validation,family_set_pooling_wait_bucket,seed_path_good_bad,7497,631,4,627,0.1596746826611467,1.2312138728323698,-1.9673469387755103,398,233,0.9993650793650793,descriptive_similar_to_fresh_count
validation,family_set_pooling_wait_bucket,fresh_anchor_big_winner,7392,627,4,623,0.03471697371454075,0.9430604982206405,-0.10416666666666667,154,473,0.9993650793650793,descriptive_similar_to_fresh_count
validation,family_set_pooling_wait_bucket,fresh_path_good_bad,7431,623,4,619,0.2098182991325339,1.3523131672597866,-0.9217877094972067,283,340,0.9993650793650793,descriptive_similar_to_fresh_count
robustness,checkpoint_fresh_count,seed_anchor_big_winner,10460,20,20,0,0.02340958362733019,0.05865302469386925,-0.026900004378731038,10,10,1.0,descriptive_similar_to_fresh_count
robustness,checkpoint_fresh_count,seed_path_good_bad,10615,20,20,0,0.42756362198641307,0.6878130165429746,-0.7305437797665777,13,7,1.0,descriptive_similar_to_fresh_count
robustness,checkpoint_fresh_count,fresh_anchor_big_winner,4868,15,15,0,0.008780545480228635,0.009888551699029718,-0.022941882303839728,8,7,1.0,descriptive_similar_to_fresh_count
robustness,checkpoint_fresh_count,fresh_path_good_bad,4940,15,15,0,0.05662353790420693,0.06933815155952006,-0.11470749570064631,7,8,1.0,descriptive_similar_to_fresh_count
robustness,checkpoint_latest_kth_offset,seed_anchor_big_winner,10460,42,15,27,0.024466144357636666,0.07723721171777258,-0.09560229445506692,26,16,1.0,descriptive_similar_to_fresh_count
robustness,checkpoint_latest_kth_offset,seed_path_good_bad,10615,42,15,27,0.42156716614944906,1.0003364511136532,-0.7305437797665777,35,7,1.0,descriptive_similar_to_fresh_count
robustness,checkpoint_latest_kth_offset,fresh_anchor_big_winner,4868,37,10,27,0.013054028653397809,0.10126397666504619,-0.09440993788819876,20,17,1.0,descriptive_more_informative_than_fresh_count
robustness,checkpoint_latest_kth_offset,fresh_path_good_bad,4940,37,10,27,0.10147901950092596,0.7402242275088871,-0.2355959718247853,27,10,1.0,descriptive_more_informative_than_fresh_count
robustness,checkpoint_latest_kth_offset_wait_bucket,seed_anchor_big_winner,10460,168,10,158,0.021822738814233657,0.8823529411764706,-0.15789473684210525,92,76,0.47473932055163137,descriptive_similar_to_fresh_count
robustness,checkpoint_latest_kth_offset_wait_bucket,seed_path_good_bad,10615,170,10,160,0.14583024317602547,1.176079734219269,-1.75,105,65,0.47473932055163137,descriptive_weaker_than_fresh_count
robustness,checkpoint_latest_kth_offset_wait_bucket,fresh_anchor_big_winner,4868,163,5,158,0.029513560496513894,0.9361702127659575,-0.17647058823529413,81,82,0.47473932055163137,descriptive_more_informative_than_fresh_count
robustness,checkpoint_latest_kth_offset_wait_bucket,fresh_path_good_bad,4940,165,5,160,0.13476730571516085,1.43801652892562,-1.25,71,94,0.47473932055163137,descriptive_more_informative_than_fresh_count
robustness,kth_offset,seed_anchor_big_winner,2659,15,7,8,0.015325454249113211,0.04445826952526799,-0.11179173047473201,8,7,1.0,descriptive_similar_to_fresh_count
robustness,kth_offset,seed_path_good_bad,2707,15,7,8,0.1543031853582706,0.5656327143930451,-0.03798901598924881,13,2,1.0,descriptive_similar_to_fresh_count
robustness,kth_offset,fresh_anchor_big_winner,2506,15,7,8,0.01573239389073566,0.09939109101120273,-0.08579409417398244,7,8,1.0,descriptive_similar_to_fresh_count
robustness,kth_offset,fresh_path_good_bad,2546,15,7,8,0.04706672944452091,0.29486028504096057,-0.24799685781618225,8,7,1.0,descriptive_similar_to_fresh_count
robustness,kth_offset_wait_bucket,seed_anchor_big_winner,2664,68,2,66,0.04021117794998516,0.8823529411764706,-0.15625,36,32,0.9980566352026652,descriptive_similar_to_fresh_count
robustness,kth_offset_wait_bucket,seed_path_good_bad,2712,68,2,66,0.22225462428769763,0.7464788732394366,-1.6363636363636365,42,26,0.9980566352026652,descriptive_similar_to_fresh_count
robustness,kth_offset_wait_bucket,fresh_anchor_big_winner,2506,68,2,66,0.020064945332477997,0.9444444444444444,-0.18518518518518517,34,34,0.9980566352026652,descriptive_similar_to_fresh_count
robustness,kth_offset_wait_bucket,fresh_path_good_bad,2546,68,2,66,0.1263142377565629,1.298780487804878,-1.103448275862069,29,39,0.9980566352026652,descriptive_similar_to_fresh_count
robustness,family_set_pooling,seed_anchor_big_winner,8016,257,10,247,0.05081892111641956,0.888208269525268,-0.11179173047473201,100,157,1.0,descriptive_similar_to_fresh_count
robustness,family_set_pooling,seed_path_good_bad,8160,257,10,247,0.24076177428146334,0.7084898572501879,-1.2915101427498121,163,94,1.0,descriptive_similar_to_fresh_count
robustness,family_set_pooling,fresh_anchor_big_winner,7518,257,10,247,0.03883502154021621,0.9142059058260176,-0.08579409417398244,97,160,1.0,descriptive_similar_to_fresh_count
robustness,family_set_pooling,fresh_path_good_bad,7638,257,10,247,0.13408450779549969,1.1520031421838177,-0.8479968578161823,127,130,1.0,descriptive_similar_to_fresh_count
robustness,family_set_pooling_wait_bucket,seed_anchor_big_winner,8016,624,9,615,0.06314553770150065,0.9057377049180328,-0.3333333333333333,203,421,0.9980566352026652,descriptive_similar_to_fresh_count
robustness,family_set_pooling_wait_bucket,seed_path_good_bad,8160,626,9,617,0.14466502880461582,1.2340425531914894,-1.6614035087719299,408,218,0.9980566352026652,descriptive_similar_to_fresh_count
robustness,family_set_pooling_wait_bucket,fresh_anchor_big_winner,7518,618,9,609,0.05497231952332836,0.9161807580174928,-0.11851851851851852,189,429,0.9980566352026652,descriptive_similar_to_fresh_count
robustness,family_set_pooling_wait_bucket,fresh_path_good_bad,7638,618,9,609,0.18620923644059545,1.8837209302325582,-0.9353448275862069,298,320,0.9980566352026652,descriptive_similar_to_fresh_count
all,checkpoint_fresh_count,seed_anchor_big_winner,42125,20,20,0,0.02553471457880231,0.06713037964946468,-0.036967788713294036,9,11,1.0,descriptive_similar_to_fresh_count
all,checkpoint_fresh_count,seed_path_good_bad,43045,20,20,0,0.42525045948599716,0.7347974747808299,-0.6315825091925014,13,7,1.0,descriptive_similar_to_fresh_count
all,checkpoint_fresh_count,fresh_anchor_big_winner,19577,15,15,0,0.015355178887696847,0.019428171392758084,-0.03131884475148723,5,10,1.0,descriptive_similar_to_fresh_count
all,checkpoint_fresh_count,fresh_path_good_bad,20018,15,15,0,0.06235179887808464,0.09196456487069476,-0.16384469751482156,6,9,1.0,descriptive_similar_to_fresh_count
all,checkpoint_latest_kth_offset,seed_anchor_big_winner,42125,42,33,9,0.02350387869929294,0.10724035608308606,-0.08418821534548537,26,16,1.0,descriptive_similar_to_fresh_count
all,checkpoint_latest_kth_offset,seed_path_good_bad,43045,42,33,9,0.4179222523476764,1.0625620879225663,-0.6315825091925014,36,6,1.0,descriptive_similar_to_fresh_count
all,checkpoint_latest_kth_offset,fresh_anchor_big_winner,19577,37,28,9,0.011927371354649665,0.05139207613919197,-0.06069653296651765,14,23,1.0,descriptive_weaker_than_fresh_count
all,checkpoint_latest_kth_offset,fresh_path_good_bad,20018,37,28,9,0.09511207068034713,0.3780035259096558,-0.21520217589036494,26,11,1.0,descriptive_more_informative_than_fresh_count
all,checkpoint_latest_kth_offset_wait_bucket,seed_anchor_big_winner,42125,184,41,143,0.02473246415823052,0.6071428571428572,-0.20481927710843373,96,88,0.46171044260656185,descriptive_similar_to_fresh_count
all,checkpoint_latest_kth_offset_wait_bucket,seed_path_good_bad,43045,184,41,143,0.16028633217518243,1.2610652663165793,-1.4362089914945322,104,80,0.46171044260656185,descriptive_weaker_than_fresh_count
all,checkpoint_latest_kth_offset_wait_bucket,fresh_anchor_big_winner,19577,179,36,143,0.025711039439299147,0.40909090909090906,-0.13595166163141995,78,101,0.46171044260656185,descriptive_more_informative_than_fresh_count
all,checkpoint_latest_kth_offset_wait_bucket,fresh_path_good_bad,20018,172,36,136,0.06834267851482446,1.3602941176470589,-0.8714285714285714,79,93,0.46171044260656185,descriptive_similar_to_fresh_count
all,kth_offset,seed_anchor_big_winner,9673,15,12,3,0.029350502161419146,0.09281237281237281,-0.04306565032117082,8,7,1.0,descriptive_similar_to_fresh_count
all,kth_offset,seed_path_good_bad,9876,15,12,3,0.18789556478070524,0.6136013098260683,-0.014978048400508426,14,1,1.0,descriptive_similar_to_fresh_count
all,kth_offset,fresh_anchor_big_winner,9567,15,12,3,0.01931657930657313,0.03080026953315762,-0.050711317279585354,6,9,1.0,descriptive_similar_to_fresh_count
all,kth_offset,fresh_path_good_bad,9771,15,12,3,0.04385148170664245,0.28849618528452503,-0.36523100308541,10,5,1.0,descriptive_similar_to_fresh_count
all,kth_offset_wait_bucket,seed_anchor_big_winner,9697,73,14,59,0.05440214089727519,0.6071428571428572,-0.20215633423180593,37,36,0.9992684116403837,descriptive_similar_to_fresh_count
all,kth_offset_wait_bucket,seed_path_good_bad,9900,73,14,59,0.2652534438579312,0.800203873598369,-1.4750479846449136,43,30,0.9992684116403837,descriptive_similar_to_fresh_count
all,kth_offset_wait_bucket,fresh_anchor_big_winner,9567,73,14,59,0.026310214222880345,0.41379310344827586,-0.1174871639987919,32,41,0.9992684116403837,descriptive_similar_to_fresh_count
all,kth_offset_wait_bucket,fresh_path_good_bad,9771,71,14,57,0.05278801152626845,1.272,-1.0471698113207548,33,38,0.9992684116403837,descriptive_similar_to_fresh_count
all,family_set_pooling,seed_anchor_big_winner,29172,297,43,254,0.05020200457606191,0.8728123728123728,-0.1271876271876272,134,163,1.0,descriptive_similar_to_fresh_count
all,family_set_pooling,seed_path_good_bad,29781,297,43,254,0.2531731240600103,0.807631160572337,-1.192368839427663,198,99,1.0,descriptive_similar_to_fresh_count
all,family_set_pooling,fresh_anchor_big_winner,28701,297,43,254,0.03444632173109581,0.8975645447893802,-0.10243545521061984,122,175,1.0,descriptive_similar_to_fresh_count
all,family_set_pooling,fresh_path_good_bad,29313,297,43,254,0.09182538864801831,1.2413263739637703,-0.7586736260362297,136,161,1.0,descriptive_similar_to_fresh_count
all,family_set_pooling_wait_bucket,seed_anchor_big_winner,29172,898,40,858,0.05013056617269392,0.9190556492411467,-0.40930232558139534,377,521,0.9992684116403837,descriptive_similar_to_fresh_count
all,family_set_pooling_wait_bucket,seed_path_good_bad,29781,900,40,860,0.10283597251385682,1.2706270627062706,-1.9617224880382775,577,323,0.9992684116403837,descriptive_similar_to_fresh_count
all,family_set_pooling_wait_bucket,fresh_anchor_big_winner,28701,890,40,850,0.044212571961216016,0.9234375,-0.1646090534979424,335,555,0.9992684116403837,descriptive_similar_to_fresh_count
all,family_set_pooling_wait_bucket,fresh_path_good_bad,29313,885,40,845,0.11674196772380346,1.5789473684210527,-0.8361408882082695,417,468,0.9992684116403837,descriptive_similar_to_fresh_count
