feature_name,feature_family,qlib_expression_or_source,lookback_window,uses_future_data,primary_allowed,sensitivity_allowed
RANK10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RANK20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RANK30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RANK60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSV5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSV10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSV20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSV30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
RSV60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMAX5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMAX10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMAX20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMAX30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMAX60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMIN5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMIN10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMIN20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMIN30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMIN60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMXD5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMXD10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMXD20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMXD30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
IMXD60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORR5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORR10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORR20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORR30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORR60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORD5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORD10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORD20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORD30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CORD60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTP5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTP10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTP20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTP30,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTP60,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTN5,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTN10,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
CNTN20,Alpha158,qlib.contrib.data.handler.Alpha158,,False,True,True
