population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,threshold_id,capacity_id,post_dedup_sample_n,post_dedup_false_repair_positive_n,post_dedup_winner_n,post_dedup_E1_missed_winner_n,e1_missed_proxy_status,post_dedup_e1_status_episode_level_proxy_from_08_membership_n,post_dedup_e1_status_no_episode_membership_for_event_n,post_dedup_e1_status_episode_membership_proxy_input_blocked_n,random_rejected_false_repair_positive_n,random_rejected_false_repair_winner_n,random_rejected_E1_missed_winner_n,random_rejected_false_repair_non_winner_n,false_repair_power_status,winner_retention_power_status,false_repair_ml_supported_gate_allowed
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8000,keep_8000,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,647,49,144,598,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8250,keep_8250,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,522,47,141,475,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8500,keep_8500,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,467,52,116,415,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_8750,keep_8750,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,387,44,101,343,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9000,keep_9000,8318,3025,1491,811,mixed_non_blocking,3052,5266,0,313,35,73,278,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8000,keep_8000,2514,709,161,64,mixed_non_blocking,660,1854,0,142,1,12,141,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8250,keep_8250,2514,709,161,64,mixed_non_blocking,660,1854,0,119,4,11,115,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8500,keep_8500,2514,709,161,64,mixed_non_blocking,660,1854,0,115,7,9,108,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_8750,keep_8750,2514,709,161,64,mixed_non_blocking,660,1854,0,80,1,8,79,pass,pass,True
10A__same_instrument_rolling_cap_10d_cap1,same_instrument_rolling_cap_10d_cap1,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9000,keep_9000,2514,709,161,64,mixed_non_blocking,660,1854,0,65,5,9,60,pass,pass,True
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8000,keep_8000,2882,809,588,285,mixed_non_blocking,1046,1836,0,172,20,60,152,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8250,keep_8250,2882,809,588,285,mixed_non_blocking,1046,1836,0,151,21,60,130,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8500,keep_8500,2882,809,588,285,mixed_non_blocking,1046,1836,0,109,21,44,88,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_8750,keep_8750,2882,809,588,285,mixed_non_blocking,1046,1836,0,89,12,33,77,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,robustness,True,keep_9000,keep_9000,2882,809,588,285,mixed_non_blocking,1046,1836,0,71,9,28,62,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8000,keep_8000,4524,1744,822,462,mixed_non_blocking,1725,2799,0,338,25,105,313,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8250,keep_8250,4524,1744,822,462,mixed_non_blocking,1725,2799,0,312,30,85,282,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8500,keep_8500,4524,1744,822,462,mixed_non_blocking,1725,2799,0,260,22,72,238,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_8750,keep_8750,4524,1744,822,462,mixed_non_blocking,1725,2799,0,240,22,58,218,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,train,True,keep_9000,keep_9000,4524,1744,822,462,mixed_non_blocking,1725,2799,0,180,17,52,163,pass,pass,False
10A__same_instrument_rolling_cap_20d_cap1,same_instrument_rolling_cap_20d_cap1,risk_on_r6_horizon_complete,post_dedup_risk_on_r6_readout,validation,True,keep_8000,keep_8000,1391,372,101,40,mixed_non_blocking,368,1023,0,77,3,8,74,pass,pass,False
