feature_name,feature_family,model_id,cv_scheme,fold_n,mean_abs_coef_or_importance,median_rank,rank_iqr,sign_consistency_fold_share,selected_in_top_decile_fold_share,collinearity_caveat,rank_stability_status
ret_20d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.18861506802926783,12.0,7.0,1.0,0.0,,pass
ret_60d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.1825330867655885,14.0,4.0,0.8,0.0,,pass
volatility_20d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.10982660415941399,20.0,5.0,0.6,0.0,,pass
volatility_60d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.23592759687396953,10.0,4.0,1.0,0.0,,pass
distance_to_20d_high,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.1671559910882509,13.0,2.0,1.0,0.0,,pass
distance_to_60d_high,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.11642571608017833,22.0,5.0,0.6,0.0,,pass
distance_to_20d_low,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.48822346279371054,2.0,2.0,1.0,0.8,,pass
distance_to_60d_low,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.3033939508951814,7.0,5.0,1.0,0.2,,pass
max_drawdown_20d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.22482273347568865,13.0,5.0,1.0,0.0,,pass
max_drawdown_60d,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.11648757038372334,22.0,13.0,0.8,0.0,,pass
ma_5_20_spread,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.06214198080496278,25.0,2.0,0.6,0.0,,pass
ma_20_60_spread,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.34051975629882386,6.0,2.0,1.0,0.2,,pass
turnover_rate_20d_mean,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.21574326782669567,11.0,1.0,1.0,0.0,,pass
turnover_rate_60d_mean,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.05000051948020812,23.0,3.0,0.8,0.0,,pass
turnover_rate_20d_zscore,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.28304858156105595,8.0,3.0,1.0,0.0,,pass
volume_20d_zscore,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.1324990624876798,20.0,4.0,0.6,0.0,,pass
money_20d_zscore,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.2524815486646817,19.0,18.0,0.8,0.4,,pass
intraday_range_20d_mean,qfq_rolling_market_state,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.48424427542258497,4.0,4.0,1.0,0.4,,pass
log_total_market_cap_cny,pit_membership_context,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.13902888616562842,19.0,3.0,1.0,0.0,,pass
board_rank_pct,pit_membership_context,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.09304686535185891,20.0,7.0,1.0,0.0,,pass
history_observed_sessions_before_usable_date,pit_membership_context,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.3970290230576824,3.0,2.0,1.0,0.6,history_depth_feature_pair,pass
history_ready_240d_flag,pit_membership_context,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.37915211424104583,5.0,4.0,1.0,0.4,history_depth_feature_pair,pass
board_bucket_chinext,pit_membership_context,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.1541029151668421,15.5,3.0,1.0,0.0,,pass
board_bucket_main_board,pit_membership_context,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.1541029151668421,15.5,3.0,1.0,0.0,,pass
board_bucket_unknown_train_unseen,pit_membership_context,ridge_logistic_bar_state_v1,instrument_purged_chronological_cv,5,0.0,27.0,0.0,0.0,0.0,,pass
