feature_name,feature_family,source_artifact,source_columns,formula_id,lookback_sessions,as_of_policy,allowed_primary_model_feature,allowed_secondary_readout,forbidden_as_model_feature,forbidden_reason,missing_policy,train_fit_only_preprocessing
max_drawdown_20d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,max_drawdown_20d,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
max_drawdown_60d,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,max_drawdown_60d,60.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
ma_5_20_spread,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,ma_5_20_spread,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
ma_20_60_spread,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,ma_20_60_spread,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
turnover_rate_20d_mean,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,turnover_rate_20d_mean,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
turnover_rate_60d_mean,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,turnover_rate_60d_mean,60.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
turnover_rate_20d_zscore,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,turnover_rate_20d_zscore,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
volume_20d_zscore,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,volume_20d_zscore,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
money_20d_zscore,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,money_20d_zscore,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
intraday_range_20d_mean,qfq_rolling_market_state,qfq_daily,close/high/low/volume/money/turnover_rate,intraday_range_20d_mean,20.0,qfq_position_le_step_start_pos,True,True,False,,train_median_impute_then_robust_scale,True
log_total_market_cap_cny,pit_membership_context,pit_topn_400_100_executable_daily,membership_context_columns,log_total_market_cap_cny,0.0,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,True,True,False,,train_median_impute_then_robust_scale,True
board_rank_pct,pit_membership_context,pit_topn_400_100_executable_daily,membership_context_columns,board_rank_pct,0.0,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,True,True,False,,train_median_impute_then_robust_scale,True
history_observed_sessions_before_usable_date,pit_membership_context,pit_topn_400_100_executable_daily,membership_context_columns,history_observed_sessions_before_usable_date,0.0,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,True,True,False,,train_median_impute_then_robust_scale,True
history_ready_240d_flag,pit_membership_context,pit_topn_400_100_executable_daily,membership_context_columns,history_ready_240d_flag,0.0,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,True,True,False,,train_median_impute_then_robust_scale,True
board_bucket_chinext,pit_membership_context,pit_topn_400_100_executable_daily,membership_context_columns,board_bucket_chinext,0.0,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,True,True,False,,train_median_impute_then_robust_scale,True
board_bucket_main_board,pit_membership_context,pit_topn_400_100_executable_daily,membership_context_columns,board_bucket_main_board,0.0,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,True,True,False,,train_median_impute_then_robust_scale,True
board_bucket_unknown_train_unseen,pit_membership_context,pit_topn_400_100_executable_daily,membership_context_columns,board_bucket_unknown_train_unseen,0.0,usable_trade_date_eq_or_latest_le_step_start_date_available_time_le_step_start_close_no_future_fill,True,True,False,,train_median_impute_then_robust_scale,True
anchor_n,forbidden,label_or_future_or_context,anchor_n,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
available_forward_sessions,forbidden,label_or_future_or_context,available_forward_sessions,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
cluster_end_pos,forbidden,label_or_future_or_context,cluster_end_pos,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
continuation_negative,forbidden,label_or_future_or_context,continuation_negative,forbidden,,not_allowed,False,False,True,future_label_outcome_or_identity_context,not_applicable,True
continuation_neutral,forbidden,label_or_future_or_context,continuation_neutral,forbidden,,not_allowed,False,False,True,future_label_outcome_or_identity_context,not_applicable,True
continuation_positive,forbidden,label_or_future_or_context,continuation_positive,forbidden,,not_allowed,False,False,True,future_label_outcome_or_identity_context,not_applicable,True
entry_phase,forbidden,label_or_future_or_context,entry_phase,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
episode_length_sessions,forbidden,label_or_future_or_context,episode_length_sessions,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
full_horizon_nonoverlap_step_n,forbidden,label_or_future_or_context,full_horizon_nonoverlap_step_n,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
known_failed_family,forbidden,label_or_future_or_context,known_failed_family,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
known_failed_step_flag,forbidden,label_or_future_or_context,known_failed_step_flag,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
label_rule_status,forbidden,label_or_future_or_context,label_rule_status,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
max_drawdown_from_step_start,forbidden,label_or_future_or_context,max_drawdown_from_step_start,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
partial_tail_step_n,forbidden,label_or_future_or_context,partial_tail_step_n,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
path_type,forbidden,label_or_future_or_context,path_type,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
path_winner_uncensored_anchor_n,forbidden,label_or_future_or_context,path_winner_uncensored_anchor_n,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
remaining_sessions_to_cluster_end,forbidden,label_or_future_or_context,remaining_sessions_to_cluster_end,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
source_anchor_row_n,forbidden,label_or_future_or_context,source_anchor_row_n,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
step_end_date,forbidden,label_or_future_or_context,step_end_date,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
step_end_pos,forbidden,label_or_future_or_context,step_end_pos,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
step_end_price_ratio_minus_one_for_label_rule,forbidden,label_or_future_or_context,step_end_price_ratio_minus_one_for_label_rule,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
step_end_qfq_close,forbidden,label_or_future_or_context,step_end_qfq_close,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
step_n_nonoverlap,forbidden,label_or_future_or_context,step_n_nonoverlap,forbidden,,not_allowed,False,True,True,future_label_outcome_or_identity_context,not_applicable,True
