artifact_key,resolved_path,row_count,sha256,schema_status,read_status,required_flag,lineage_role
upstream_16a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16A_sequential_sampling_geometry_preflight_manifest.json,,1648de2d45b7229733f7920d11ba6552d93a7a446521cb9bee80300f8d143b05,pass,pass,required,upstream_16a_manifest
upstream_16a_episode_interval_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16A_sequential_sampling_geometry_preflight/episode_interval_panel.parquet,2867.0,f9d88fdf96a4ea59406ddbc18583a4af0fcabf388cd28453196ca82f4159603b,pass,pass,optional_cache,upstream_16a_episode_interval_panel
upstream_16a_step_geometry_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16A_sequential_sampling_geometry_preflight/step_geometry_panel.parquet,8510.0,feed51cc2b274c14be094d29b843a8e7b6a459a9241421a451bae03c94fedd46,pass,pass,optional_cache,upstream_16a_step_geometry_panel
upstream_16b_requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/requirement_16b_sequential_continuation_label_design_diagnostic.md,,4815be5fa34c7899a222d8000e0c52c3432a335faaab60287c58ed77095f5ecb,pass,pass,required,upstream_16b_requirement
upstream_16b_report,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/reports/sequential_continuation_label_design_diagnostic_report.md,,76d0684fb850dd8efd8aab688b20254409a195c6b8582fb85bfaf23480e5c765,pass,pass,required,upstream_16b_report
upstream_16b_input_artifact_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/input_artifact_audit.csv,36.0,aa3eb2efbe90c6815c9636b8453e1e283cecf4b895879679601498a947dbe584,pass,pass,required,upstream_16b_input_artifact_audit
upstream_16b_upstream_16a_authorization_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/upstream_16a_authorization_audit.csv,1.0,059407380285e83d6903c39796f565d3be580ac9b935063c4e79d00cda953cdf,pass,pass,required,upstream_16b_upstream_16a_authorization_audit
upstream_16b_step_lineage_adapter_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/step_lineage_adapter_audit.csv,45.0,7973e0248154b30996411eca80dedb0df7cfc0e5be33c3fdb8d374ea79cf0beb,pass,pass,required,upstream_16b_step_lineage_adapter_audit
upstream_16b_step_materialization_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/step_materialization_audit.csv,45.0,7973e0248154b30996411eca80dedb0df7cfc0e5be33c3fdb8d374ea79cf0beb,pass,pass,required,upstream_16b_step_materialization_audit
upstream_16b_label_rule_definition_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/label_rule_definition_audit.csv,3.0,87b1b307bc153768ff1b635f33864940705e4b0d60e5a571b7f711077e34fd71,pass,pass,required,upstream_16b_label_rule_definition_audit
upstream_16b_base_rate_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,135.0,50c7afd6007d62e462fb023f89ae21dee3d07911aed9201e5ec2d5ebee6ac947,pass,pass,required,upstream_16b_base_rate_readout
upstream_16b_by_split_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_by_split_readout.csv,27.0,d3c60089d9fda9bfae0f8b4ec491e2c45be5abf2a7fcfe36fc94603644cd5587,pass,pass,required,upstream_16b_by_split_readout
upstream_16b_by_horizon_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_by_horizon_sensitivity_readout.csv,45.0,e998c265fe4cb80433175d0a017d05541fb9c0d4812b52d366d857af0ea2a3c1,pass,pass,required,upstream_16b_by_horizon_readout
upstream_16b_by_threshold_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_by_threshold_sensitivity_readout.csv,27.0,d3c60089d9fda9bfae0f8b4ec491e2c45be5abf2a7fcfe36fc94603644cd5587,pass,pass,required,upstream_16b_by_threshold_readout
upstream_16b_effective_sample_support_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/effective_sample_label_support_readout.csv,3.0,eb6c4f6a8da0da99dccc209a271b04ea474b82ddb45de52dafbad0b53964340b,pass,pass,required,upstream_16b_effective_sample_support_readout
upstream_16b_known_failed_overlap_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/known_failed_overlap_readout.csv,180.0,e7a7d0856b4ea71fdb48ede7ed29c9aa5a8ad6cd80181cfb13e605430af9f55e,pass,pass,required,upstream_16b_known_failed_overlap_readout
upstream_16b_price_path_completeness_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/price_path_completeness_audit.csv,788.0,7945b636b56a63cf4961169d98c55d189a882923ada7431a3b5b0376784fa0e6,pass,pass,required,upstream_16b_price_path_completeness_audit
upstream_16b_qfq_price_source_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/qfq_price_source_audit.csv,788.0,fa42a4364b06a35e71e6577573f27737eac9491179cd8e2106c4abeb3c496cf5,pass,pass,required,upstream_16b_qfq_price_source_audit
upstream_16b_search_accounting_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/search_accounting_audit.csv,1.0,d4322aea13a65e29ca1e09082b698c8d2cac5cf78b1e887ec241c7701253bf19,pass,pass,required,upstream_16b_search_accounting_audit
upstream_16b_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/sequential_continuation_label_decision.csv,1.0,1b3f820fe4aeb4c4da7aa0b68e6d3ec2abe6f35b216f26a657ba9131c486e3ef,pass,pass,required,upstream_16b_decision
upstream_16b_validation_stress_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/validation_stress_readout.csv,15.0,88913c9779596d2011f4dc950b783f4d95e675271211c1befb96b08196e232c7,pass,pass,required,upstream_16b_validation_stress_readout
upstream_16b_label_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_panel_readout.csv,504580.0,00da5fd9e222c216bc5522d53efce5bde796827d1902e398c9bd1ca68b54edfd,pass,pass,required,upstream_16b_label_panel
upstream_16b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16B_sequential_continuation_label_design_diagnostic_manifest.json,,dd3cd7e717901c46d482d06b08a6ad515cb3bb5b91606d1df241a41488263ecd,pass,pass,required,upstream_16b_manifest
upstream_16b_materialized_step_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/materialized_step_panel.parquet,504580.0,962d90429193dc6171e0693ec3898f1c5c8d13b982163bd5c347481580f3a600,pass,pass,optional_cache,upstream_16b_materialized_step_panel
upstream_16b_continuation_label_step_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/continuation_label_step_panel.parquet,504580.0,5199f61ea9a625a92eb0e5a0f86deed73fc539d65e74ee2623cadbc16700f2f1,pass,pass,optional_cache,upstream_16b_continuation_label_step_panel
upstream_16b_known_failed_overlap_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/known_failed_overlap_panel.parquet,33628.0,0c1b672d2f93422219cbfc9d4d1b0820b72ce039b0be099453873fc7f5019311,pass,pass,optional_cache,upstream_16b_known_failed_overlap_panel
upstream_15b_requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15b_winner_path_shape_taxonomy_diagnostic.md,,9d4be4b3318f8fbdd8629f4065dfe2c3bced17d88e061826291ce007ddf19cbf,pass,pass,required,upstream_15b_requirement
upstream_15b_runner,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/src/run_15b_winner_path_shape_taxonomy_diagnostic.py,,adc344e98ba47b4de2e61fe568bf3a7ce0356e70062231babd38b91be16dd314,pass,pass,required,upstream_15b_runner
upstream_15b_input_artifact_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/input_artifact_audit.csv,12.0,89d151f300e1aa0522ee085789d6f6edbdae0039090bd1cada12fbaf4f8df792,pass,pass,required,upstream_15b_input_artifact_audit
upstream_15b_path_shape_feature_definition_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_shape_feature_definition_audit.csv,21.0,d1da261a49525d960502fa79e99607bc591ab91c6ea41b627b1a6be425dc7976,pass,pass,required,upstream_15b_path_shape_feature_definition_audit
upstream_15b_path_shape_taxonomy_rule_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_shape_taxonomy_rule_audit.csv,30.0,52ddf5d3b5734034db57aa9c1677713d6a52c49f2c9092e19177cab48a2a3f68,pass,pass,required,upstream_15b_path_shape_taxonomy_rule_audit
upstream_15b_path_shape_taxonomy_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/path_shape_taxonomy_readout.csv,57.0,10b17d981b490b3c6061651a70f8a9408fc8a7cd41f87b7aad2f5f5f6012dd9f,pass,pass,required,upstream_15b_path_shape_taxonomy_readout
upstream_15b_representative_anchor_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/representative_anchor_audit.csv,2867.0,8b0ab6bf8812519874da6134db735829e0f47f4082e970ed8428a9e376982364,pass,pass,required,upstream_15b_representative_anchor_audit
upstream_15b_split_overlap_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/split_overlap_audit.csv,2867.0,2c4cf4b8b55295125069e3bbcc0cc64de69cfb4855a41e39039f6ced49aa3b93,pass,pass,required,upstream_15b_split_overlap_audit
upstream_15b_membership_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15B_winner_path_shape_taxonomy_diagnostic/winner_episode_cluster_membership_audit.csv,417131.0,5a71dea1f987b59ce09d5c3923f5ab0596def4bb6ac0463192ab8954873a5267,pass,pass,required,upstream_15b_membership_audit
upstream_15b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/manifests/15B_winner_path_shape_taxonomy_diagnostic_manifest.json,,1ca0fb523d28e5dbd073df9ee5d884a8bda323b0636c4912e24c0562c1891325,pass,pass,required,upstream_15b_manifest
upstream_15b_taxonomy_assignment_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/taxonomy_assignment_panel.parquet,419998.0,bb9ddef1f09b0ff5819363f1e6faaae870b03a877bb19001d6ff52222afb3cf0,pass,pass,optional_cache,upstream_15b_taxonomy_assignment_panel
upstream_15b_anchor_path_shape_feature_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15B_winner_path_shape_taxonomy_diagnostic/anchor_path_shape_feature_panel.parquet,417131.0,f731d56b13183bad805c139dbf30e243006fd659faf9639edefeae0b4dcae0ec,pass,pass,optional_cache,upstream_15b_anchor_path_shape_feature_panel
upstream_15c2_known_failed_morphology_overlap_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/known_failed_morphology_overlap_readout.csv,108.0,da1776167737b1b5566460fdf5c9f7d033a6fec3063402e4caf4169796c95c39,pass,pass,optional_appendix,upstream_15c2_known_failed_morphology_overlap_readout
upstream_15c2_anchor_soft_membership_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15C2_winner_soft_shape_membership_diagnostic/anchor_soft_membership_panel.csv,124999.0,c7fa5a0dafcebf81c67ffccf0bd602b875e57393ae0a03ecd82daf3035add2fc,pass,pass,optional_appendix,upstream_15c2_anchor_soft_membership_panel
